Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume REC,Volume BTC
2018-08-17 09-PM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-17 08-PM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-17 07-PM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-17 06-PM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-17 05-PM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-17 04-PM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-17 03-PM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-17 02-PM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-17 01-PM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-17 12-PM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,200.0,0.0006
2018-08-17 11-AM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-17 10-AM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,200.0,0.0006
2018-08-17 09-AM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-17 08-AM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-17 07-AM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-17 06-AM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-17 05-AM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-17 04-AM,RECBTC,3.0e-06,3.0e-06,2.23e-06,3.0e-06,2052.98,0.005432
2018-08-17 03-AM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-17 02-AM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-17 01-AM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
