Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XMR,Volume LTC
2019-01-07,XMRLTC,1.39,1.41,1.35,1.4,11.51,16.01
2019-01-06,XMRLTC,1.42,1.42,1.32,1.39,21.3,28.97
2019-01-05,XMRLTC,1.57,1.57,1.39,1.42,22.48,33.65
2019-01-04,XMRLTC,1.6,1.6,1.53,1.57,5.41,8.5
2019-01-03,XMRLTC,1.57,1.62,1.54,1.6,8.65,13.77
2019-01-02,XMRLTC,1.49,1.82,1.49,1.57,13.93,21.81
2019-01-01,XMRLTC,1.52,1.54,1.47,1.49,14.94,22.52
2018-12-31,XMRLTC,1.5,1.56,1.5,1.52,1.01,1.55
2018-12-30,XMRLTC,1.51,1.54,1.5,1.5,1.9,2.89
2018-12-29,XMRLTC,1.57,1.57,1.49,1.51,3.76,5.72
2018-12-28,XMRLTC,1.55,1.63,1.53,1.57,10.95,17.12
2018-12-27,XMRLTC,1.61,1.65,1.54,1.55,4.33,6.85
2018-12-26,XMRLTC,1.63,1.63,1.57,1.61,3.45,5.5
2018-12-25,XMRLTC,1.66,1.67,1.59,1.63,7.46,12.12
2018-12-24,XMRLTC,1.55,1.69,1.34,1.66,11.69,17.62
2018-12-23,XMRLTC,1.61,1.65,1.55,1.55,10.42,16.7
2018-12-22,XMRLTC,1.7,1.7,1.61,1.61,2.69,4.43
2018-12-21,XMRLTC,1.68,1.73,1.63,1.7,10.74,18.13
2018-12-20,XMRLTC,1.57,1.7,1.57,1.68,7.98,12.94
2018-12-19,XMRLTC,1.52,1.61,1.52,1.57,4.78,7.51
2018-12-18,XMRLTC,1.51,1.56,1.48,1.52,13.59,20.62
2018-12-17,XMRLTC,1.52,1.53,1.44,1.51,70.58,104.52
2018-12-16,XMRLTC,1.61,1.69,1.5,1.52,26.68,41.68
2018-12-15,XMRLTC,1.69,1.69,1.59,1.61,11.57,18.87
2018-12-14,XMRLTC,1.78,1.82,1.69,1.69,11.71,20.7
2018-12-13,XMRLTC,1.8,1.84,1.75,1.78,20.11,36.2
2018-12-12,XMRLTC,1.8,1.81,1.77,1.8,14.66,26.16
2018-12-11,XMRLTC,1.82,1.83,1.78,1.8,11.23,20.26
2018-12-10,XMRLTC,1.83,1.88,1.8,1.82,12.51,22.7
2018-12-09,XMRLTC,1.84,1.86,1.78,1.83,11.28,20.46
2018-12-08,XMRLTC,1.84,1.92,1.83,1.84,26.53,49.19
2018-12-07,XMRLTC,1.76,1.87,1.73,1.84,16.95,31.08
2018-12-06,XMRLTC,1.78,1.79,1.72,1.76,5.32,9.35
2018-12-05,XMRLTC,1.81,1.84,1.76,1.78,5.1,9.14
2018-12-04,XMRLTC,1.74,1.83,1.74,1.81,3.69,6.63
2018-12-03,XMRLTC,1.77,1.82,1.74,1.74,9.87,17.47
2018-12-02,XMRLTC,1.76,1.78,1.75,1.77,2.02,3.55
2018-12-01,XMRLTC,1.82,1.84,1.75,1.76,8.8,15.63
2018-11-30,XMRLTC,1.81,1.84,1.78,1.82,3.85,6.96
2018-11-29,XMRLTC,1.85,1.85,1.78,1.81,4.8,8.65
2018-11-28,XMRLTC,1.84,1.9,1.79,1.85,9.25,17.01
2018-11-27,XMRLTC,1.83,1.86,1.78,1.84,17.96,32.46
2018-11-26,XMRLTC,1.85,1.91,1.8,1.83,41.85,75.55
2018-11-25,XMRLTC,2,2.01,1.85,1.85,17.86,34.06
2018-11-24,XMRLTC,2.06,2.08,2,2,3.4,6.93
2018-11-23,XMRLTC,2.01,2.07,1.9,2.06,11.17,22.34
2018-11-22,XMRLTC,2.03,2.05,1.98,2.01,9.91,19.92
2018-11-21,XMRLTC,2.02,2.07,1.98,2.03,8.71,17.73
2018-11-20,XMRLTC,1.97,2.08,1.95,2.02,12.86,25.74
2018-11-19,XMRLTC,2.12,2.15,1.97,1.97,31.18,63.78
2018-11-18,XMRLTC,2.08,2.16,2.08,2.12,8.26,17.46
2018-11-17,XMRLTC,2.07,2.11,2,2.08,7.27,14.99
2018-11-16,XMRLTC,2,2.07,2,2.07,5.54,11.23
2018-11-15,XMRLTC,2.11,2.11,1.98,2,25.17,50.97
2018-11-14,XMRLTC,2.09,2.12,2.06,2.11,12.9,27.02
2018-11-13,XMRLTC,2.09,2.12,2.06,2.09,15.2,31.72
2018-11-12,XMRLTC,2.06,2.13,2.06,2.09,8.56,17.88
2018-11-11,XMRLTC,2,2.08,2,2.06,7.24,14.77
2018-11-10,XMRLTC,2.07,2.07,1.99,2,4.51,9.15
2018-11-09,XMRLTC,2.06,2.09,2.03,2.07,1.83,3.77
2018-11-08,XMRLTC,2.05,2.08,2.02,2.06,2.59,5.35
2018-11-07,XMRLTC,2.03,2.06,1.99,2.05,14.48,29.38
2018-11-06,XMRLTC,2.08,2.1,2.01,2.03,5.7,11.63
2018-11-05,XMRLTC,2.08,2.1,2.05,2.08,4.55,9.4
2018-11-04,XMRLTC,2.1,2.1,1.94,2.08,9.51,19.01
2018-11-03,XMRLTC,2.04,2.11,2.04,2.1,4.17,8.57
2018-11-02,XMRLTC,2.08,2.08,2.04,2.04,1.49,3.06
2018-11-01,XMRLTC,2.12,2.12,2.06,2.08,0.5256,1.09
2018-10-31,XMRLTC,2.08,2.12,2.06,2.12,5.02,10.56
2018-10-30,XMRLTC,2.05,2.08,2.04,2.08,1.98,4.09
2018-10-29,XMRLTC,2.01,2.09,1.99,2.05,7.69,15.63
2018-10-28,XMRLTC,2.01,2.01,1.97,2.01,5.79,11.54
2018-10-27,XMRLTC,2.03,2.03,1.99,2.01,2.52,5.03
2018-10-26,XMRLTC,2.04,2.04,2,2.03,9.86,19.85
2018-10-25,XMRLTC,2.03,2.07,2,2.04,25.27,51.61
2018-10-24,XMRLTC,2.06,2.07,2.03,2.03,2.75,5.58
2018-10-23,XMRLTC,2,2.1,2,2.06,16.55,33.81
2018-10-22,XMRLTC,2,2.01,1.98,2,3.14,6.25
2018-10-21,XMRLTC,1.98,2,1.94,2,2.31,4.56
2018-10-20,XMRLTC,1.96,1.99,1.95,1.98,1.66,3.26
2018-10-19,XMRLTC,2,2,1.92,1.96,5.52,10.72
2018-10-18,XMRLTC,1.98,2.01,1.97,2,3.81,7.6
2018-10-17,XMRLTC,1.98,2,1.97,1.98,9.34,18.53
2018-10-16,XMRLTC,1.95,1.98,1.92,1.98,2.75,5.35
2018-10-15,XMRLTC,1.93,1.95,1.88,1.95,7.22,13.9
2018-10-14,XMRLTC,1.9,1.95,1.9,1.93,3.88,7.48
2018-10-13,XMRLTC,1.9,1.93,1.88,1.9,1.56,2.97
2018-10-12,XMRLTC,1.97,1.97,1.9,1.9,3.06,5.92
2018-10-11,XMRLTC,1.96,2.03,1.92,1.97,7.12,14.07
2018-10-10,XMRLTC,1.92,1.96,1.92,1.96,6.14,11.86
2018-10-09,XMRLTC,1.94,1.94,1.91,1.92,5.25,10.08
2018-10-08,XMRLTC,1.98,1.98,1.92,1.94,7.11,13.75
2018-10-07,XMRLTC,1.99,1.99,1.91,1.98,2.8,5.47
2018-10-06,XMRLTC,1.93,1.99,1.93,1.99,2.25,4.4
2018-10-05,XMRLTC,1.95,1.99,1.91,1.93,15.03,29.47
2018-10-04,XMRLTC,1.97,1.97,1.94,1.95,9.66,18.82
2018-10-03,XMRLTC,1.98,2.01,1.93,1.97,9.73,19.03
2018-10-02,XMRLTC,1.93,1.98,1.86,1.98,8.6,16.23
2018-10-01,XMRLTC,1.88,1.93,1.88,1.93,0.5429,1.03
2018-09-30,XMRLTC,1.85,1.94,1.85,1.88,12.89,24.48
2018-09-29,XMRLTC,1.88,1.91,1.85,1.85,1.91,3.58
2018-09-28,XMRLTC,1.88,1.9,1.85,1.88,2.79,5.21
2018-09-27,XMRLTC,1.96,1.97,1.83,1.88,7.82,14.92
2018-09-26,XMRLTC,1.99,2.03,1.94,1.96,2.18,4.32
2018-09-25,XMRLTC,1.99,2.06,1.98,1.99,2.26,4.56
2018-09-24,XMRLTC,2,2.05,1.99,1.99,2.36,4.78
2018-09-23,XMRLTC,2.03,2.06,1.96,2,7.4,14.82
2018-09-22,XMRLTC,2.04,2.08,2,2.03,2.23,4.51
2018-09-21,XMRLTC,2.04,2.08,1.94,2.04,8.28,16.61
2018-09-20,XMRLTC,2.05,2.09,2,2.04,12.56,25.35
2018-09-19,XMRLTC,2.08,2.08,2.02,2.05,1.28,2.62
2018-09-18,XMRLTC,2.05,2.13,2,2.08,2.76,5.6
2018-09-17,XMRLTC,2.05,2.13,2.05,2.05,2.4,5.03
2018-09-16,XMRLTC,2.08,2.12,2.05,2.05,1.34,2.77
2018-09-15,XMRLTC,2.05,2.12,2.05,2.08,8.98,18.91
2018-09-14,XMRLTC,2.03,2.11,1.96,2.05,13.46,27.51
2018-09-13,XMRLTC,2.04,2.12,1.94,2.03,4.75,9.68
2018-09-12,XMRLTC,2.05,2.06,1.97,2.04,8.61,17.56
2018-09-11,XMRLTC,1.98,2.05,1.95,2.05,2.89,5.76
2018-09-10,XMRLTC,1.94,1.98,1.9,1.98,7.35,14.11
2018-09-09,XMRLTC,1.95,1.96,1.89,1.94,8.03,15.56
2018-09-08,XMRLTC,1.97,2.03,1.95,1.95,13.76,27.81
2018-09-07,XMRLTC,2.01,2.08,1.97,1.97,7.02,14.11
2018-09-06,XMRLTC,1.95,2.06,1.95,2.01,12.19,24.58
2018-09-05,XMRLTC,2,2.07,1.93,1.95,30.54,62.29
2018-09-04,XMRLTC,2.03,2.11,1.95,2,7.34,14.85
2018-09-03,XMRLTC,1.84,2.1,1.84,2.03,52.52,102.1
2018-09-02,XMRLTC,1.84,1.88,1.81,1.84,5.11,9.42
2018-09-01,XMRLTC,1.89,1.9,1.81,1.84,29.24,54.66
2018-08-31,XMRLTC,1.68,1.89,1.68,1.89,31.46,56.74
2018-08-30,XMRLTC,1.67,1.72,1.61,1.68,17.22,28.63
2018-08-29,XMRLTC,1.69,1.74,1.64,1.67,9.23,15.53
2018-08-28,XMRLTC,1.74,1.74,1.66,1.69,6.88,11.57
2018-08-27,XMRLTC,1.63,1.75,1.62,1.74,9.2,15.31
2018-08-26,XMRLTC,1.61,1.66,1.61,1.63,3.69,6.04
2018-08-25,XMRLTC,1.59,1.65,1.59,1.61,2.2,3.54
2018-08-24,XMRLTC,1.56,1.63,1.55,1.59,16.04,25.35
2018-08-23,XMRLTC,1.63,1.63,1.56,1.56,4.74,7.53
2018-08-22,XMRLTC,1.66,1.69,1.61,1.63,5.15,8.5
2018-08-21,XMRLTC,1.74,1.75,1.66,1.66,8.61,14.79
2018-08-20,XMRLTC,1.7,1.78,1.69,1.74,12.44,21.6
2018-08-19,XMRLTC,1.7,1.7,1.66,1.7,7.15,12.0
2018-08-18,XMRLTC,1.64,1.77,1.6,1.7,10.62,18.05
2018-08-17,XMRLTC,1.62,1.69,1.61,1.64,21.36,35.02
2018-08-16,XMRLTC,1.62,1.65,1.59,1.62,3.41,5.47
2018-08-15,XMRLTC,1.56,1.64,1.55,1.62,15.16,24.18
2018-08-14,XMRLTC,1.56,1.64,1.53,1.56,45.06,71.16
2018-08-13,XMRLTC,1.59,1.63,1.54,1.56,21.16,33.54
2018-08-12,XMRLTC,1.63,1.63,1.63,1.63,0.0,0.0
2018-08-11,XMRLTC,1.54,1.63,1.54,1.63,1.09,1.74
2018-08-10,XMRLTC,1.58,1.59,1.54,1.54,5.21,8.21
2018-08-09,XMRLTC,1.52,1.6,1.52,1.58,5.06,7.93
2018-08-08,XMRLTC,1.57,1.61,1.5,1.52,7.88,12.07
2018-08-07,XMRLTC,1.55,1.61,1.52,1.57,7.75,11.97
2018-08-06,XMRLTC,1.57,1.58,1.52,1.55,10.11,15.7
2018-08-05,XMRLTC,1.55,1.58,1.54,1.57,0.563,0.8776
2018-08-04,XMRLTC,1.53,1.56,1.52,1.55,2.74,4.2
2018-08-03,XMRLTC,1.58,1.58,1.53,1.53,10.93,16.97
2018-08-02,XMRLTC,1.6,1.68,1.58,1.58,0.4143,0.6826
2018-08-01,XMRLTC,1.58,1.66,1.56,1.6,4.19,6.75
2018-07-31,XMRLTC,1.6,1.65,1.54,1.58,2.79,4.41
2018-07-30,XMRLTC,1.62,1.65,1.58,1.6,10.14,16.14
2018-07-29,XMRLTC,1.67,1.67,1.62,1.62,1.24,2.01
2018-07-28,XMRLTC,1.66,1.7,1.66,1.67,0.5498,0.9215
2018-07-27,XMRLTC,1.63,1.68,1.63,1.66,3.65,6.0
2018-07-26,XMRLTC,1.63,1.91,1.61,1.63,15.33,26.45
2018-07-25,XMRLTC,1.64,1.67,1.58,1.63,7.52,12.15
2018-07-24,XMRLTC,1.64,1.67,1.59,1.64,10.48,17.07
2018-07-23,XMRLTC,1.54,1.65,1.54,1.64,7.93,12.77
2018-07-22,XMRLTC,1.57,1.59,1.54,1.54,2.53,3.94
2018-07-21,XMRLTC,1.59,1.59,1.55,1.57,0.7021,1.1
2018-07-20,XMRLTC,1.63,1.64,1.59,1.59,20.93,34.23
2018-07-19,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-07-18,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-07-17,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-07-16,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-07-15,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-07-14,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-07-13,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-07-12,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-07-11,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-07-10,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-07-09,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-07-08,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-07-07,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-07-06,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-07-05,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-07-04,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-07-03,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-07-02,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-07-01,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-06-30,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-06-29,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-06-28,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-06-27,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-06-26,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-06-25,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-06-24,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-06-23,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-06-22,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-06-21,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-06-20,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-06-19,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-06-18,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-06-17,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-06-16,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-06-15,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-06-14,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-06-13,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-06-12,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
