Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LSK,Volume EUR
2019-05-03,LSKEUR,1.68,1.69,1.64,1.69,65.18,109.49
2019-05-02,LSKEUR,1.69,1.69,1.67,1.68,29.83,50.01
2019-05-01,LSKEUR,1.45,1.69,1.45,1.69,33.1,55.07
2019-04-30,LSKEUR,1.45,1.45,1.45,1.45,137.93,200.0
2019-04-29,LSKEUR,1.72,1.79,1.45,1.45,472.17,727.68
2019-04-28,LSKEUR,1.72,1.72,1.72,1.72,0.0,0.0
2019-04-27,LSKEUR,1.72,1.72,1.72,1.72,0.0,0.0
2019-04-26,LSKEUR,1.58,1.72,1.51,1.72,120.78,184.52
2019-04-25,LSKEUR,1.63,1.72,1.58,1.58,200.47,323.08
2019-04-24,LSKEUR,1.87,1.87,1.63,1.63,616.17,1023.65
2019-04-23,LSKEUR,1.76,1.87,1.76,1.87,107.23,200.5
2019-04-22,LSKEUR,1.76,1.76,1.76,1.76,4.4,7.74
2019-04-21,LSKEUR,1.85,1.85,1.76,1.76,50.02,88.03
2019-04-20,LSKEUR,1.85,1.85,1.85,1.85,60.57,112.05
2019-04-19,LSKEUR,1.85,1.85,1.83,1.85,8.16,15.02
2019-04-18,LSKEUR,1.76,1.85,1.76,1.85,54.05,99.97
2019-04-17,LSKEUR,1.81,1.83,1.76,1.76,11.08,19.86
2019-04-16,LSKEUR,1.78,1.88,1.78,1.81,51.23,95.2
2019-04-15,LSKEUR,1.72,1.84,1.72,1.78,47.7,85.71
2019-04-14,LSKEUR,1.68,1.72,1.68,1.72,11.15,19.18
2019-04-13,LSKEUR,1.68,1.81,1.68,1.68,54.4,96.01
2019-04-12,LSKEUR,1.73,1.75,1.63,1.68,142.11,242.41
2019-04-11,LSKEUR,1.8,1.8,1.6,1.73,534.79,901.28
2019-04-10,LSKEUR,1.85,1.87,1.8,1.8,65.17,118.07
2019-04-09,LSKEUR,1.9,1.95,1.71,1.85,246.31,436.1
2019-04-08,LSKEUR,1.93,2.11,1.85,1.9,519.85,1056.37
2019-04-07,LSKEUR,1.9,2,1.9,1.93,160.04,316.61
2019-04-06,LSKEUR,2.09,2.09,1.75,1.9,63.79,119.05
2019-04-05,LSKEUR,1.85,2.09,1.85,2.09,619.43,1226.38
2019-04-04,LSKEUR,1.81,2.1,1.81,1.85,574.62,1113.37
2019-04-03,LSKEUR,1.72,2.02,1.72,1.81,853.15,1624.36
2019-04-02,LSKEUR,1.57,1.97,1.57,1.72,955.38,1774.48
2019-04-01,LSKEUR,1.54,1.74,1.54,1.57,180.64,290.95
2019-03-31,LSKEUR,1.56,1.56,1.54,1.54,16.66,25.75
2019-03-30,LSKEUR,1.54,1.56,1.52,1.56,217.43,330.99
2019-03-29,LSKEUR,1.35,1.54,1.35,1.54,109.74,164.72
2019-03-28,LSKEUR,1.57,1.57,1.35,1.35,22.68,31.99
2019-03-27,LSKEUR,1.39,1.58,1.39,1.57,386.96,562.52
2019-03-26,LSKEUR,1.34,1.39,1.34,1.39,3.9,5.42
2019-03-25,LSKEUR,1.31,1.38,1.31,1.34,19.06,25.89
2019-03-24,LSKEUR,1.33,1.33,1.31,1.31,122.68,160.71
2019-03-23,LSKEUR,1.32,1.38,1.32,1.33,16.07,21.67
2019-03-22,LSKEUR,1.44,1.44,1.29,1.32,500.91,651.32
2019-03-21,LSKEUR,1.38,1.44,1.3,1.44,568.04,760.56
2019-03-20,LSKEUR,1.38,1.4,1.38,1.38,143.89,200.0
2019-03-19,LSKEUR,1.43,1.43,1.31,1.38,119.4,165.55
2019-03-18,LSKEUR,1.35,1.43,1.32,1.43,53.44,72.63
2019-03-17,LSKEUR,1.32,1.37,1.32,1.35,103.59,140.23
2019-03-16,LSKEUR,1.36,1.36,1.32,1.32,520.35,688.63
2019-03-15,LSKEUR,1.45,1.5,1.35,1.36,353.25,504.58
2019-03-14,LSKEUR,1.24,1.45,1.24,1.45,882.34,1184.84
2019-03-13,LSKEUR,1.23,1.32,1.2,1.24,158.38,194.12
2019-03-12,LSKEUR,1.16,1.31,1.16,1.23,462.92,568.79
2019-03-11,LSKEUR,1.13,1.16,1.13,1.16,8.62,10.0
2019-03-10,LSKEUR,1.19,1.19,1.13,1.13,4.43,5.01
2019-03-09,LSKEUR,1.14,1.19,1.14,1.19,12.64,15.04
2019-03-08,LSKEUR,1.17,1.19,1.14,1.14,48.1,56.14
2019-03-07,LSKEUR,1.1,1.17,1.1,1.17,75.4,85.97
2019-03-06,LSKEUR,1.09,1.1,1.09,1.1,187.19,205.91
2019-03-05,LSKEUR,1.18,1.18,1.09,1.09,5.0,5.45
2019-03-04,LSKEUR,1.1,1.18,1.03,1.18,270.87,292.53
2019-03-03,LSKEUR,1.1,1.1,1.1,1.1,0.0,0.0
2019-03-02,LSKEUR,1.1,1.1,1.1,1.1,0.0,0.0
2019-03-01,LSKEUR,1.1,1.1,1.1,1.1,0.0,0.0
2019-02-28,LSKEUR,1.06,1.1,1.06,1.1,10.04,11.05
2019-02-27,LSKEUR,1.1,1.1,1.06,1.06,4.73,5.01
2019-02-26,LSKEUR,1.03,1.1,1.03,1.1,166.33,179.73
2019-02-25,LSKEUR,1.1,1.1,1.03,1.03,215.26,226.92
2019-02-24,LSKEUR,1.14,1.19,1.07,1.1,358.34,399.29
2019-02-23,LSKEUR,1.1,1.14,1.1,1.14,20.17,22.82
2019-02-22,LSKEUR,1.1,1.1,1.1,1.1,29.6,32.56
2019-02-21,LSKEUR,1.09,1.1,1.09,1.1,150.24,165.12
2019-02-20,LSKEUR,1.14,1.14,1.09,1.09,93.0,103.13
2019-02-19,LSKEUR,1.1,1.14,1.1,1.14,97.23,109.03
2019-02-18,LSKEUR,1.03,1.14,1.03,1.1,146.52,162.1
2019-02-17,LSKEUR,1.03,1.03,1.03,1.03,0.0,0.0
2019-02-16,LSKEUR,1.03,1.03,1.03,1.03,43.58,44.89
2019-02-15,LSKEUR,1,1.03,1,1.03,74.27,76.5
2019-02-14,LSKEUR,1,1,1,1,24.96,24.96
2019-02-13,LSKEUR,1.01,1.01,1,1,93.89,94.29
2019-02-12,LSKEUR,1.07,1.07,1.01,1.01,98.02,99.0
2019-02-11,LSKEUR,1.03,1.07,1.03,1.07,5.02,5.37
2019-02-10,LSKEUR,1,1.03,0.99,1.03,161.28,161.53
2019-02-09,LSKEUR,1.02,1.02,1,1,61.71,61.71
2019-02-08,LSKEUR,0.9,1.02,0.9,1.02,278.4,275.29
2019-02-07,LSKEUR,0.9,0.9,0.9,0.9,0.0,0.0
2019-02-06,LSKEUR,0.93,0.94,0.9,0.9,61.39,57.36
2019-02-05,LSKEUR,0.95,0.95,0.93,0.93,41.09,38.26
2019-02-04,LSKEUR,0.99,0.99,0.95,0.95,10.03,9.53
2019-02-03,LSKEUR,0.99,0.99,0.99,0.99,0.0,0.0
2019-02-02,LSKEUR,0.99,0.99,0.99,0.99,0.0,0.0
2019-02-01,LSKEUR,0.81,1,0.81,0.99,98.61,96.01
