Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LSK,Volume EUR
2018-08-30,LSKEUR,4.44,4.44,3.9,3.9,76.11,304.75
2018-08-29,LSKEUR,4.4,4.44,4.2,4.44,80.49,350.94
2018-08-28,LSKEUR,4.64,4.64,4.01,4.4,236.72,1039.77
2018-08-27,LSKEUR,4,4.64,3.98,4.64,63.02,253.2
2018-08-26,LSKEUR,4,4,4,4,0.0,0.0
2018-08-25,LSKEUR,4.5,4.5,4,4,100.8,411.81
2018-08-24,LSKEUR,4.15,4.54,4,4.5,558.86,2454.21
2018-08-23,LSKEUR,3.42,4.15,3.22,4.15,217.91,857.04
2018-08-22,LSKEUR,3.42,3.78,3.42,3.42,42.86,148.45
2018-08-21,LSKEUR,3.29,3.75,3.29,3.42,9.21,33.89
2018-08-20,LSKEUR,3.29,3.29,3.29,3.29,0.0,0.0
2018-08-19,LSKEUR,3.2,3.77,3.2,3.29,21.28,71.77
2018-08-18,LSKEUR,3.44,3.44,3.2,3.2,38.57,124.34
2018-08-17,LSKEUR,3.27,3.62,3.27,3.44,198.66,694.72
2018-08-16,LSKEUR,3.1,3.3,2.71,3.27,609.54,1890.71
2018-08-15,LSKEUR,2.52,3.3,2.48,3.1,215.81,600.33
2018-08-14,LSKEUR,2.71,2.73,2.35,2.52,283.4,687.99
2018-08-13,LSKEUR,2.54,3.3,2.54,2.71,170.86,513.85
2018-08-12,LSKEUR,2.66,2.66,2.66,2.66,0.0,0.0
2018-08-11,LSKEUR,2.8,2.8,2.66,2.66,11.05,29.7
2018-08-10,LSKEUR,3.27,3.29,2.8,2.8,308.82,933.49
2018-08-09,LSKEUR,2.7,3.27,2.7,3.27,351.24,1053.2
2018-08-08,LSKEUR,3.25,3.25,2.68,2.7,513.42,1440.33
2018-08-07,LSKEUR,3.13,3.33,3.13,3.25,194.74,638.56
2018-08-06,LSKEUR,3.13,3.13,3.13,3.13,0.0,0.0
2018-08-05,LSKEUR,3.13,3.13,3.13,3.13,0.0,0.0
2018-08-04,LSKEUR,3.51,3.51,3.13,3.13,163.25,549.9
2018-08-03,LSKEUR,3.7,4.2,3.5,3.51,279.23,1130.44
2018-08-02,LSKEUR,4.2,4.2,3.65,3.7,54.8,205.57
2018-08-01,LSKEUR,3.92,4.97,3.84,4.2,424.51,1709.16
2018-07-31,LSKEUR,4.5,4.5,3.92,3.92,18.64,76.12
2018-07-30,LSKEUR,5,5,4.5,4.5,5.55,24.96
2018-07-29,LSKEUR,5,5,5,5,0.0,0.0
2018-07-28,LSKEUR,4.71,5,4.49,5,54.23,268.43
2018-07-27,LSKEUR,4.3,4.74,4.11,4.71,35.62,158.92
2018-07-26,LSKEUR,4.3,5.33,4.3,4.3,143.35,651.95
2018-07-25,LSKEUR,3.55,4.3,3.55,4.3,113.89,488.34
2018-07-24,LSKEUR,3.55,3.55,3.55,3.55,0.0,0.0
2018-07-23,LSKEUR,4.2,4.79,3.55,3.55,112.81,461.4
2018-07-22,LSKEUR,4.2,4.2,4.2,4.2,0.0,0.0
2018-07-21,LSKEUR,4.2,4.2,4.2,4.2,0.0,0.0
2018-07-20,LSKEUR,5.3,5.3,4.2,4.2,209.53,918.52
2018-07-19,LSKEUR,4.9,5.3,4.8,5.3,17.11,89.25
2018-07-18,LSKEUR,5.1,5.35,4.9,4.9,253.6,1291.6
2018-07-17,LSKEUR,4.8,5.1,4.53,5.1,75.75,361.98
2018-07-16,LSKEUR,4.16,5.11,4.16,4.8,149.63,688.15
2018-07-15,LSKEUR,4.16,4.17,4.15,4.16,86.66,360.48
2018-07-14,LSKEUR,4.25,4.25,4.15,4.16,5.62,23.36
2018-07-13,LSKEUR,4.25,4.25,4.25,4.25,129.42,550.03
2018-07-12,LSKEUR,4.42,4.42,4.25,4.25,177.16,757.7
2018-07-11,LSKEUR,4.41,4.42,4.41,4.42,5.27,23.31
