Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USDT
2019-08-02 04-PM,ETHUSDT,219.92,221,214.96,216.7,29069.68,6307591.66
2019-08-02 03-PM,ETHUSDT,220.55,220.99,219.91,219.92,7337.51,1617202.98
2019-08-02 02-PM,ETHUSDT,219.84,220.64,219.51,220.55,4983.88,1096086.95
2019-08-02 01-PM,ETHUSDT,220.06,220.54,219.41,219.84,10012.18,2201333.08
2019-08-02 12-PM,ETHUSDT,219.1,220.06,219.1,220.06,4400.94,965918.88
2019-08-02 11-AM,ETHUSDT,219.81,220.22,219.1,219.1,4711.49,1035036.01
2019-08-02 10-AM,ETHUSDT,218.86,220.04,218.82,219.81,4572.45,1003320.4
2019-08-02 09-AM,ETHUSDT,219.95,220.39,218.68,218.86,10441.63,2293849.74
2019-08-02 08-AM,ETHUSDT,221.09,221.54,218.6,219.95,11025.09,2425771.8
2019-08-02 07-AM,ETHUSDT,219.8,222.18,219.71,221.09,16629.84,3679758.12
2019-08-02 06-AM,ETHUSDT,216.56,220.37,216.28,219.8,20995.36,4588627.91
2019-08-02 05-AM,ETHUSDT,216.11,216.58,215.88,216.56,4342.13,938559.65
2019-08-02 04-AM,ETHUSDT,215.66,216.44,215.38,216.11,4449.56,960787.25
2019-08-02 03-AM,ETHUSDT,216.04,216.11,215.48,215.66,5062.15,1092596.08
2019-08-02 02-AM,ETHUSDT,216.43,216.83,216,216.04,4660.09,1008899.4
2019-08-02 01-AM,ETHUSDT,216.11,216.63,216,216.43,6484.6,1402282.82
2019-08-02 12-AM,ETHUSDT,216.84,217.4,215.08,216.11,6821.49,1475621.46
2019-08-01 11-PM,ETHUSDT,216.7,217.1,216.35,216.84,4427.96,959750.23
2019-08-01 10-PM,ETHUSDT,216.81,217.27,216.51,216.7,7315.63,1587044.86
2019-08-01 09-PM,ETHUSDT,217.23,217.53,216.32,216.81,4479.95,971241.29
2019-08-01 08-PM,ETHUSDT,215.89,217.77,215.37,217.23,14319.82,3102645.5
2019-08-01 07-PM,ETHUSDT,214.74,216.73,214.66,215.89,12009.36,2588721.79
2019-08-01 06-PM,ETHUSDT,214.6,215.31,214.32,214.74,8318.6,1786596.28
2019-08-01 05-PM,ETHUSDT,213.95,214.7,213.1,214.6,5476.87,1171984.57
2019-08-01 04-PM,ETHUSDT,213.67,214.61,213.27,213.95,5147.43,1102264.21
2019-08-01 03-PM,ETHUSDT,213.15,213.86,212.86,213.67,3678.89,785019.89
2019-08-01 02-PM,ETHUSDT,213.69,213.8,212.7,213.15,4838.83,1031523.45
2019-08-01 01-PM,ETHUSDT,214.02,214.29,213.24,213.69,5750.22,1228972.9
2019-08-01 12-PM,ETHUSDT,213.58,214.64,213.5,214.02,7109.87,1522414.72
2019-08-01 11-AM,ETHUSDT,213.01,213.89,212.71,213.58,6003.39,1280185.58
2019-08-01 10-AM,ETHUSDT,213.19,213.19,212.28,213.01,7149.01,1521082.46
2019-08-01 09-AM,ETHUSDT,212.87,213.21,212.1,213.19,6624.48,1408646.36
