Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume JPY
2019-06-25 07-AM,BTCJPY,1206894,1215600,1205500,1214446,394.47,478289141.95
2019-06-25 06-AM,BTCJPY,1205999,1216000,1203100,1206894,818.81,991256366.32
2019-06-25 05-AM,BTCJPY,1196257,1208000,1194999,1205999,941.93,1131602073.95
2019-06-25 04-AM,BTCJPY,1190381,1196719,1188108,1196257,275.23,328246640.48
2019-06-25 03-AM,BTCJPY,1188875,1192998,1183669,1190381,255.27,303399019.59
2019-06-25 02-AM,BTCJPY,1188199,1197685,1184956,1188875,534.77,637388807.22
2019-06-25 01-AM,BTCJPY,1184250,1189000,1184019,1188199,298.01,353596781.24
2019-06-25 12-AM,BTCJPY,1180700,1187788,1180077,1184250,458.0,542362666.78
2019-06-24 11-PM,BTCJPY,1178203,1181779,1172000,1180700,182.59,215178693.44
2019-06-24 10-PM,BTCJPY,1174476,1185000,1173001,1178203,336.51,397115465.12
2019-06-24 09-PM,BTCJPY,1166274,1174500,1165001,1174476,127.0,148708828.41
2019-06-24 08-PM,BTCJPY,1169389,1172499,1160000,1166274,154.55,180309504.82
2019-06-24 07-PM,BTCJPY,1176372,1176680,1160000,1169389,185.47,216111604.5
2019-06-24 06-PM,BTCJPY,1181287,1186600,1175560,1176372,201.92,238550462.44
2019-06-24 05-PM,BTCJPY,1179671,1184000,1175562,1181287,183.38,216464168.78
2019-06-24 04-PM,BTCJPY,1168756,1188000,1168756,1179671,647.42,763695416.73
2019-06-24 03-PM,BTCJPY,1173089,1174036,1164000,1168756,201.33,235641232.07
2019-06-24 02-PM,BTCJPY,1163987,1173531,1163300,1173089,251.4,293925347.67
2019-06-24 01-PM,BTCJPY,1166233,1170000,1158800,1163987,252.29,293715079.57
2019-06-24 12-PM,BTCJPY,1169002,1173001,1163383,1166233,287.5,336033831.58
2019-06-24 11-AM,BTCJPY,1167222,1169600,1157384,1169002,269.19,313142375.31
2019-06-24 10-AM,BTCJPY,1166499,1175000,1165984,1167222,281.59,329736959.87
2019-06-24 09-AM,BTCJPY,1167781,1173000,1161000,1166499,262.78,306693927.81
2019-06-24 08-AM,BTCJPY,1156500,1167781,1156167,1167781,237.46,276134742.51
2019-06-24 07-AM,BTCJPY,1151999,1159030,1151044,1156500,148.85,172023408.74
2019-06-24 06-AM,BTCJPY,1160819,1160819,1148893,1151999,190.05,219248527.16
2019-06-24 05-AM,BTCJPY,1159000,1161998,1153320,1160819,380.9,440867450.57
2019-06-24 04-AM,BTCJPY,1145002,1159900,1142100,1159000,315.29,362879239.96
2019-06-24 03-AM,BTCJPY,1144500,1149500,1140450,1145002,268.05,306903529.2
2019-06-24 02-AM,BTCJPY,1142820,1150271,1139700,1144500,431.48,494306899.15
2019-06-24 01-AM,BTCJPY,1145162,1149520,1134449,1142820,460.65,526020631.54
2019-06-24 12-AM,BTCJPY,1163505,1164512,1131120,1145162,758.93,868951636.42
2019-06-23 11-PM,BTCJPY,1163106,1166273,1153000,1163505,416.06,482079248.08
2019-06-23 10-PM,BTCJPY,1169980,1179986,1153632,1163106,615.22,718096084.67
2019-06-23 09-PM,BTCJPY,1179710,1199500,1162199,1169980,875.01,1035629014.33
2019-06-23 08-PM,BTCJPY,1173899,1186600,1171600,1179710,431.45,508652940.97
2019-06-23 07-PM,BTCJPY,1161760,1176900,1161760,1173899,436.79,511071044.88
2019-06-23 06-PM,BTCJPY,1152229,1162200,1149500,1161760,200.62,231677800.83
2019-06-23 05-PM,BTCJPY,1145001,1152374,1143521,1152229,122.74,141009279.71
2019-06-23 04-PM,BTCJPY,1151000,1154992,1143590,1145001,224.66,257982586.33
2019-06-23 03-PM,BTCJPY,1149887,1152000,1145505,1151000,156.35,179631746.45
2019-06-23 02-PM,BTCJPY,1139248,1152548,1138822,1149887,321.68,369304447.95
2019-06-23 01-PM,BTCJPY,1146389,1146389,1135800,1139248,222.14,253536099.51
2019-06-23 12-PM,BTCJPY,1137300,1152300,1137300,1146389,291.56,334487670.09
2019-06-23 11-AM,BTCJPY,1131252,1144189,1131000,1137300,225.58,256975319.61
2019-06-23 10-AM,BTCJPY,1144499,1144802,1127222,1131252,291.57,330885598.16
2019-06-23 09-AM,BTCJPY,1146999,1149411,1133556,1144499,382.96,437007501.59
2019-06-23 08-AM,BTCJPY,1150415,1153000,1144000,1146999,197.15,226578463.8
2019-06-23 07-AM,BTCJPY,1150567,1156500,1147000,1150415,283.12,326107515.36
2019-06-23 06-AM,BTCJPY,1154441,1157423,1148800,1150567,213.31,246140723.24
2019-06-23 05-AM,BTCJPY,1148012,1155000,1142458,1154441,345.96,397875419.27
2019-06-23 04-AM,BTCJPY,1156000,1158337,1146346,1148012,339.22,390033145.73
2019-06-23 03-AM,BTCJPY,1150500,1157001,1143740,1156000,298.55,343403670.13
2019-06-23 02-AM,BTCJPY,1162001,1164990,1150500,1150500,282.5,326882293.43
2019-06-23 01-AM,BTCJPY,1160073,1170000,1155011,1162001,312.51,363322242.51
2019-06-23 12-AM,BTCJPY,1145500,1167000,1142654,1160073,421.89,489557125.52
2019-06-22 11-PM,BTCJPY,1124266,1152000,1124001,1145500,492.34,562848270.3
2019-06-22 10-PM,BTCJPY,1134823,1135815,1111111,1124266,694.37,780084118.19
2019-06-22 09-PM,BTCJPY,1140209,1141997,1125564,1134823,426.48,484198787.3
2019-06-22 08-PM,BTCJPY,1145336,1149762,1135500,1140209,226.12,258419390.21
2019-06-22 07-PM,BTCJPY,1139251,1149599,1135750,1145336,253.11,289624799.49
2019-06-22 06-PM,BTCJPY,1148401,1159877,1136000,1139251,311.52,357944916.13
2019-06-22 05-PM,BTCJPY,1170015,1175252,1142500,1148401,417.2,483961380.01
2019-06-22 04-PM,BTCJPY,1162000,1181489,1161010,1170015,516.89,606879543.92
2019-06-22 03-PM,BTCJPY,1156998,1167186,1143091,1162000,650.43,752131409.44
2019-06-22 02-PM,BTCJPY,1193000,1197000,1107000,1156998,1392.25,1605226595.49
2019-06-22 01-PM,BTCJPY,1194020,1199000,1185938,1193000,666.87,795428836.05
2019-06-22 12-PM,BTCJPY,1166999,1200000,1166224,1194020,1496.02,1777103352.16
2019-06-22 11-AM,BTCJPY,1171835,1172575,1161300,1166999,334.42,390449885.55
2019-06-22 10-AM,BTCJPY,1171163,1175010,1165005,1171835,512.57,599939785.42
2019-06-22 09-AM,BTCJPY,1159165,1174173,1153998,1171163,631.82,735755782.48
2019-06-22 08-AM,BTCJPY,1146600,1161800,1143714,1159165,508.69,587021791.26
2019-06-22 07-AM,BTCJPY,1154341,1156787,1145000,1146600,215.93,248489646.89
2019-06-22 06-AM,BTCJPY,1150878,1155000,1145600,1154341,301.93,347463321.21
2019-06-22 05-AM,BTCJPY,1143936,1153211,1141660,1150878,323.12,371480950.41
2019-06-22 04-AM,BTCJPY,1139460,1151767,1129000,1143936,759.51,866392499.94
2019-06-22 03-AM,BTCJPY,1153551,1174220,1136760,1139460,1405.06,1626307535.25
2019-06-22 02-AM,BTCJPY,1126799,1164320,1117001,1153551,1519.48,1738168353.53
2019-06-22 01-AM,BTCJPY,1090100,1128698,1088005,1126799,1240.82,1379578584.18
2019-06-22 12-AM,BTCJPY,1095000,1095998,1083000,1090100,669.76,729324432.45
2019-06-21 11-PM,BTCJPY,1063900,1097290,1062680,1095000,913.6,987234652.07
2019-06-21 10-PM,BTCJPY,1063784,1064999,1058000,1063900,201.15,213517838.3
2019-06-21 09-PM,BTCJPY,1065050,1066900,1060333,1063784,114.83,122211604.23
2019-06-21 08-PM,BTCJPY,1062602,1066520,1057308,1065050,172.71,183410437.14
