Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume AUD
2019-06-29 03-AM,LTCAUD,166.5,166.91,165.59,165.75,89.94,14919.62
2019-06-29 02-AM,LTCAUD,168.4,168.4,165.51,166.5,668.22,111158.34
2019-06-29 01-AM,LTCAUD,169.66,170.38,168,168.4,87.06,14776.35
2019-06-29 12-AM,LTCAUD,171.47,171.47,169.66,169.66,32.99,5610.38
2019-06-28 11-PM,LTCAUD,170.84,171.61,169.76,171.47,29.3,4998.11
2019-06-28 10-PM,LTCAUD,171.5,171.5,169.57,170.84,193.24,32941.27
2019-06-28 09-PM,LTCAUD,170.94,173.66,170.94,171.5,138.82,23933.32
2019-06-28 08-PM,LTCAUD,173.76,173.96,169.57,170.94,578.86,99946.06
2019-06-28 07-PM,LTCAUD,169.62,173.76,169.62,173.76,15.17,2619.3
2019-06-28 06-PM,LTCAUD,170.07,170.07,169.62,169.62,20.0,3392.44
2019-06-28 05-PM,LTCAUD,171.77,171.77,170.07,170.07,0.05815,9.89
2019-06-28 04-PM,LTCAUD,171,172.53,168.6,171.77,13.72,2343.13
2019-06-28 03-PM,LTCAUD,168.87,171,168.87,171,61.2,10394.81
2019-06-28 02-PM,LTCAUD,170.05,171.89,168.87,168.87,121.02,20641.99
2019-06-28 01-PM,LTCAUD,168.58,170.05,168.29,170.05,30.19,5126.67
2019-06-28 12-PM,LTCAUD,171.82,172,168,168.58,102.29,17451.33
2019-06-28 11-AM,LTCAUD,168,171.82,167.29,171.82,49.01,8260.59
2019-06-28 10-AM,LTCAUD,168.68,169.09,166.54,168,217.33,36468.24
2019-06-28 09-AM,LTCAUD,171.06,171.06,167,168.68,220.43,37051.17
2019-06-28 08-AM,LTCAUD,163.5,171.23,163.5,171.06,147.98,24948.57
2019-06-28 07-AM,LTCAUD,165.29,165.29,163.2,163.5,63.48,10452.02
2019-06-28 06-AM,LTCAUD,163.42,165.29,163.42,165.29,68.89,11359.82
2019-06-28 05-AM,LTCAUD,163.22,163.6,160.7,163.42,151.96,24539.31
2019-06-28 04-AM,LTCAUD,163.09,163.4,161.52,163.22,90.93,14823.03
2019-06-28 03-AM,LTCAUD,163.3,163.89,161.87,163.09,68.62,11175.05
