Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTG,Volume USD
2019-05-19,BTGUSD,6.4,7.29,6,7,450.42,3082.71
2019-05-18,BTGUSD,6,6.4,5.85,6.4,145.81,885.81
2019-05-17,BTGUSD,6.73,6.88,5.75,6,312.0,1936.74
2019-05-16,BTGUSD,6.75,6.93,6.7,6.73,195.21,1336.45
2019-05-15,BTGUSD,6.58,6.95,6.58,6.75,236.45,1607.17
2019-05-14,BTGUSD,6.72,7,6.5,6.58,181.41,1222.15
2019-05-13,BTGUSD,6.49,7.4,6,6.72,504.5,3324.11
2019-05-12,BTGUSD,6.33,7.1,5.91,6.49,609.94,3971.13
2019-05-11,BTGUSD,5.73,6.33,5.73,6.33,86.6,518.42
2019-05-10,BTGUSD,6.05,6.05,5.71,5.73,119.0,688.05
2019-05-09,BTGUSD,5.7,6.5,5.5,6.05,458.5,2715.41
2019-05-08,BTGUSD,5.61,5.76,5.5,5.7,179.64,1009.46
2019-05-07,BTGUSD,5.85,6.52,5.85,5.93,29.54,189.76
2019-05-06,BTGUSD,6.38,6.68,5.8,5.85,532.24,3277.89
2019-05-05,BTGUSD,6.46,6.98,6.31,6.38,94.56,623.04
2019-05-04,BTGUSD,6.5,6.63,6.31,6.46,183.66,1192.81
2019-05-03,BTGUSD,6.3,6.6,6.3,6.5,91.7,600.03
2019-05-02,BTGUSD,6.6,6.6,6.25,6.3,34.86,221.89
2019-05-01,BTGUSD,6.4,6.73,6.3,6.6,118.87,769.47
2019-04-30,BTGUSD,6.54,6.59,6.22,6.4,43.28,277.15
2019-04-29,BTGUSD,6.3,6.56,6.2,6.54,20.21,129.35
2019-04-28,BTGUSD,6.21,6.57,6.2,6.3,105.48,661.58
2019-04-27,BTGUSD,6.17,6.59,6.17,6.21,1.34,8.49
2019-04-26,BTGUSD,6.8,6.8,6.15,6.17,34.88,221.16
2019-04-25,BTGUSD,6.5,6.8,6.3,6.8,65.15,437.03
2019-04-24,BTGUSD,7.1,7.2,6.17,6.5,330.12,2207.19
2019-04-23,BTGUSD,6.8,7.12,6.6,7.1,214.95,1469.98
2019-04-22,BTGUSD,6.95,7,6.53,6.8,250.51,1696.26
2019-04-21,BTGUSD,7.25,7.25,6.12,6.95,194.11,1306.22
2019-04-20,BTGUSD,7.09,7.65,6.78,7.25,386.91,2768.47
2019-04-19,BTGUSD,7.01,7.61,6.78,7.09,167.83,1202.34
2019-04-18,BTGUSD,7.1,7.34,6.78,7.01,225.36,1571.37
2019-04-17,BTGUSD,7.2,7.2,6.89,7.1,166.06,1172.0
2019-04-16,BTGUSD,8.5,9,6.15,7.2,645.4,4613.0
2019-04-15,BTGUSD,6.75,8.81,6.67,8.5,1147.81,8799.22
2019-04-14,BTGUSD,6.7,6.95,6.67,6.75,118.99,819.62
2019-04-13,BTGUSD,6.6,6.97,6.5,6.7,87.62,594.2
2019-04-12,BTGUSD,7.02,7.02,6.46,6.6,211.29,1422.17
2019-04-11,BTGUSD,7.04,7.2,6.8,7.02,218.6,1518.11
2019-04-10,BTGUSD,6.81,7.3,6.81,7.04,162.45,1159.9
2019-04-09,BTGUSD,6.85,7.2,6.7,6.81,150.85,1037.98
2019-04-08,BTGUSD,7.15,7.2,6.85,6.85,59.32,420.83
2019-04-07,BTGUSD,7,7.2,6.7,7.15,212.85,1488.37
2019-04-06,BTGUSD,6.96,7.7,6.35,7,124.86,857.69
2019-04-05,BTGUSD,5.5,7.7,5.1,6.96,51.11,309.44
2019-04-04,BTGUSD,5.8,5.8,5.1,5.5,103.34,542.7
2019-04-03,BTGUSD,5.2,6.3,5.14,5.8,128.36,716.35
2019-04-02,BTGUSD,4.85,5.3,4.85,5.2,179.16,899.07
2019-04-01,BTGUSD,4.7,5.2,4.7,4.85,130.1,659.34
2019-03-31,BTGUSD,4.72,4.93,4.7,4.7,35.41,169.24
2019-03-30,BTGUSD,4.83,5,4.72,4.72,95.3,452.22
2019-03-29,BTGUSD,4.7,5.01,4.7,4.83,12.78,61.11
2019-03-28,BTGUSD,4.77,4.87,4.7,4.7,15.73,75.14
2019-03-27,BTGUSD,4.7,4.87,4.7,4.77,107.36,511.78
2019-03-26,BTGUSD,4.69,4.91,4.65,4.7,19.45,91.98
2019-03-25,BTGUSD,4.97,5.01,4.65,4.69,7.21,34.79
2019-03-24,BTGUSD,4.95,4.99,4.87,4.97,11.21,55.38
2019-03-23,BTGUSD,4.96,4.99,4.75,4.95,29.86,147.4
2019-03-22,BTGUSD,4.86,4.99,4.77,4.96,54.79,267.16
2019-03-21,BTGUSD,4.99,5,4.86,4.86,22.38,110.21
2019-03-20,BTGUSD,4.99,5,4.85,4.99,55.34,271.32
2019-03-19,BTGUSD,5.05,5.05,4.85,4.99,6.28,30.77
2019-03-18,BTGUSD,5.1,5.1,5,5.05,0.9064,4.54
2019-03-17,BTGUSD,4.88,5.1,4.8,5.1,2.45,12.23
2019-03-16,BTGUSD,5,5.1,4.5,4.88,5.02,23.8
2019-03-15,BTGUSD,5.1,5.14,4.99,5,7.83,39.91
2019-03-14,BTGUSD,4.9,5.12,4.9,5.1,5.29,26.33
2019-03-13,BTGUSD,5.01,5.1,4.9,4.9,24.32,119.87
2019-03-12,BTGUSD,4.9,5.1,4.9,4.9,3.67,18.48
2019-03-11,BTGUSD,4.84,5.49,4.84,4.9,19.1,94.99
2019-03-10,BTGUSD,5.18,5.18,4.91,4.92,1.22,6.0
