Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume RUR
2019-02-03,ETHRUR,7200,7330,7074.6,7132.52,135.1,967126.75
2019-02-02,ETHRUR,7151,7200,7015.17,7200,148.79,1056841.99
2019-02-01,ETHRUR,7065.9,7205.81,7000,7151,138.69,979751.84
2019-01-31,ETHRUR,7227,7291.9,7000.02,7065.9,264.85,1884530.92
2019-01-30,ETHRUR,7191,7440,7000,7227,229.77,1656769.84
2019-01-29,ETHRUR,7191.53,7400,7070,7191,200.3,1431106.04
2019-01-28,ETHRUR,7650,7699.85,7078,7191.53,300.76,2217360.73
2019-01-27,ETHRUR,7827.82,7923.89,7520.05,7650,178.21,1379160.68
2019-01-26,ETHRUR,7862.53,7989.95,7680,7827.82,136.59,1071504.07
2019-01-25,ETHRUR,7881,8010,7600,7862.53,209.88,1644251.86
2019-01-24,ETHRUR,7871.92,7950,7870,7881,128.59,1013898.04
2019-01-23,ETHRUR,8018,8100,7870,7871.92,148.43,1183418.33
2019-01-22,ETHRUR,8061.94,8120,7870,8018,203.64,1620442.42
2019-01-21,ETHRUR,8019.18,8148.49,7870,8061.94,187.55,1491634.44
2019-01-20,ETHRUR,8415.54,8540.12,8000,8019.18,264.17,2168975.81
2019-01-19,ETHRUR,8131,8600,8131,8415.54,193.28,1611133.62
2019-01-18,ETHRUR,8349.95,8400,8100,8131,194.54,1602431.78
2019-01-17,ETHRUR,8350,8467.41,8130,8349.95,245.2,2025096.5
2019-01-16,ETHRUR,8251,8599,8169,8350,212.17,1775324.38
2019-01-15,ETHRUR,8836.69,8985.73,8090,8251,278.77,2389533.54
2019-01-14,ETHRUR,8110,9039.49,8050,8836.69,235.71,2015422.84
2019-01-13,ETHRUR,8788.9,8850,8001,8110,247.55,2083226.32
2019-01-12,ETHRUR,9049.87,9100,8715.42,8788.9,161.54,1432936.98
2019-01-11,ETHRUR,9069.9,9200.5,8716.61,9049.87,259.66,2324454.37
2019-01-10,ETHRUR,10171.2,10280,8701,9069.9,506.49,4708858.86
2019-01-09,ETHRUR,10316,10499,10160,10171.2,238.14,2440370.88
2019-01-08,ETHRUR,10300,10599,10101,10316,323.29,3318939.71
2019-01-07,ETHRUR,10921.84,10999,10270,10300,223.81,2374717.55
2019-01-06,ETHRUR,11090,11196,10584.08,10921.84,278.32,3027723.51
2019-01-05,ETHRUR,11000,11366.14,11000,11090,238.77,2656206.57
2019-01-04,ETHRUR,10596,11180.98,10500.33,11000,292.88,3193965.19
2019-01-03,ETHRUR,10900,11199,10464.03,10596,367.39,3942740.55
2019-01-02,ETHRUR,9982,11188,9982,10900,438.42,4651924.64
2019-01-01,ETHRUR,9402.24,10150,9402,9982,248.12,2426689.02
2018-12-31,ETHRUR,9840.2,9850,9401,9402.24,165.83,1595893.8
2018-12-30,ETHRUR,9558.06,9944.55,9330,9840.2,220.66,2135576.91
2018-12-29,ETHRUR,9351,10108.2,9000,9558.06,391.58,3750250.69
2018-12-28,ETHRUR,8231.53,9707.08,8000,9351,370.97,3277998.91
2018-12-27,ETHRUR,9200,9200,8047.5,8231.53,327.59,2818059.08
2018-12-26,ETHRUR,9000,9441.31,8750,9200,297.61,2699441.24
2018-12-25,ETHRUR,9741.76,9819.69,8551,9000,573.35,5172194.41
2018-12-24,ETHRUR,9170.5,10981.21,9151,9741.76,767.93,7814422.56
2018-12-23,ETHRUR,8079.01,9400,8079.01,9170.5,530.68,4812271.79
2018-12-22,ETHRUR,7788.26,8150.07,7561,8079.01,207.94,1630491.1
2018-12-21,ETHRUR,7900.04,8158.48,7600,7788.26,389.07,3086539.48
2018-12-20,ETHRUR,7104.82,8124.78,6973.08,7900.04,467.76,3554795.25
2018-12-19,ETHRUR,6958.7,7794,6864.99,7104.82,546.24,4010173.59
2018-12-18,ETHRUR,6638.96,6972,6351,6958.7,341.48,2229525.63
2018-12-17,ETHRUR,6003,6774.68,5929,6638.96,394.67,2508080.96
2018-12-16,ETHRUR,5973.09,6202.49,5925.22,6003,206.96,1256565.67
2018-12-15,ETHRUR,6156.42,6199.86,5900,5973.09,132.47,800848.28
2018-12-14,ETHRUR,6395.45,6395.49,6051.59,6156.42,457.04,2874735.26
2018-12-13,ETHRUR,6599,6621.63,6320.03,6395.45,282.14,1812908.27
2018-12-12,ETHRUR,6476,6694.12,6356,6599,195.91,1276986.01
2018-12-11,ETHRUR,6550,6700,6302.22,6476,255.95,1649564.78
2018-12-10,ETHRUR,6801,6950,6400.98,6550,302.38,2008536.68
2018-12-09,ETHRUR,6650.41,7100,6401,6801,351.61,2373548.24
2018-12-08,ETHRUR,6700,7100,6272.03,6650.41,278.53,1821779.14
2018-12-07,ETHRUR,7200.19,7249.96,6272,6700,626.14,4112956.95
2018-12-06,ETHRUR,7600,7600,7022.11,7200.19,472.5,3423616.71
2018-12-05,ETHRUR,8090,8097.98,7503,7600,332.09,2582319.55
2018-12-04,ETHRUR,8090,8244,7895,8090,236.45,1894670.6
2018-12-03,ETHRUR,8445.77,8488.31,7922.65,8090,301.51,2462876.71
2018-12-02,ETHRUR,8559,8600,8382.68,8445.77,149.54,1262156.82
2018-12-01,ETHRUR,8400,8680.18,8200,8559,207.25,1746848.67
2018-11-30,ETHRUR,8536.99,8800,8285.17,8400,285.74,2421782.18
2018-11-29,ETHRUR,8601.83,9100,8300,8536.99,405.94,3484854.9
2018-11-28,ETHRUR,7700,8870,7669.92,8601.83,506.08,4167355.93
2018-11-27,ETHRUR,7668.04,7910.1,7450,7700,261.43,1981642.71
2018-11-26,ETHRUR,8110.11,8300,7555.04,7668.04,248.64,1966618.64
2018-11-25,ETHRUR,8205.48,8363,7213.47,8110.11,467.62,3638218.82
2018-11-24,ETHRUR,8699.96,8950,8100.01,8205.48,270.84,2319576.45
2018-11-23,ETHRUR,9115.98,9115.98,8400,8699.96,382.34,3312673.21
2018-11-22,ETHRUR,9360.28,9712.69,9000,9115.98,316.71,2934043.47
2018-11-21,ETHRUR,9120,9750,8837,9360.28,359.78,3368654.31
2018-11-20,ETHRUR,10260.78,10851,8500,9120,788.3,7526294.25
2018-11-19,ETHRUR,12400.35,12498.61,10250,10260.78,475.32,5279655.33
2018-11-18,ETHRUR,12330.11,12575.45,12297,12400.35,138.5,1717748.94
2018-11-17,ETHRUR,12499.85,12580,12200,12330.11,127.26,1565113.02
2018-11-16,ETHRUR,12800,12928,12310,12499.85,226.9,2850558.59
2018-11-15,ETHRUR,13282.85,13393.89,12100,12800,328.6,4170250.48
2018-11-14,ETHRUR,14030,14129,12800,13282.85,365.98,4953029.0
2018-11-13,ETHRUR,14250,14250,14000,14030,154.28,2175077.21
2018-11-12,ETHRUR,14200,14256,14011,14250,151.05,2135598.98
2018-11-11,ETHRUR,14451,14491,14005,14200,134.04,1900725.16
2018-11-10,ETHRUR,14147.98,14491,14001,14451,191.16,2712687.21
2018-11-09,ETHRUR,14069,14200.79,13865,14147.98,160.58,2248696.91
2018-11-08,ETHRUR,14414.71,14434.62,13820,14069,205.54,2883370.46
2018-11-07,ETHRUR,14250,14484.38,14093,14414.71,186.6,2662087.84
2018-11-06,ETHRUR,13800.46,14380,13674.6,14250,226.37,3163910.59
2018-11-05,ETHRUR,13896.58,14069,13660.7,13800.46,169.3,2333082.54
2018-11-04,ETHRUR,13293.6,14130,13255,13896.58,198.08,2695477.71
2018-11-03,ETHRUR,13344.24,13500,13200,13293.6,130.78,1737691.64
2018-11-02,ETHRUR,13180.91,13500,13125,13344.24,196.77,2606101.19
2018-11-01,ETHRUR,13226,13300,13125,13180.91,174.52,2301887.46
2018-10-31,ETHRUR,13298,13300,13100,13226,190.07,2502913.27
2018-10-30,ETHRUR,13297,13301,13100,13298,193.75,2558007.09
2018-10-29,ETHRUR,13522.99,13540.66,13152,13297,221.52,2956420.69
2018-10-28,ETHRUR,13450,13706,13404.89,13522.99,134.9,1818383.46
2018-10-27,ETHRUR,13499,13532.67,13354.37,13450,188.0,2526675.02
