Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LIZ,Volume ARUR
2018-08-19 06-AM,LIZARUR,43.1,43.1,41.1,41.1,16.71,688.95
2018-08-19 05-AM,LIZARUR,43.1,43.1,43.1,43.1,0.0,0.0
2018-08-19 04-AM,LIZARUR,43.1,43.1,43.1,43.1,0.0,0.0
2018-08-19 03-AM,LIZARUR,43.1,43.1,43.1,43.1,0.0,0.0
2018-08-19 02-AM,LIZARUR,46.7,46.7,43.1,43.1,0.002856,0.1231
2018-08-19 01-AM,LIZARUR,41.1,46.7,41.1,46.7,0.02141,1.0
2018-08-19 12-AM,LIZARUR,41.1,41.1,41.1,41.1,0.0,0.0
2018-08-18 11-PM,LIZARUR,41.1,41.1,41.1,41.1,0.0,0.0
2018-08-18 10-PM,LIZARUR,41.1,41.1,41.1,41.1,0.0,0.0
2018-08-18 09-PM,LIZARUR,44,44,41.1,41.1,17.42,730.84
2018-08-18 08-PM,LIZARUR,44.8,44.8,44,44,8.13,359.1
2018-08-18 07-PM,LIZARUR,44.5,44.8,44.5,44.8,0.003,0.1344
2018-08-18 06-PM,LIZARUR,43.8,44.8,43.51,44.5,144.64,6381.25
2018-08-18 05-PM,LIZARUR,43.8,45.78,43.8,43.8,45.13,1981.18
2018-08-18 04-PM,LIZARUR,43.8,45,43.8,43.8,244.05,10689.22
2018-08-18 03-PM,LIZARUR,43.8,46.8,43.8,43.8,69.72,3055.14
2018-08-18 02-PM,LIZARUR,46.8,46.8,43.8,43.8,45.8,2033.46
2018-08-18 01-PM,LIZARUR,45.8,46.8,43.8,46.8,120.66,5343.91
2018-08-18 12-PM,LIZARUR,44.9,45.8,43.8,45.8,172.52,7573.34
2018-08-18 11-AM,LIZARUR,44.9,44.9,43.8,44.9,350.38,15486.26
2018-08-18 10-AM,LIZARUR,44.8,44.9,43.8,44.9,248.27,10892.44
2018-08-18 09-AM,LIZARUR,45,45,44.8,44.8,0.645,28.91
2018-08-18 08-AM,LIZARUR,45.5,45.8,45,45,25.74,1164.65
2018-08-18 07-AM,LIZARUR,43.51,46.8,43.51,45.5,63.64,2937.28
2018-08-18 06-AM,LIZARUR,47.65,47.65,43.51,43.51,15.02,705.96
2018-08-18 05-AM,LIZARUR,48,48,47.65,47.65,28.24,1346.92
2018-08-18 04-AM,LIZARUR,48,48,48,48,0.0,0.0
2018-08-18 03-AM,LIZARUR,48.01,48.01,48,48,0.8646,41.5
2018-08-18 02-AM,LIZARUR,46,48.01,46,48.01,0.002087,0.1002
2018-08-18 01-AM,LIZARUR,46,46,46,46,0.0,0.0
2018-08-18 12-AM,LIZARUR,48.1,48.1,46,46,0.52,24.99
2018-08-17 11-PM,LIZARUR,46,48.1,46,48.1,0.427,20.54
2018-08-17 10-PM,LIZARUR,46,46,46,46,6.52,300.0
2018-08-17 09-PM,LIZARUR,47,48.2,46,46,55.9,2601.06
2018-08-17 08-PM,LIZARUR,45.5,47,43.51,47,43.01,1919.13
2018-08-17 07-PM,LIZARUR,49.99,49.99,45.5,45.5,67.16,3083.23
2018-08-17 06-PM,LIZARUR,50,50,45.5,49.99,25.45,1195.3
2018-08-17 05-PM,LIZARUR,46.89,52.7,46.89,50,19.65,996.14
2018-08-17 04-PM,LIZARUR,52.7,52.7,46.89,46.89,75.33,3555.38
2018-08-17 03-PM,LIZARUR,52.7,52.7,52.6,52.7,6.06,319.3
2018-08-17 02-PM,LIZARUR,52.7,52.7,47.2,52.7,28.15,1472.59
2018-08-17 01-PM,LIZARUR,52.2,52.7,52.2,52.7,8.28,436.53
2018-08-17 12-PM,LIZARUR,49.5,52.7,49,52.2,18.38,942.68
2018-08-17 11-AM,LIZARUR,52.7,52.7,49.5,49.5,23.29,1223.92
2018-08-17 10-AM,LIZARUR,49,54.99,49,52.7,171.11,9118.92
2018-08-17 09-AM,LIZARUR,45.3,55,45,49,922.92,45954.65
2018-08-17 08-AM,LIZARUR,47.89,47.89,43.5,45.3,142.33,6511.31
2018-08-17 07-AM,LIZARUR,44.8,48.65,41,47.89,95.25,4085.4
2018-08-17 06-AM,LIZARUR,42.2,50,42.2,44.8,94.08,4274.4
2018-08-17 05-AM,LIZARUR,54,54,42.2,42.2,138.62,6214.42
2018-08-17 04-AM,LIZARUR,62,62,43,54,268.33,12008.35
2018-08-17 03-AM,LIZARUR,62,62,46,62,152.47,9421.27
2018-08-17 02-AM,LIZARUR,46,62,46,62,2.05,126.86
2018-08-17 01-AM,LIZARUR,46,46,46,46,21.26,978.15
2018-08-17 12-AM,LIZARUR,64,64,46,46,41.05,1889.29
2018-08-16 11-PM,LIZARUR,64,64,64,64,1.0,64.0
2018-08-16 10-PM,LIZARUR,62,64,59.99,64,71.13,4462.19
2018-08-16 09-PM,LIZARUR,63,63,46,62,63.46,3348.58
2018-08-16 08-PM,LIZARUR,52,64,48,63,166.67,8079.8
2018-08-16 07-PM,LIZARUR,68,68,52,52,138.15,7560.92
2018-08-16 06-PM,LIZARUR,56,76,56,68,88.75,5682.71
2018-08-16 05-PM,LIZARUR,75.51,92,51,56,821.44,59341.52
2018-08-16 04-PM,LIZARUR,43,200,43,75.51,1522.65,132047.04
2018-08-16 03-PM,LIZARUR,43,45,43,43,131.74,5881.17
2018-08-16 02-PM,LIZARUR,43,43,43,43,13.58,584.15
2018-08-16 01-PM,LIZARUR,42,43,42,43,3.35,143.8
2018-08-16 12-PM,LIZARUR,38,42,38,42,87.4,3670.17
2018-08-16 11-AM,LIZARUR,42,42,36,38,120.86,5003.63
2018-08-16 10-AM,LIZARUR,38.88,42,38.88,42,192.55,8058.51
2018-08-16 09-AM,LIZARUR,38.68,38.88,35.61,38.88,141.47,5341.79
2018-08-16 08-AM,LIZARUR,38.87,38.87,35.5,38.68,46.72,1663.85
2018-08-16 07-AM,LIZARUR,39.8,39.88,35.5,38.87,230.58,8571.38
2018-08-16 06-AM,LIZARUR,40,40,34.5,39.8,8.54,339.81
2018-08-16 05-AM,LIZARUR,34.5,42.9,33.9,40,69.15,2347.46
2018-08-16 04-AM,LIZARUR,36.75,43,34.5,34.5,57.99,2108.85
2018-08-16 03-AM,LIZARUR,43.95,43.95,36.75,36.75,293.13,10929.25
2018-08-16 02-AM,LIZARUR,43.95,43.95,43.95,43.95,0.0,0.0
2018-08-16 01-AM,LIZARUR,43.95,43.95,43.95,43.95,0.0,0.0
2018-08-16 12-AM,LIZARUR,43.95,43.95,43.95,43.95,0.0,0.0
2018-08-15 11-PM,LIZARUR,43,43.95,43,43.95,13.0,571.35
2018-08-15 10-PM,LIZARUR,43.86,43.95,43,43,88.19,3871.89
2018-08-15 09-PM,LIZARUR,40.1,43.88,38,43.86,2.84,109.09
2018-08-15 08-PM,LIZARUR,43,43.9,40,40.1,5.39,224.05
2018-08-15 07-PM,LIZARUR,40,43,37.2,43,59.98,2519.75
2018-08-15 06-PM,LIZARUR,38,43.98,35,40,111.79,4367.45
2018-08-15 05-PM,LIZARUR,44,44,36.2,38,183.82,7068.05
2018-08-15 04-PM,LIZARUR,42.1,44,39.99,44,255.3,10597.53
2018-08-15 03-PM,LIZARUR,46.5,46.5,39.99,42.1,513.41,21463.99
2018-08-15 02-PM,LIZARUR,47,47,42.5,46.5,26.91,1247.09
2018-08-15 01-PM,LIZARUR,49.7,51.99,45,47,501.05,23102.87
2018-08-15 12-PM,LIZARUR,45,51.99,45,49.7,208.25,10362.12
2018-08-15 11-AM,LIZARUR,51.98,51.98,45,45,189.58,9114.41
2018-08-15 10-AM,LIZARUR,48,51.98,45,51.98,221.34,10595.67
2018-08-15 09-AM,LIZARUR,48,48,48,48,10.09,484.37
2018-08-15 08-AM,LIZARUR,46.3,50,46.3,48,118.9,5646.55
2018-08-15 07-AM,LIZARUR,50,50,44,46.3,297.02,14202.87
