Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume PLN
2019-05-21,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-05-20,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-05-19,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-05-18,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-05-17,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-05-16,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-05-15,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-05-14,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-05-13,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-05-12,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-05-11,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-05-10,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-05-09,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-05-08,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-05-07,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-05-06,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-05-05,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-05-04,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-05-03,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-05-02,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-05-01,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-04-30,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-04-29,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-04-28,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-04-27,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-04-26,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-04-25,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-04-24,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-04-23,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-04-22,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-04-21,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-04-20,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-04-19,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-04-18,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-04-17,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-04-16,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-04-15,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-04-14,ETHPLN,2500,2500,2500,2500,0.0,0.0
2019-04-13,ETHPLN,2500,2500,2500,2500,0.0,0.0
