Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LSK,Volume ETH
2018-08-25,LSKETH,0.01777,0.01916,0.01764,0.01798,3305.93,61.16
2018-08-24,LSKETH,0.01682,0.01916,0.01632,0.01777,13279.22,235.72
2018-08-23,LSKETH,0.0142,0.01742,0.01407,0.01682,17249.68,262.25
2018-08-22,LSKETH,0.01421,0.0146,0.01408,0.0142,1137.23,16.37
2018-08-21,LSKETH,0.01354,0.0149,0.01345,0.01421,4922.5,71.37
2018-08-20,LSKETH,0.0125,0.01359,0.0125,0.01354,3079.11,40.55
2018-08-19,LSKETH,0.01226,0.01328,0.01212,0.0125,3203.49,40.71
2018-08-18,LSKETH,0.01255,0.0134,0.01179,0.01226,9841.01,123.64
2018-08-17,LSKETH,0.01363,0.01465,0.01234,0.01255,12029.39,162.35
2018-08-16,LSKETH,0.01048,0.01448,0.0104,0.01363,19877.4,246.76
2018-08-15,LSKETH,0.009302,0.01058,0.009193,0.01048,5904.15,58.54
2018-08-14,LSKETH,0.009926,0.0104,0.009302,0.009302,6835.25,66.72
2018-08-13,LSKETH,0.008832,0.01022,0.0088,0.009926,4914.36,48.31
2018-08-12,LSKETH,0.008837,0.008837,0.008837,0.008837,0.0,0.0
2018-08-11,LSKETH,0.009054,0.009369,0.008808,0.008837,1573.28,14.32
2018-08-10,LSKETH,0.009043,0.009116,0.008736,0.009054,1150.43,10.25
2018-08-09,LSKETH,0.008848,0.009116,0.008702,0.009043,3245.46,28.4
2018-08-08,LSKETH,0.009422,0.009449,0.00852,0.008848,1549.71,13.89
2018-08-07,LSKETH,0.009313,0.009695,0.009021,0.009422,5710.98,52.87
2018-08-06,LSKETH,0.009267,0.009384,0.009267,0.009313,1792.04,16.67
2018-08-05,LSKETH,0.009093,0.009334,0.009093,0.009267,1410.33,13.03
2018-08-04,LSKETH,0.009713,0.009903,0.009085,0.009093,1596.86,14.91
2018-08-03,LSKETH,0.01029,0.01029,0.009553,0.009713,2511.51,24.98
2018-08-02,LSKETH,0.01067,0.01085,0.01023,0.01029,3929.15,41.58
2018-08-01,LSKETH,0.01054,0.01071,0.01028,0.01067,925.65,9.77
2018-07-31,LSKETH,0.01065,0.01081,0.01046,0.01054,935.32,9.93
2018-07-30,LSKETH,0.01091,0.01103,0.0105,0.01065,751.23,8.12
2018-07-29,LSKETH,0.01058,0.01169,0.01035,0.01091,7065.8,76.2
2018-07-28,LSKETH,0.01035,0.01058,0.01023,0.01058,5900.84,61.99
2018-07-27,LSKETH,0.0103,0.01041,0.0101,0.01035,1492.63,15.49
2018-07-26,LSKETH,0.0106,0.01088,0.01021,0.0103,711.02,7.61
2018-07-25,LSKETH,0.01035,0.01082,0.01035,0.0106,1583.64,16.71
2018-07-24,LSKETH,0.01058,0.01071,0.0101,0.01035,763.64,7.92
2018-07-23,LSKETH,0.01086,0.01105,0.01057,0.01058,467.91,5.0
2018-07-22,LSKETH,0.01081,0.01107,0.01072,0.01086,315.02,3.44
2018-07-21,LSKETH,0.01099,0.01099,0.01065,0.01081,739.42,7.99
2018-07-20,LSKETH,0.01153,0.01153,0.01084,0.01099,4690.79,51.77
2018-07-19,LSKETH,0.01189,0.01197,0.01141,0.01153,3562.93,41.4
2018-07-18,LSKETH,0.01144,0.01215,0.01144,0.01189,3257.43,38.84
2018-07-17,LSKETH,0.01128,0.01147,0.01107,0.01144,603.05,6.74
2018-07-16,LSKETH,0.01116,0.01138,0.011,0.01128,2423.87,26.77
2018-07-15,LSKETH,0.01131,0.01131,0.01116,0.01116,652.08,7.35
2018-07-14,LSKETH,0.01126,0.01131,0.01117,0.01131,230.66,2.6
2018-07-13,LSKETH,0.0112,0.01131,0.0111,0.01126,1484.25,16.68
2018-07-12,LSKETH,0.0116,0.01162,0.0112,0.0112,546.52,6.21
2018-07-11,LSKETH,0.01165,0.01189,0.0116,0.0116,298.06,3.47
2018-07-10,LSKETH,0.01142,0.01179,0.01142,0.01165,454.02,5.25
2018-07-09,LSKETH,0.01124,0.01163,0.01124,0.01142,898.9,10.13
2018-07-08,LSKETH,0.01152,0.01161,0.01124,0.01124,207.84,2.39
2018-07-07,LSKETH,0.01205,0.01215,0.01145,0.01152,227.45,2.63
2018-07-06,LSKETH,0.01196,0.01205,0.01162,0.01205,528.52,6.24
2018-07-05,LSKETH,0.01235,0.01254,0.01176,0.01196,754.77,9.17
2018-07-04,LSKETH,0.0122,0.01279,0.0121,0.01235,3461.05,42.82
2018-07-03,LSKETH,0.0124,0.01278,0.0122,0.0122,1784.45,22.3
2018-07-02,LSKETH,0.01201,0.01259,0.01185,0.0124,1596.3,19.76
