Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume CAD
2018-04-14,BTCCAD,9895.01,10300,9860.4,10100,109.56,1107868.01
2018-04-13,BTCCAD,9986.99,10301,9750,9895.01,674.23,6776263.59
2018-04-12,BTCCAD,8842,9998.99,8720.01,9986.99,789.24,7429694.77
2018-04-11,BTCCAD,8733.13,8849.99,8631.03,8842,248.93,2182918.51
2018-04-10,BTCCAD,8744,8785.99,8542.66,8733.13,211.36,1829525.56
2018-04-09,BTCCAD,8979.97,9099,8560.5,8744,312.96,2764604.39
2018-04-08,BTCCAD,8845,9084.65,8776.01,8979.97,383.01,3407012.35
2018-04-07,BTCCAD,8600,9084.98,8501,8845,235.07,2079819.25
2018-04-06,BTCCAD,8776,8798,8500,8600,203.74,1747691.95
2018-04-05,BTCCAD,8830.11,8999,8581.07,8776,402.56,3519341.2
2018-04-04,BTCCAD,9540,9540,8721.09,8830.11,314.74,2859889.69
2018-04-03,BTCCAD,9110.93,9724.98,8976,9540,426.29,4009566.87
2018-04-02,BTCCAD,8924.75,9212.03,8827,9110.93,663.0,5958000.72
2018-04-01,BTCCAD,9125.69,9359.99,8520,8924.75,307.46,2724281.28
2018-03-31,BTCCAD,9126.52,9555,9062,9125.69,244.06,2274546.25
2018-03-30,BTCCAD,9400.01,9555,8905.01,9126.52,797.05,7345594.75
2018-03-29,BTCCAD,10488,10564.88,9350,9400.01,1102.6,10809552.46
2018-03-28,BTCCAD,10361.01,10859.99,10341.01,10488,293.53,3086372.58
2018-03-27,BTCCAD,10859,10900,10310.69,10361.01,322.12,3407300.99
2018-03-26,BTCCAD,11150,11184.88,10400.02,10859,536.03,5766906.1
2018-03-25,BTCCAD,11150,11300,11000,11150,173.77,1934090.54
2018-03-24,BTCCAD,11445,11690,11150,11150,194.19,2233921.62
2018-03-23,BTCCAD,11400,11497.97,10961.51,11445,469.23,5213060.36
2018-03-22,BTCCAD,11609.99,11789.99,11044.88,11400,329.55,3722006.57
2018-03-21,BTCCAD,11730,12132.41,11333.01,11609.99,409.65,4770154.36
2018-03-20,BTCCAD,11299,11899,11043,11730,457.93,5217490.68
2018-03-19,BTCCAD,10870,11477,10800,11299,1001.61,11065819.63
2018-03-18,BTCCAD,10523.94,11079.97,9667.81,10870,1175.21,11903069.44
2018-03-17,BTCCAD,11006,11099,10251.59,10523.94,645.86,6838536.4
2018-03-16,BTCCAD,10756.8,11347.99,10700,11006,770.22,8501631.33
2018-03-15,BTCCAD,10850.01,11000,10500,10756.8,1106.24,11889036.13
2018-03-14,BTCCAD,11989.98,12249.98,10592.99,10850.01,1164.05,13187481.29
2018-03-13,BTCCAD,12054.85,12424.99,11748,11989.98,412.93,4956425.71
2018-03-12,BTCCAD,12777,12989.98,11557,12054.85,633.65,7711123.04
2018-03-11,BTCCAD,11899.99,12995,11560,12777,336.89,4109078.46
2018-03-10,BTCCAD,12730.01,12998,11600,11899.99,629.29,7636823.33
2018-03-09,BTCCAD,12501.01,12999,11700,12730.01,937.7,11395263.11
2018-03-08,BTCCAD,13160,13400.5,12500,12501.01,584.03,7495631.75
2018-03-07,BTCCAD,13901,13999,12711.01,13160,952.2,12735036.2
2018-03-06,BTCCAD,14650,14738.99,13755,13901,672.49,9510012.18
2018-03-05,BTCCAD,14439,14750,14400,14650,286.03,4179413.56
2018-03-04,BTCCAD,14500,14697.9,14250,14439,251.69,3613483.5
2018-03-03,BTCCAD,14097,14750,13995.01,14500,459.39,6616974.25
2018-03-02,BTCCAD,13872.74,14200,13600,14097,326.0,4560444.74
2018-03-01,BTCCAD,13330,13995.02,13000.01,13872.74,506.62,6830417.57
2018-02-28,BTCCAD,13500,13998,13300,13330,237.38,3220908.65
2018-02-27,BTCCAD,12920,13750,12710.01,13500,558.84,7496021.17
2018-02-26,BTCCAD,12200,13199.99,11806.01,12920,404.99,5172272.11
2018-02-25,BTCCAD,12627.32,12795.45,11800,12200,410.97,4974136.58
2018-02-24,BTCCAD,13069,13467.06,12201,12627.32,313.33,3987652.11
2018-02-23,BTCCAD,12550,13297,12251.01,13069,335.44,4298927.23
2018-02-22,BTCCAD,13410,13966.39,12400,12550,514.61,6752848.86
2018-02-21,BTCCAD,14050,14300,13015.01,13410,599.5,8174301.77
2018-02-20,BTCCAD,14062.04,14750,14000,14050,465.78,6735875.39
2018-02-19,BTCCAD,13419.99,14250,13300,14062.04,269.65,3685483.32
2018-02-18,BTCCAD,14182.14,14400,13300,13419.99,629.21,8587741.03
2018-02-17,BTCCAD,12602.23,14390,12600,14182.14,717.22,9697727.28
2018-02-16,BTCCAD,12678.99,12750,12101.02,12602.23,379.53,4765813.7
2018-02-15,BTCCAD,11745.95,12749,11500.01,12678.99,945.38,11513166.09
2018-02-14,BTCCAD,10749,11747.99,10600,11745.95,685.68,7670910.37
2018-02-13,BTCCAD,10969.9,10975,10560,10749,403.23,4327901.96
2018-02-12,BTCCAD,10180.23,11000,10170,10969.9,580.57,6261129.81
2018-02-11,BTCCAD,10599.99,10599.99,9550,10180.23,307.0,3114257.95
2018-02-10,BTCCAD,10420,11000,10078,10599.99,505.31,5316293.76
2018-02-09,BTCCAD,10188.99,10420,9650,10420,663.49,6776433.22
2018-02-08,BTCCAD,9068.99,10400,9010,10188.99,530.1,5306620.99
2018-02-07,BTCCAD,9189.99,10550,8502,9068.99,831.83,8057104.27
2018-02-06,BTCCAD,8300,9484,6300,9189.99,2472.6,19556613.55
2018-02-05,BTCCAD,10250,10529.97,7830.14,8300,1645.98,14302695.02
2018-02-04,BTCCAD,11374,11497,9877.01,10250,652.36,6898198.78
2018-02-03,BTCCAD,11000,11992,10050,11374,542.79,6042520.65
2018-02-02,BTCCAD,10405.55,11000.99,9300,11000,1497.63,15287358.89
2018-02-01,BTCCAD,12200,12250,10100,10405.55,1371.88,14890960.92
2018-01-31,BTCCAD,12290,12400,11830,12200,571.53,6924702.67
2018-01-30,BTCCAD,13900,13996,12010,12290,936.1,11982740.77
2018-01-29,BTCCAD,14556,14645,13503,13900,448.88,6258493.12
2018-01-28,BTCCAD,14159.83,14750,14005.23,14556,507.72,7316789.95
2018-01-27,BTCCAD,13819.02,14250,13601.03,14159.83,294.98,4156046.03
2018-01-26,BTCCAD,14100,14222,13020,13819.02,408.28,5652140.31
2018-01-25,BTCCAD,14098.98,14250,13503.99,14100,388.72,5461736.84
2018-01-24,BTCCAD,13949.99,14199,13326,14098.98,385.66,5358218.29
2018-01-23,BTCCAD,13699.79,14250,13000,13949.99,920.91,12738063.94
2018-01-22,BTCCAD,14798.9,14800,12950,13699.79,573.49,7889702.61
2018-01-21,BTCCAD,15820,15840,14144.45,14798.9,378.82,5620469.19
2018-01-20,BTCCAD,14453.24,16000,14451,15820,633.16,9850836.34
2018-01-19,BTCCAD,14615,16000,14209,14453.24,685.83,10070856.55
2018-01-18,BTCCAD,13950,15450,13770,14615,775.43,11429346.76
2018-01-17,BTCCAD,14550,14888.95,11800.02,13950,1564.28,20633608.12
2018-01-16,BTCCAD,17389.99,17389.99,12499,14550,1810.25,26638788.62
2018-01-15,BTCCAD,17397.99,17949,17000.01,17389.99,287.44,5048237.38
2018-01-14,BTCCAD,17650,17999.99,16999,17397.99,423.26,7355424.88
2018-01-13,BTCCAD,17340,17999.91,17146,17650,378.62,6678993.96
2018-01-12,BTCCAD,16960,17898,16539.53,17340,610.45,10561746.88
2018-01-11,BTCCAD,18409,18410,16500,16960,624.35,10879870.91
2018-01-10,BTCCAD,18106,18410,17201.43,18409,647.05,11569144.59
2018-01-09,BTCCAD,18750,19000,17800.01,18106,368.77,6850028.02
2018-01-08,BTCCAD,19778,19896.99,17500.01,18750,617.9,11575822.97
2018-01-07,BTCCAD,20899,20899,15000,19778,737.81,14496340.92
2018-01-06,BTCCAD,20299,21249,19899,20899,442.23,8994034.94
2018-01-05,BTCCAD,18897,20399,18405.01,20299,955.56,18594389.85
2018-01-04,BTCCAD,18800,18986.98,17977.28,18897,693.16,12929411.68
2018-01-03,BTCCAD,18350,19000,18106,18800,399.45,7488119.03
2018-01-02,BTCCAD,17595.99,18898,16910,18350,803.14,14415229.68
2018-01-01,BTCCAD,18325.02,18520,17050,17595.99,437.39,7743015.04
2017-12-31,BTCCAD,16950,18699.96,16900,18325.02,367.88,6572435.48
2017-12-30,BTCCAD,19060,19299,16799,16950,641.98,11408692.02
2017-12-29,BTCCAD,18750,19500,18300.02,19060,405.94,7746767.7
2017-12-28,BTCCAD,19750,19800,18100,18750,417.95,7865487.32
2017-12-27,BTCCAD,20164.96,20915,18773.6,19750,364.43,7262813.3
2017-12-26,BTCCAD,18300,20499.98,18177.51,20164.96,433.08,8558669.25
2017-12-25,BTCCAD,18350,19000,17702,18300,288.39,5294350.65
2017-12-24,BTCCAD,19250.1,19499,17500,18350,471.22,8583261.68
2017-12-23,BTCCAD,18458.78,20500,17911.01,19250.1,717.42,13901451.54
2017-12-22,BTCCAD,19957.96,20196.45,13250,18458.78,2444.93,41815398.71
2017-12-21,BTCCAD,21449,22130,19250,19957.96,781.93,16098324.83
2017-12-20,BTCCAD,22448.89,23000,16501,21449,1302.43,27322246.92
2017-12-19,BTCCAD,23890,24397.97,21509.16,22448.89,847.31,19723545.12
2017-12-18,BTCCAD,24475,24499.97,22999.01,23890,669.88,15853324.65
2017-12-17,BTCCAD,24830.33,24999,23913,24475,415.88,10166735.36
2017-12-16,BTCCAD,22140,25029,22000,24830.33,831.73,19558455.9
2017-12-15,BTCCAD,20751.1,22200,20751.1,22140,848.28,18483868.81
2017-12-14,BTCCAD,20750,21009,19935.69,20751.1,477.4,9814053.39
2017-12-13,BTCCAD,21551,21825,19746,20750,718.97,15064104.03
2017-12-12,BTCCAD,21200,21999,20450,21551,880.96,18808235.7
2017-12-11,BTCCAD,19000,21800,19000,21200,1207.11,24657206.67
2017-12-10,BTCCAD,18350,19349.98,16299,19000,1246.62,22676702.11
2017-12-09,BTCCAD,19450,19525,16400,18350,995.03,18088597.42
2017-12-08,BTCCAD,20438,20881,16450,19450,1482.59,28268284.35
2017-12-07,BTCCAD,17769,21000,16705.01,20438,2034.28,38819522.11
2017-12-06,BTCCAD,15397.98,17777.77,15250,17769,900.11,14879114.71
2017-12-05,BTCCAD,14848,15405,14800,15397.98,361.93,5476674.6
2017-12-04,BTCCAD,14621.86,14900,14376.03,14848,521.25,7586493.14
2017-12-03,BTCCAD,13898,15135.99,13750,14621.86,720.55,10468562.34
2017-12-02,BTCCAD,13900,14274,13700.88,13898,296.15,4142681.79
2017-12-01,BTCCAD,13240,14000,12600,13900,581.85,7844554.68
2017-11-30,BTCCAD,12916,14250,12000.01,13240,822.29,10602264.04
2017-11-29,BTCCAD,12730.46,14700,11912,12916,2379.36,31931819.95
2017-11-28,BTCCAD,12420,12849,12260.06,12730.46,713.25,8970336.35
2017-11-27,BTCCAD,11825.47,12444,11824.96,12420,544.55,6630016.66
2017-11-26,BTCCAD,11050,11999,11003.03,11825.47,653.5,7509312.16
2017-11-25,BTCCAD,10450,11050,10350,11050,426.24,4632625.54
2017-11-24,BTCCAD,10390,10600,10335,10450,486.32,5083061.56
