Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume PLN
2019-06-25 02-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-25 01-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-25 12-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-25 11-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-25 10-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-25 09-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-25 08-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-25 07-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-25 06-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-25 05-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-25 04-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-25 03-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-25 02-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-25 01-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-25 12-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-24 11-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-24 10-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-24 09-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-24 08-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-24 07-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-24 06-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-24 05-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-24 04-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-24 03-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-24 02-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-24 01-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-24 12-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-24 11-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-24 10-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-24 09-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-24 08-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-24 07-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-24 06-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-24 05-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-24 04-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-24 03-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-24 02-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-24 01-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-24 12-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-23 11-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-23 10-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-23 09-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-23 08-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-23 07-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-23 06-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-23 05-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-23 04-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-23 03-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-23 02-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-23 01-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-23 12-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-23 11-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-23 10-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-23 09-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-23 08-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-23 07-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-23 06-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-23 05-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-23 04-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-23 03-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-23 02-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-23 01-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-23 12-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-22 11-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-22 10-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-22 09-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-22 08-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-22 07-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-22 06-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-22 05-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-22 04-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-22 03-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-22 02-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-22 01-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-22 12-PM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-22 11-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-22 10-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-22 09-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-22 08-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-22 07-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-22 06-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-22 05-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
2019-06-22 04-AM,BTCPLN,29450,29450,29450,29450,0.0,0.0
