Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XRP,Volume ETH
2018-05-09,XRPETH,0.00108,0.00109,0.00103,0.00107,348053.0,368.71
2018-05-08,XRPETH,0.0011,0.00111,0.00106,0.00108,117795.0,128.3
2018-05-07,XRPETH,0.0011,0.00116,0.00108,0.0011,88307.0,99.08
2018-05-06,XRPETH,0.00111,0.00112,0.00108,0.0011,68434.0,75.12
2018-05-05,XRPETH,0.00113,0.00115,0.00109,0.00111,229523.0,255.8
2018-05-04,XRPETH,0.00112,0.00116,0.0011,0.00113,160605.0,182.37
2018-05-03,XRPETH,0.00126,0.00126,0.00111,0.00112,146412.0,171.96
2018-05-02,XRPETH,0.00123,0.00127,0.00123,0.00126,74344.0,92.79
2018-05-01,XRPETH,0.00124,0.00126,0.00122,0.00123,102036.0,126.47
2018-04-30,XRPETH,0.00125,0.00127,0.00121,0.00124,127446.0,156.88
2018-04-29,XRPETH,0.00126,0.00131,0.00123,0.00125,86980.0,110.2
2018-04-28,XRPETH,0.00125,0.00129,0.00122,0.00126,87311.0,109.7
2018-04-27,XRPETH,0.00128,0.00129,0.00123,0.00125,73866.0,93.17
2018-04-26,XRPETH,0.00128,0.00132,0.00123,0.00128,152143.0,195.25
2018-04-25,XRPETH,0.00132,0.00133,0.00127,0.00128,153951.0,200.31
2018-04-24,XRPETH,0.00137,0.00139,0.00129,0.00132,241724.0,322.1
2018-04-23,XRPETH,0.00138,0.00139,0.00134,0.00137,168365.0,228.93
2018-04-22,XRPETH,0.00143,0.00145,0.00136,0.00138,188428.0,263.04
2018-04-21,XRPETH,0.0015,0.00151,0.00138,0.00143,130035.0,187.08
2018-04-20,XRPETH,0.00137,0.00158,0.00137,0.0015,287129.0,422.64
2018-04-19,XRPETH,0.00136,0.00138,0.0012,0.00137,203225.0,269.98
2018-04-18,XRPETH,0.00131,0.0014,0.0013,0.00136,339634.0,453.95
2018-04-17,XRPETH,0.0013,0.00133,0.00129,0.00131,351830.0,463.83
2018-04-16,XRPETH,0.0013,0.00136,0.00126,0.0013,74549.0,96.62
2018-04-15,XRPETH,0.00128,0.00136,0.00126,0.0013,41080.0,53.13
2018-04-14,XRPETH,0.00132,0.00132,0.00126,0.00128,54195.0,70.13
2018-04-13,XRPETH,0.00129,0.00138,0.00122,0.00132,232004.0,303.4
2018-04-12,XRPETH,0.00126,0.00137,0.0012,0.00129,168183.0,209.77
2018-04-11,XRPETH,0.00119,0.00129,0.00116,0.00126,175353.0,210.28
2018-04-10,XRPETH,0.00122,0.00123,0.00118,0.00119,85470.0,103.38
2018-04-09,XRPETH,0.00125,0.00125,0.00119,0.00122,122831.0,149.01
2018-04-08,XRPETH,0.00126,0.00127,0.00123,0.00125,152401.0,189.37
2018-04-07,XRPETH,0.00127,0.00129,0.00125,0.00126,28935.0,36.72
2018-04-06,XRPETH,0.00128,0.0013,0.00125,0.00127,44195.0,56.45
2018-04-05,XRPETH,0.0013,0.00131,0.00126,0.00128,152465.0,195.97
2018-04-04,XRPETH,0.00131,0.00134,0.00129,0.0013,125290.0,164.24
2018-04-03,XRPETH,0.00128,0.00135,0.00127,0.00131,162792.0,211.24
2018-04-02,XRPETH,0.00126,0.00129,0.00124,0.00128,52556.0,66.33
2018-04-01,XRPETH,0.00128,0.0013,0.00125,0.00126,42515.0,54.16
2018-03-31,XRPETH,0.00127,0.00128,0.00124,0.00128,110388.0,138.85
2018-03-30,XRPETH,0.00131,0.00132,0.00126,0.00127,74425.0,95.67
2018-03-29,XRPETH,0.00128,0.00133,0.00128,0.00131,126593.0,165.21
2018-03-28,XRPETH,0.00127,0.0013,0.00125,0.00128,4275797.0,5472.5
2018-03-27,XRPETH,0.00121,0.00129,0.00121,0.00127,122566.0,153.86
2018-03-26,XRPETH,0.00121,0.00124,0.0012,0.00121,80312.0,97.51
2018-03-25,XRPETH,0.00121,0.00124,0.0012,0.00121,50744.0,61.65
2018-03-24,XRPETH,0.00118,0.00128,0.00117,0.00121,136341.0,168.24
2018-03-23,XRPETH,0.00121,0.00122,0.00118,0.00118,81002.0,97.32
2018-03-22,XRPETH,0.00121,0.00122,0.00119,0.00121,75660.0,91.1
2018-03-21,XRPETH,0.00126,0.00126,0.00119,0.00121,115826.0,140.22
2018-03-20,XRPETH,0.0013,0.0013,0.00125,0.00126,157403.0,200.45
2018-03-19,XRPETH,0.00122,0.00131,0.00116,0.0013,168256.0,207.5
2018-03-18,XRPETH,0.00114,0.00122,0.00114,0.00122,231306.0,271.91
2018-03-17,XRPETH,0.00113,0.00115,0.0011,0.00114,188986.0,211.85
2018-03-16,XRPETH,0.00112,0.00117,0.00112,0.00113,149302.0,169.37
2018-03-15,XRPETH,0.00112,0.00117,0.00109,0.00112,158531.0,176.99
2018-03-14,XRPETH,0.00112,0.00114,0.00111,0.00112,100169.0,112.64
2018-03-13,XRPETH,0.00113,0.00113,0.0011,0.00112,89477.0,100.12
