Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BCH,Volume PLN
2019-06-29 08-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-29 07-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-29 06-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-29 05-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-29 04-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-29 03-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-29 02-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-29 01-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-29 12-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-28 11-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-28 10-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-28 09-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-28 08-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-28 07-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-28 06-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-28 05-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-28 04-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-28 03-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-28 02-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-28 01-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-28 12-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-28 11-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-28 10-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-28 09-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-28 08-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-28 07-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-28 06-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-28 05-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-28 04-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-28 03-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-28 02-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-28 01-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-28 12-AM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-27 11-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-27 10-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-27 09-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-27 08-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-27 07-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
2019-06-27 06-PM,BCHPLN,5527,5527,5527,5527,0.0,0.0
