Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume RUB
2019-08-03 12-PM,LTCRUB,6091.28,6121.21,6050.03,6096.71,47.22,287467.82
2019-08-03 11-AM,LTCRUB,6103.23,6115,6078.56,6091.28,36.87,224805.42
2019-08-03 10-AM,LTCRUB,6065.91,6106.73,6054.67,6103.23,41.59,252992.38
2019-08-03 09-AM,LTCRUB,6106.03,6108.4,6045,6065.91,36.89,224185.2
2019-08-03 08-AM,LTCRUB,6125.55,6159.8,6091.4,6106.03,49.12,301204.26
2019-08-03 07-AM,LTCRUB,6125.23,6142.64,6098.24,6125.55,48.91,299411.4
2019-08-03 06-AM,LTCRUB,6085.22,6142.71,6060.45,6125.23,36.25,221513.37
2019-08-03 05-AM,LTCRUB,6139.44,6144.25,6057.37,6085.22,41.37,252217.59
2019-08-03 04-AM,LTCRUB,6183.86,6185.77,6117.04,6139.44,40.44,248391.26
2019-08-03 03-AM,LTCRUB,6156.62,6189.24,6152.21,6183.86,32.36,199672.59
2019-08-03 02-AM,LTCRUB,6132.14,6199.97,6121.35,6156.62,40.7,250758.93
2019-08-03 01-AM,LTCRUB,6086.96,6142.71,6076.29,6132.14,32.17,196637.61
2019-08-03 12-AM,LTCRUB,6093.11,6107.56,6074.6,6086.96,36.61,222843.67
2019-08-02 11-PM,LTCRUB,6090.99,6103.91,6068.73,6093.11,35.45,215829.98
2019-08-02 10-PM,LTCRUB,6041.1,6090.99,6032.3,6090.99,33.52,203523.62
2019-08-02 09-PM,LTCRUB,6010.31,6052.38,6001.03,6041.1,35.51,213932.84
2019-08-02 08-PM,LTCRUB,6029.45,6029.45,5973.42,6010.31,84.76,508206.34
2019-08-02 07-PM,LTCRUB,6084.51,6091,5999,6029.45,37.1,224553.94
2019-08-02 06-PM,LTCRUB,6057.43,6102.06,6016.03,6084.51,66.97,406151.08
2019-08-02 05-PM,LTCRUB,6074.39,6086.89,5983.43,6057.43,51.92,313340.45
2019-08-02 04-PM,LTCRUB,6253.33,6276.84,6009.35,6074.39,114.73,707887.54
2019-08-02 03-PM,LTCRUB,6253.55,6299.18,6233.13,6253.33,74.99,469192.56
2019-08-02 02-PM,LTCRUB,6268.33,6280,6251.26,6253.55,37.86,237160.9
2019-08-02 01-PM,LTCRUB,6257.35,6277,6240.7,6268.33,31.08,194603.4
2019-08-02 12-PM,LTCRUB,6278.1,6300,6245,6257.35,34.85,218676.4
2019-08-02 11-AM,LTCRUB,6265.73,6281.66,6245,6278.1,52.75,330726.18
2019-08-02 10-AM,LTCRUB,6246.17,6271.84,6245,6265.73,49.07,306973.39
2019-08-02 09-AM,LTCRUB,6275,6286.66,6224.15,6246.17,42.35,264930.41
2019-08-02 08-AM,LTCRUB,6290,6299.25,6259.75,6275,49.43,310597.71
2019-08-02 07-AM,LTCRUB,6253.5,6298.87,6253.5,6290,39.8,250065.85
2019-08-02 06-AM,LTCRUB,6251.51,6289.73,6220.5,6253.5,31.35,195837.71
2019-08-02 05-AM,LTCRUB,6220.69,6270.91,6188,6251.51,46.0,285779.49
2019-08-02 04-AM,LTCRUB,6178.36,6227.04,6168.57,6220.69,32.41,200433.94
2019-08-02 03-AM,LTCRUB,6236.61,6249.73,6168.54,6178.36,111.59,692657.49
2019-08-02 02-AM,LTCRUB,6264.12,6276.55,6226.57,6236.61,30.82,192639.39
2019-08-02 01-AM,LTCRUB,6257.43,6264.12,6226.85,6264.12,33.18,207240.1
2019-08-02 12-AM,LTCRUB,6342.3,6345.69,6215.43,6257.43,35.66,223894.65
2019-08-01 11-PM,LTCRUB,6313.76,6351.17,6308.23,6342.3,37.39,236770.77
2019-08-01 10-PM,LTCRUB,6286.43,6346.52,6286.21,6313.76,31.52,199171.09
2019-08-01 09-PM,LTCRUB,6332.86,6346.81,6279,6286.43,52.28,329644.01
2019-08-01 08-PM,LTCRUB,6405.82,6405.82,6332.86,6332.86,56.06,356761.45
2019-08-01 07-PM,LTCRUB,6408.01,6496,6352.91,6405.82,43.34,278527.3
2019-08-01 06-PM,LTCRUB,6341.16,6408.12,6329.47,6408.01,43.6,278057.63
2019-08-01 05-PM,LTCRUB,6300.55,6361.64,6256.3,6341.16,51.94,327363.66
2019-08-01 04-PM,LTCRUB,6278.54,6331.21,6220.5,6300.55,45.7,287483.77
2019-08-01 03-PM,LTCRUB,6227.12,6300,6222.17,6278.54,89.36,557855.54
2019-08-01 02-PM,LTCRUB,6336.48,6345.35,6227.12,6227.12,70.58,444261.22
2019-08-01 01-PM,LTCRUB,6296.55,6350,6272.93,6336.48,47.96,302899.93
2019-08-01 12-PM,LTCRUB,6216.15,6300,6175.26,6296.55,73.81,462065.77
2019-08-01 11-AM,LTCRUB,6170.16,6281.66,6156.24,6216.15,68.34,425403.21
2019-08-01 10-AM,LTCRUB,6179.13,6211.67,6151.35,6170.16,36.08,222872.59
2019-08-01 09-AM,LTCRUB,6192.26,6229.19,6172.51,6179.13,43.1,266992.53
2019-08-01 08-AM,LTCRUB,6173.21,6228.35,6164.18,6192.26,38.7,239813.35
2019-08-01 07-AM,LTCRUB,6157.51,6187.74,6148.27,6173.21,35.41,218339.8
2019-08-01 06-AM,LTCRUB,6176.97,6177.15,6117.19,6157.51,42.16,258988.2
2019-08-01 05-AM,LTCRUB,6171.56,6211.79,6142,6176.97,49.83,307758.74
2019-08-01 04-AM,LTCRUB,6185.37,6191.09,6136.01,6171.56,41.18,254280.19
2019-08-01 03-AM,LTCRUB,6226.45,6240.31,6170,6185.37,38.88,241065.88
2019-08-01 02-AM,LTCRUB,6236.39,6258.66,6212.41,6226.45,38.72,241402.3
2019-08-01 01-AM,LTCRUB,6285.01,6306.97,6223.8,6236.39,52.34,327733.84
2019-08-01 12-AM,LTCRUB,6357.6,6383.13,6285.01,6285.01,38.5,244538.37
2019-07-31 11-PM,LTCRUB,6365.87,6377.65,6337.95,6357.6,33.87,215343.98
2019-07-31 10-PM,LTCRUB,6370.14,6388.68,6292.75,6365.87,37.77,239615.82
2019-07-31 09-PM,LTCRUB,6352.74,6382.4,6302.86,6370.14,42.27,267776.65
2019-07-31 08-PM,LTCRUB,6293.79,6363.53,6267.53,6352.74,20.09,127190.03
2019-07-31 07-PM,LTCRUB,6293.79,6293.79,6293.79,6293.79,0.0,0.0
2019-07-31 06-PM,LTCRUB,6177.87,6353.93,6147.6,6293.79,88.77,554177.01
2019-07-31 05-PM,LTCRUB,6101.56,6184.17,6082.18,6177.87,42.92,263226.23
2019-07-31 04-PM,LTCRUB,6148.98,6160,6098.61,6101.56,41.1,251970.78
2019-07-31 03-PM,LTCRUB,6117.2,6156.48,6100.69,6148.98,38.76,237873.82
2019-07-31 02-PM,LTCRUB,6141.7,6171.8,6094.98,6117.2,43.38,266132.72
2019-07-31 01-PM,LTCRUB,6110.28,6171.8,6097.54,6141.7,40.43,247923.37
2019-07-31 12-PM,LTCRUB,5990.42,6198.97,5959.86,6110.28,71.02,433470.34
2019-07-31 11-AM,LTCRUB,5993.25,6011.98,5944.98,5990.42,61.91,369511.66
2019-07-31 10-AM,LTCRUB,5929.44,6060,5929.44,5993.25,125.23,753135.6
2019-07-31 09-AM,LTCRUB,5956.23,5970.53,5910.43,5929.44,43.65,259776.0
2019-07-31 08-AM,LTCRUB,5953.49,5979.05,5930,5956.23,47.11,280455.8
2019-07-31 07-AM,LTCRUB,5950.41,5968.12,5930,5953.49,39.8,236935.71
2019-07-31 06-AM,LTCRUB,5940.69,5968.15,5926.63,5950.41,46.07,273661.46
2019-07-31 05-AM,LTCRUB,5905.57,5968.15,5894.88,5940.69,47.83,283557.65
2019-07-31 04-AM,LTCRUB,5860.92,5918.3,5846.57,5905.57,41.15,242413.24
2019-07-31 03-AM,LTCRUB,5900.37,5912.81,5844.49,5860.92,44.53,262147.21
2019-07-31 02-AM,LTCRUB,5898.68,5918.01,5877.12,5900.37,36.44,214824.49
2019-07-31 01-AM,LTCRUB,5923.99,5923.99,5873.1,5898.68,41.32,243674.05
2019-07-31 12-AM,LTCRUB,5852.99,5923.99,5841.62,5923.99,36.14,212494.9
2019-07-30 11-PM,LTCRUB,5856.46,5865.03,5836.59,5852.99,38.96,227975.74
2019-07-30 10-PM,LTCRUB,5854.83,5868.19,5840.05,5856.46,37.19,217596.55
2019-07-30 09-PM,LTCRUB,5844.32,5873.77,5821.97,5854.83,51.69,301809.87
2019-07-30 08-PM,LTCRUB,5895.44,5906.24,5828,5844.32,35.37,207609.19
2019-07-30 07-PM,LTCRUB,5919.9,5930.59,5858.42,5895.44,76.26,449943.27
2019-07-30 06-PM,LTCRUB,5876.59,5925.9,5876.59,5919.9,42.31,249726.28
2019-07-30 05-PM,LTCRUB,5913.99,5971.43,5873.52,5876.59,64.39,381199.37
2019-07-30 04-PM,LTCRUB,5948.92,5976.23,5885.32,5913.99,43.01,255383.34
2019-07-30 03-PM,LTCRUB,5828,6001.63,5828,5948.92,70.07,415228.41
2019-07-30 02-PM,LTCRUB,5855,5876.88,5811.72,5828,50.08,292426.29
2019-07-30 01-PM,LTCRUB,5824.99,5868.86,5811.72,5855,58.7,343341.26
2019-07-30 12-PM,LTCRUB,5840,5903.94,5812.5,5824.99,52.42,306874.24
2019-07-30 11-AM,LTCRUB,5784.95,5880,5784.95,5840,48.79,284793.06
2019-07-30 10-AM,LTCRUB,5783.84,5819.84,5760.9,5784.95,57.61,333312.72
2019-07-30 09-AM,LTCRUB,5817,5817,5756.55,5783.84,39.65,229193.87
2019-07-30 08-AM,LTCRUB,5798.97,5817.92,5763.18,5817,46.5,269685.95
2019-07-30 07-AM,LTCRUB,5819.69,5834.18,5769.52,5798.97,53.22,309190.13
2019-07-30 06-AM,LTCRUB,5806.08,5831.58,5779.34,5819.69,38.08,221130.37
2019-07-30 05-AM,LTCRUB,5813.15,5817.94,5779.31,5806.08,46.38,269122.96
2019-07-30 04-AM,LTCRUB,5802.21,5819.81,5795,5813.15,42.83,248662.53
2019-07-30 03-AM,LTCRUB,5758.89,5802.21,5755.64,5802.21,37.57,217408.75
2019-07-30 02-AM,LTCRUB,5851.55,5864.17,5745.13,5758.89,50.98,296817.45
2019-07-30 01-AM,LTCRUB,5894.07,5908.87,5835.02,5851.55,40.77,239159.79
2019-07-30 12-AM,LTCRUB,5898.21,5911.86,5881.27,5894.07,38.91,229453.37
2019-07-29 11-PM,LTCRUB,5905.98,5929.88,5882.6,5898.21,41.07,242836.63
2019-07-29 10-PM,LTCRUB,5877.09,5934.87,5877.09,5905.98,94.49,557336.99
2019-07-29 09-PM,LTCRUB,5905.92,5989.36,5877.09,5877.09,85.13,505409.33
2019-07-29 08-PM,LTCRUB,5871.19,5905.92,5844.52,5905.92,57.27,336333.59
2019-07-29 07-PM,LTCRUB,5884.01,5896.52,5844.4,5871.19,43.03,252476.35
2019-07-29 06-PM,LTCRUB,5861.66,5899.85,5845.22,5884.01,38.9,228307.04
2019-07-29 05-PM,LTCRUB,5851.8,5885.12,5831.39,5861.66,53.29,312053.27
2019-07-29 04-PM,LTCRUB,5803.78,5909.87,5734.33,5851.8,85.14,498815.33
2019-07-29 03-PM,LTCRUB,5797.11,5858.58,5766.53,5803.78,42.25,245761.97
2019-07-29 02-PM,LTCRUB,5866.01,5866.01,5763.18,5797.11,54.85,318350.56
2019-07-29 01-PM,LTCRUB,5791.38,5882.77,5763.18,5866.01,87.26,507892.62
2019-07-29 12-PM,LTCRUB,5809.99,5819.81,5779.66,5791.38,44.58,258592.74
2019-07-29 11-AM,LTCRUB,5800,5845.25,5779.6,5809.99,37.13,215711.28
2019-07-29 10-AM,LTCRUB,5764.96,5827.61,5758.28,5800,46.65,270573.3
2019-07-29 09-AM,LTCRUB,5883.18,5883.18,5731.04,5764.96,46.35,268751.83
2019-07-29 08-AM,LTCRUB,5861.43,5883.18,5844.34,5883.18,51.5,302090.85
2019-07-29 07-AM,LTCRUB,5862.28,5897.83,5840,5861.43,60.45,354970.47
2019-07-29 06-AM,LTCRUB,5846.88,5868.84,5819.49,5862.28,44.4,259508.2
2019-07-29 05-AM,LTCRUB,5897.68,5910.02,5834,5846.88,44.42,261345.28
2019-07-29 04-AM,LTCRUB,5884.4,5971.12,5884.4,5897.68,49.82,294783.54
2019-07-29 03-AM,LTCRUB,5899.75,5929.73,5881.68,5884.4,49.2,290579.34
2019-07-29 02-AM,LTCRUB,5934.4,5934.4,5894.47,5899.75,41.25,244026.22
2019-07-29 01-AM,LTCRUB,5882.03,5969.07,5860.44,5934.4,75.91,448101.39
2019-07-29 12-AM,LTCRUB,5896.69,5918.3,5860.44,5882.03,84.34,496005.77
2019-07-28 11-PM,LTCRUB,5795.71,5955.29,5750.21,5896.69,65.01,379979.0
2019-07-28 10-PM,LTCRUB,5796.49,5885,5500,5795.71,219.28,1234352.81
2019-07-28 09-PM,LTCRUB,5814.07,5826.91,5783.46,5796.49,46.18,268519.41
2019-07-28 08-PM,LTCRUB,5837.79,5885.89,5812,5814.07,61.66,359567.35
2019-07-28 07-PM,LTCRUB,5805,5848.72,5804.06,5837.79,41.53,242071.9
2019-07-28 06-PM,LTCRUB,5817.07,5836.14,5795.87,5805,37.71,219366.89
2019-07-28 05-PM,LTCRUB,5826.74,5832.03,5800.75,5817.07,53.52,311205.75
2019-07-28 04-PM,LTCRUB,5790.25,5852.45,5775.51,5826.74,54.13,314707.3
2019-07-28 03-PM,LTCRUB,5763.18,5819.61,5763.18,5790.25,47.72,276358.27
2019-07-28 02-PM,LTCRUB,5752.44,5803.53,5743.09,5763.18,46.97,271792.77
2019-07-28 01-PM,LTCRUB,5762.79,5771.23,5742.32,5752.44,43.03,247710.41
2019-07-28 12-PM,LTCRUB,5765.72,5787.39,5750.3,5762.79,43.58,251054.82
2019-07-28 11-AM,LTCRUB,5726.25,5771.23,5726.25,5765.72,41.03,235675.46
2019-07-28 10-AM,LTCRUB,5778.6,5778.6,5720,5726.25,45.67,262308.15
2019-07-28 09-AM,LTCRUB,5771.96,5813.8,5747.36,5778.6,39.77,230166.47
2019-07-28 08-AM,LTCRUB,5816.9,5848.75,5760.86,5771.96,92.77,539463.36
2019-07-28 07-AM,LTCRUB,5825,5846.61,5800.38,5816.9,43.87,255584.46
2019-07-28 06-AM,LTCRUB,5799.58,5836.14,5795.61,5825,44.37,258082.32
2019-07-28 05-AM,LTCRUB,5810.02,5826.95,5780.58,5799.58,46.29,268627.23
2019-07-28 04-AM,LTCRUB,5736.86,5815.07,5724.53,5810.02,42.98,247778.34
2019-07-28 03-AM,LTCRUB,5757.13,5782.54,5728.08,5736.86,45.32,260813.95
2019-07-28 02-AM,LTCRUB,5740.53,5766.46,5731.04,5757.13,41.29,237463.46
2019-07-28 01-AM,LTCRUB,5757.12,5771.11,5720,5740.53,47.68,273842.54
2019-07-28 12-AM,LTCRUB,5756.4,5771.23,5735.17,5757.12,40.5,232964.55
2019-07-27 11-PM,LTCRUB,5772.65,5787.27,5720.6,5756.4,55.41,318973.47
2019-07-27 10-PM,LTCRUB,5799.31,5819.29,5752.04,5772.65,52.81,305780.05
2019-07-27 09-PM,LTCRUB,5741.33,5805.27,5732.42,5799.31,43.78,252540.01
2019-07-27 08-PM,LTCRUB,5765.88,5780,5715.04,5741.33,53.34,306833.26
2019-07-27 07-PM,LTCRUB,5725.64,5767,5723.15,5765.88,42.4,243680.28
