Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DOG,Volume EUSD
2019-03-02,DOGEUSD,0.002127,0.002129,0.002127,0.002129,98.19,0.209
2019-03-01,DOGEUSD,0.002104,0.002127,0.0021,0.002127,6732.37,14.16
2019-02-28,DOGEUSD,0.002107,0.002137,0.002104,0.002104,103.74,0.2214
2019-02-27,DOGEUSD,0.002106,0.002163,0.002106,0.002107,41352.59,89.16
2019-02-26,DOGEUSD,0.002122,0.002151,0.002106,0.002106,7231.35,15.46
2019-02-25,DOGEUSD,0.002103,0.002122,0.002103,0.002122,944.42,2.0
2019-02-24,DOGEUSD,0.00222,0.002235,0.00209,0.002103,12470.15,27.45
2019-02-23,DOGEUSD,0.002181,0.002238,0.002173,0.00222,1411.23,3.13
2019-02-22,DOGEUSD,0.00219,0.002205,0.002179,0.002181,67129.77,147.06
2019-02-21,DOGEUSD,0.002205,0.002205,0.00219,0.00219,1244.87,2.73
2019-02-20,DOGEUSD,0.002207,0.002251,0.00219,0.002205,7028.13,15.59
2019-02-19,DOGEUSD,0.002218,0.002259,0.00217,0.002207,695809.89,1543.75
2019-02-18,DOGEUSD,0.002162,0.0023,0.00212,0.002218,4888876.09,10783.71
2019-02-17,DOGEUSD,0.00207,0.002196,0.00207,0.002162,3050127.69,6497.57
2019-02-16,DOGEUSD,0.00207,0.002084,0.00206,0.00207,1443208.58,2991.63
2019-02-15,DOGEUSD,0.002049,0.002098,0.002048,0.00207,2180823.59,4489.46
2019-02-14,DOGEUSD,0.002036,0.00206,0.002011,0.002049,1906743.9,3883.99
2019-02-13,DOGEUSD,0.002006,0.0021,0.00199,0.002036,1243853.34,2520.55
2019-02-12,DOGEUSD,0.001984,0.0024,0.001961,0.002006,3578559.64,7537.37
2019-02-11,DOGEUSD,0.002019,0.002033,0.001967,0.001984,1453268.08,2896.7
2019-02-10,DOGEUSD,0.002023,0.002044,0.001973,0.002019,1946776.91,3904.81
2019-02-09,DOGEUSD,0.002015,0.002056,0.002,0.002023,2780921.22,5647.94
2019-02-08,DOGEUSD,0.001962,0.002059,0.001932,0.002015,3059474.28,6079.29
2019-02-07,DOGEUSD,0.001912,0.001975,0.001901,0.001962,939504.71,1817.75
2019-02-06,DOGEUSD,0.002006,0.002006,0.0019,0.001912,2517499.36,4965.77
2019-02-05,DOGEUSD,0.002016,0.00205,0.002,0.002006,1864832.87,3781.97
2019-02-04,DOGEUSD,0.002046,0.002075,0.00201,0.002016,1589359.61,3246.44
2019-02-03,DOGEUSD,0.002041,0.00209,0.00203,0.002046,991137.46,2032.99
2019-02-02,DOGEUSD,0.002056,0.0021,0.002032,0.002041,1205914.9,2491.22
2019-02-01,DOGEUSD,0.002054,0.002079,0.002011,0.002056,1508827.53,3097.28
2019-01-31,DOGEUSD,0.002114,0.0022,0.00204,0.002054,2378192.42,4983.62
2019-01-30,DOGEUSD,0.00205,0.002117,0.00202,0.002114,2162004.19,4461.01
2019-01-29,DOGEUSD,0.002091,0.0022,0.002016,0.00205,1987246.91,4127.22
2019-01-28,DOGEUSD,0.002199,0.002225,0.00207,0.002091,4304960.69,9223.36
2019-01-27,DOGEUSD,0.002202,0.002237,0.00219,0.002199,1731021.6,3827.75
2019-01-26,DOGEUSD,0.002204,0.002248,0.002198,0.002202,1721551.86,3828.65
2019-01-25,DOGEUSD,0.002202,0.002244,0.002181,0.002204,2428953.35,5356.12
2019-01-24,DOGEUSD,0.002204,0.002236,0.00218,0.002202,1633037.37,3592.11
2019-01-23,DOGEUSD,0.002245,0.002255,0.0022,0.002204,2531787.6,5628.5
2019-01-22,DOGEUSD,0.002246,0.00227,0.002219,0.002245,1618644.65,3622.64
2019-01-21,DOGEUSD,0.002253,0.00229,0.002225,0.002246,1073801.16,2422.31
2019-01-20,DOGEUSD,0.002301,0.002325,0.002238,0.002253,1339055.92,3040.38
2019-01-19,DOGEUSD,0.00222,0.002325,0.00221,0.002301,2231522.73,5013.52
2019-01-18,DOGEUSD,0.002287,0.002354,0.002211,0.00222,2086301.11,4693.6
2019-01-17,DOGEUSD,0.002281,0.002375,0.00225,0.002287,3469325.26,7919.3
2019-01-16,DOGEUSD,0.00227,0.0023,0.002235,0.002281,1577495.71,3566.77
2019-01-15,DOGEUSD,0.002311,0.0024,0.00223,0.00227,2253496.58,5144.35
2019-01-14,DOGEUSD,0.002266,0.002361,0.002235,0.002311,2804126.78,6455.14
2019-01-13,DOGEUSD,0.002307,0.002327,0.002235,0.002266,1208903.66,2760.27
2019-01-12,DOGEUSD,0.002299,0.002337,0.002277,0.002307,1607906.02,3693.48
2019-01-11,DOGEUSD,0.002318,0.002337,0.002221,0.002299,2198414.53,5041.98
2019-01-10,DOGEUSD,0.0024,0.002451,0.002221,0.002318,5268885.16,12299.87
2019-01-09,DOGEUSD,0.002435,0.002471,0.002381,0.0024,3021279.9,7318.26
2019-01-08,DOGEUSD,0.00247,0.00247,0.002369,0.002435,1827967.92,4437.76
2019-01-07,DOGEUSD,0.002469,0.002486,0.002434,0.00247,1941173.5,4773.49
2019-01-06,DOGEUSD,0.002469,0.00256,0.002425,0.002469,5164983.45,12822.31
2019-01-05,DOGEUSD,0.002487,0.002536,0.00246,0.002469,2325042.04,5797.69
2019-01-04,DOGEUSD,0.002512,0.00259,0.002425,0.002487,2715612.13,6789.72
2019-01-03,DOGEUSD,0.002576,0.002585,0.0025,0.002512,3293288.81,8333.22
2019-01-02,DOGEUSD,0.002578,0.002592,0.002499,0.002576,2862006.22,7272.31
2019-01-01,DOGEUSD,0.002513,0.002578,0.002488,0.002578,1824325.89,4598.18
2018-12-31,DOGEUSD,0.002499,0.002545,0.002475,0.002513,1519503.75,3803.71
2018-12-30,DOGEUSD,0.002499,0.002556,0.00242,0.002499,1776632.08,4451.61
2018-12-29,DOGEUSD,0.002522,0.0026,0.00242,0.002499,2360942.98,5937.9
2018-12-28,DOGEUSD,0.002449,0.00258,0.00241,0.002522,2870502.57,7184.95
