Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETC,Volume AUD
2019-01-07,ETCAUD,7.53,7.56,6.76,6.86,2033.43,14343.79
2019-01-06,ETCAUD,7.16,7.7,7.16,7.53,1962.0,14490.18
2019-01-05,ETCAUD,7.4,7.49,7.16,7.16,478.47,3500.15
2019-01-04,ETCAUD,7.26,7.43,7.15,7.4,653.39,4740.08
2019-01-03,ETCAUD,7.84,7.84,7.2,7.26,3404.66,25819.44
2019-01-02,ETCAUD,7.35,7.84,7.33,7.84,2325.3,17529.16
2019-01-01,ETCAUD,6.95,7.35,6.95,7.35,255.06,1818.29
2018-12-31,ETCAUD,7.36,7.55,6.95,6.95,2008.33,14351.85
2018-12-30,ETCAUD,7.14,7.58,7.14,7.36,425.65,3139.7
2018-12-29,ETCAUD,7.27,7.61,7.01,7.14,2515.86,18721.72
2018-12-28,ETCAUD,6.89,7.5,6.66,7.27,1877.87,13322.14
2018-12-27,ETCAUD,7.55,8,6.75,6.89,3038.25,22224.02
2018-12-26,ETCAUD,6.66,7.69,6.64,7.55,7289.24,52351.62
2018-12-25,ETCAUD,7.37,7.37,6.36,6.66,7044.49,47231.8
2018-12-24,ETCAUD,6.89,7.82,6.89,7.37,1683.8,12574.34
2018-12-23,ETCAUD,6.52,7,6.52,6.89,1153.73,7882.56
2018-12-22,ETCAUD,6.41,6.61,6.1,6.52,1057.41,6594.15
2018-12-21,ETCAUD,6.7,6.81,6.34,6.41,1672.19,10886.59
2018-12-20,ETCAUD,6.16,6.9,6.07,6.7,5524.12,35113.12
2018-12-19,ETCAUD,5.8,6.6,5.8,6.16,4152.39,25734.31
2018-12-18,ETCAUD,5.42,5.8,5.31,5.8,3516.13,19449.46
2018-12-17,ETCAUD,4.94,5.65,4.87,5.42,5234.69,27311.16
2018-12-16,ETCAUD,4.92,5.2,4.92,4.94,2277.18,11541.95
2018-12-15,ETCAUD,5.08,5.16,4.82,4.92,1453.03,7241.02
2018-12-14,ETCAUD,5.27,5.32,5,5.08,2497.15,12845.73
2018-12-13,ETCAUD,5.27,5.43,5.11,5.27,1744.95,9111.36
2018-12-12,ETCAUD,5.08,5.35,4.98,5.27,773.93,3975.37
2018-12-11,ETCAUD,5.4,5.65,5.08,5.08,1793.31,9740.54
2018-12-10,ETCAUD,5.47,5.49,5.14,5.4,1571.38,8294.28
2018-12-09,ETCAUD,5.27,5.87,5.17,5.47,2508.11,13974.5
2018-12-08,ETCAUD,5.36,5.59,5.04,5.27,3107.89,16503.18
2018-12-07,ETCAUD,4.89,5.5,4.52,5.36,5346.48,26148.93
2018-12-06,ETCAUD,5.54,5.79,4.68,4.89,4839.6,25877.84
2018-12-05,ETCAUD,5.94,6.09,5.46,5.54,5111.48,29698.13
2018-12-04,ETCAUD,6.1,6.42,5.87,5.94,3050.33,18873.78
2018-12-03,ETCAUD,6.83,7.12,6.1,6.1,1538.85,9710.59
2018-12-02,ETCAUD,6.62,7.05,6.51,6.83,1692.1,11427.86
2018-12-01,ETCAUD,6.37,6.67,6.08,6.62,457.47,2945.43
2018-11-30,ETCAUD,6.72,6.86,6.23,6.37,1406.24,9216.48
2018-11-29,ETCAUD,6.71,6.9,6.5,6.72,3290.08,22139.27
2018-11-28,ETCAUD,6.29,6.98,6.22,6.71,1993.47,12847.5
2018-11-27,ETCAUD,5.88,6.44,5.72,6.29,1324.72,7896.88
2018-11-26,ETCAUD,6.44,6.63,5.73,5.88,3313.56,20578.02
2018-11-25,ETCAUD,6.37,6.52,5.63,6.44,7916.09,48030.3
2018-11-24,ETCAUD,7.04,7.22,6.1,6.37,3010.12,20126.67
2018-11-23,ETCAUD,7.24,7.48,6.8,7.04,1064.96,7515.49
2018-11-22,ETCAUD,7.74,7.96,7.24,7.24,2069.01,16000.85
2018-11-21,ETCAUD,7.44,8,7.32,7.74,1315.45,9950.79
2018-11-20,ETCAUD,8.29,8.86,6.59,7.44,22155.88,168676.64
2018-11-19,ETCAUD,10.14,10.15,8.2,8.29,10650.85,96391.08
2018-11-18,ETCAUD,10,10.43,9.92,10.14,840.23,8571.22
2018-11-17,ETCAUD,11.4,11.4,9.9,10,2745.58,27549.26
2018-11-16,ETCAUD,10.5,11.4,10.07,11.4,1816.22,19180.45
2018-11-15,ETCAUD,10.89,10.94,9.9,10.5,12834.49,133996.13
2018-11-14,ETCAUD,12.46,12.81,9.69,10.89,14755.12,169516.94
2018-11-13,ETCAUD,12.72,12.72,12.31,12.46,1497.54,18669.18
2018-11-12,ETCAUD,12.56,12.85,12.56,12.72,822.22,10408.28
2018-11-11,ETCAUD,13.09,13.09,12.44,12.56,3300.23,41430.43
2018-11-10,ETCAUD,13.08,13.14,13.01,13.09,631.49,8240.47
2018-11-09,ETCAUD,13.22,13.22,12.97,13.08,2405.82,31652.48
2018-11-08,ETCAUD,13.31,13.36,12.8,13.22,1014.46,13106.88
2018-11-07,ETCAUD,13.73,13.76,13.05,13.31,1409.96,18848.29
2018-11-06,ETCAUD,12.77,13.76,12.77,13.73,1170.32,15509.81
2018-11-05,ETCAUD,13.09,13.16,12.7,12.77,1684.48,21768.41
2018-11-04,ETCAUD,12.51,13.15,12.51,13.09,1404.51,18044.65
2018-11-03,ETCAUD,12.57,12.65,12.43,12.51,413.01,5182.44
2018-11-02,ETCAUD,12.62,12.72,12.4,12.57,775.65,9728.67
2018-11-01,ETCAUD,12.76,12.76,12.42,12.62,1924.13,24104.58
2018-10-31,ETCAUD,12.64,12.76,12.4,12.76,1110.24,13939.82
2018-10-30,ETCAUD,12.67,12.9,12.42,12.64,1533.51,19290.31
2018-10-29,ETCAUD,13.43,13.47,12.52,12.67,4222.49,53799.67
2018-10-28,ETCAUD,13.46,13.46,13.25,13.43,1288.36,17189.82
2018-10-27,ETCAUD,13.47,13.47,13.35,13.46,473.95,6348.91
2018-10-26,ETCAUD,13.53,13.57,13.34,13.47,369.83,4947.46
2018-10-25,ETCAUD,13.48,13.56,13.34,13.53,1118.69,15020.09
2018-10-24,ETCAUD,13.44,13.85,13.44,13.48,495.81,6757.89
2018-10-23,ETCAUD,14.02,14.2,13.43,13.44,946.75,12968.12
2018-10-22,ETCAUD,13.36,14.17,13.3,14.02,1789.7,24416.98
2018-10-21,ETCAUD,13.26,13.68,13.26,13.36,1440.52,19264.82
2018-10-20,ETCAUD,13.47,13.48,13.26,13.26,286.1,3798.07
2018-10-19,ETCAUD,13.47,13.47,13.23,13.47,1525.45,20325.4
2018-10-18,ETCAUD,13.5,13.88,13.23,13.47,1084.43,14679.75
2018-10-17,ETCAUD,13.42,13.9,13.21,13.5,1823.14,24374.56
2018-10-16,ETCAUD,13.07,13.65,13.07,13.42,866.8,11571.55
2018-10-15,ETCAUD,13.04,14.21,13.04,13.07,3271.25,43803.95
2018-10-14,ETCAUD,13.35,13.69,13.04,13.04,1370.32,18253.34
2018-10-13,ETCAUD,13.76,13.76,13.27,13.35,1203.82,16101.78
2018-10-12,ETCAUD,12.7,13.76,12.7,13.76,3451.59,45908.4
2018-10-11,ETCAUD,15.11,15.12,12.7,12.7,9630.05,134756.61
2018-10-10,ETCAUD,15.37,15.37,14.89,15.11,2108.99,31683.72
2018-10-09,ETCAUD,15.36,15.53,15.22,15.37,790.53,12183.05
2018-10-08,ETCAUD,15.37,15.59,15.23,15.36,470.6,7302.15
2018-10-07,ETCAUD,15.58,15.58,15.08,15.37,2854.05,43536.09
2018-10-06,ETCAUD,15.68,15.68,15.32,15.58,332.1,5117.91
2018-10-05,ETCAUD,15.64,15.73,15.36,15.68,1168.01,18017.2
2018-10-04,ETCAUD,15.71,15.8,15.44,15.64,876.13,13690.54
2018-10-03,ETCAUD,15.6,15.71,15.11,15.71,1257.85,19345.62
2018-10-02,ETCAUD,15.41,15.81,15.4,15.6,1008.59,15683.5
2018-10-01,ETCAUD,15.53,15.79,15.35,15.41,1374.4,21366.63
2018-09-30,ETCAUD,15.85,15.88,15.53,15.53,1860.8,29206.4
2018-09-29,ETCAUD,15.66,15.96,15.25,15.85,1099.23,16923.73
2018-09-28,ETCAUD,15.94,16.13,15.5,15.66,2730.84,43076.09
2018-09-27,ETCAUD,15.19,15.99,14.93,15.94,1311.62,20020.34
2018-09-26,ETCAUD,15.41,15.6,14.77,15.19,2667.55,40396.96
2018-09-25,ETCAUD,15.08,15.79,14.43,15.41,4602.64,69809.62
2018-09-24,ETCAUD,15.75,15.86,15.08,15.08,2548.06,38944.73
2018-09-23,ETCAUD,15.43,16,15.34,15.75,1523.15,23669.93
2018-09-22,ETCAUD,16.01,16.17,15.22,15.43,5360.69,83739.73
2018-09-21,ETCAUD,15.19,16.42,15.01,16.01,11062.62,172008.85
2018-09-20,ETCAUD,14.7,15.41,14.69,15.19,2433.52,36428.38
2018-09-19,ETCAUD,14.63,15.34,14.3,14.7,1823.02,26787.95
2018-09-18,ETCAUD,14.52,15.15,14.27,14.63,9946.29,147642.8
2018-09-17,ETCAUD,15.91,15.91,14.2,14.52,8040.81,117252.76
2018-09-16,ETCAUD,15.99,15.99,15.42,15.91,255.94,3985.97
2018-09-15,ETCAUD,15.42,16,15.18,15.99,612.17,9629.05
2018-09-14,ETCAUD,15.4,15.75,14.93,15.42,900.78,13855.32
2018-09-13,ETCAUD,15.13,15.68,14.86,15.4,3105.14,47232.1
2018-09-12,ETCAUD,15.87,15.9,14.3,15.13,6633.64,98372.06
2018-09-11,ETCAUD,15.71,16.31,15.39,15.87,1744.93,28012.41
2018-09-10,ETCAUD,15.97,16.16,15.5,15.71,922.94,14463.97
2018-09-09,ETCAUD,15.69,16.34,15.28,15.97,1016.27,15948.68
2018-09-08,ETCAUD,16.3,16.59,15.15,15.69,1670.75,26329.33
2018-09-07,ETCAUD,16.76,17.23,16.15,16.3,3130.92,53310.81
2018-09-06,ETCAUD,16.21,16.76,15.52,16.76,3644.31,58406.67
2018-09-05,ETCAUD,19.55,19.56,16.21,16.21,9167.47,164681.87
2018-09-04,ETCAUD,19.25,19.67,19.01,19.55,1817.5,35034.27
2018-09-03,ETCAUD,18.51,19.98,18.51,19.25,5959.1,116180.88
2018-09-02,ETCAUD,18.34,18.55,17.94,18.51,2917.92,53055.51
2018-09-01,ETCAUD,17.78,18.67,17.64,18.34,4059.77,74570.99
2018-08-31,ETCAUD,17.48,17.79,17.33,17.78,317.08,5539.08
2018-08-30,ETCAUD,17.74,17.75,17.01,17.48,4540.29,79264.14
2018-08-29,ETCAUD,17.92,18.26,17.36,17.74,5781.59,103226.36
2018-08-28,ETCAUD,17.17,18.05,17.17,17.92,3820.39,67506.82
2018-08-27,ETCAUD,17.1,17.18,16.77,17.17,1351.9,22862.82
2018-08-26,ETCAUD,17.28,17.39,16.51,17.1,1248.34,21022.89
2018-08-25,ETCAUD,17.17,17.46,17,17.28,324.75,5548.74
2018-08-24,ETCAUD,17.05,17.36,16.71,17.17,382.11,6527.95
2018-08-23,ETCAUD,16.51,17.31,16.51,17.05,816.39,13906.86
2018-08-22,ETCAUD,17.3,18.05,16.33,16.51,9649.46,166422.84
2018-08-21,ETCAUD,16.85,17.61,16.73,17.3,5704.9,98233.54
2018-08-20,ETCAUD,18.11,18.87,16.85,16.85,3703.53,65655.34
2018-08-19,ETCAUD,18.21,19.09,17.76,18.11,3807.65,69559.78
2018-08-18,ETCAUD,19.72,19.98,17.46,18.21,10399.46,193356.86
2018-08-17,ETCAUD,19.42,19.96,18.15,19.72,15783.74,300196.37
2018-08-16,ETCAUD,18.25,20.5,18,19.42,16674.11,320317.8
2018-08-15,ETCAUD,16.19,18.66,16.15,18.25,8458.71,144547.31
2018-08-14,ETCAUD,16.69,16.9,14.16,16.19,13614.67,207854.19
2018-08-13,ETCAUD,18.42,19.17,16.51,16.69,12007.57,215684.61
2018-08-12,ETCAUD,19,19,19,19,0.0,0.0
2018-08-11,ETCAUD,19.68,20.37,18.54,19,12173.11,234949.87
2018-08-10,ETCAUD,21.01,21.6,19.68,19.68,6929.25,141670.23
2018-08-09,ETCAUD,20.68,22.02,20.06,21.01,7346.82,152994.38
2018-08-08,ETCAUD,23.1,23.72,20.09,20.68,18569.3,412213.43
2018-08-07,ETCAUD,25.1,28.34,22.67,23.1,57028.46,1452211.25
2018-08-06,ETCAUD,23.91,25.3,23.05,25.1,14809.96,357527.1
2018-08-05,ETCAUD,21.89,24,21.81,23.91,5569.91,128475.16
2018-08-04,ETCAUD,22.25,22.73,21.46,21.89,4835.35,108351.53
2018-08-03,ETCAUD,20.22,22.86,19.32,22.25,6772.18,137254.5
2018-08-02,ETCAUD,20.8,21.18,19.92,20.22,2113.62,43246.86
