Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTG,Volume KRW
2019-07-25 05-AM,BTGKRW,25940,25940,25340,25350,1151.98,29575411.55
2019-07-25 04-AM,BTGKRW,26010,26090,25920,25940,272.07,7071726.7
2019-07-25 03-AM,BTGKRW,25900,26110,25900,26010,477.09,12425535.07
2019-07-25 02-AM,BTGKRW,25800,26180,25710,25900,1594.03,41359656.8
2019-07-25 01-AM,BTGKRW,26000,26310,25800,25800,2306.22,60223097.66
2019-07-25 12-AM,BTGKRW,25730,26280,25600,26000,2792.23,72282512.72
2019-07-24 11-PM,BTGKRW,25680,25770,25530,25730,1409.48,36206180.86
2019-07-24 10-PM,BTGKRW,25460,25730,25460,25680,184.5,4738620.12
2019-07-24 09-PM,BTGKRW,25160,25750,25160,25460,154.04,3941411.53
2019-07-24 08-PM,BTGKRW,25340,25640,25160,25160,8.954,226637.74
2019-07-24 07-PM,BTGKRW,25150,25660,25150,25340,92.54,2349970.9
2019-07-24 06-PM,BTGKRW,25410,25410,25150,25150,0.6164,15502.56
2019-07-24 05-PM,BTGKRW,25130,25410,25130,25410,128.3,3246058.61
2019-07-24 04-PM,BTGKRW,25940,25940,25100,25130,1529.19,38928833.43
2019-07-24 03-PM,BTGKRW,25660,26050,25610,25940,1110.96,28781026.18
2019-07-24 02-PM,BTGKRW,25270,25840,25200,25660,1104.41,28368854.25
2019-07-24 01-PM,BTGKRW,25390,25390,25170,25270,602.76,15273871.08
2019-07-24 12-PM,BTGKRW,25180,25400,25100,25390,1402.62,35356616.13
2019-07-24 11-AM,BTGKRW,25320,25530,25040,25180,1546.43,39108883.12
2019-07-24 10-AM,BTGKRW,25410,25580,25320,25320,561.04,14246870.4
2019-07-24 09-AM,BTGKRW,25520,25580,25410,25410,1265.75,32273902.02
2019-07-24 08-AM,BTGKRW,25390,25520,25290,25520,878.2,22320360.09
2019-07-24 07-AM,BTGKRW,25480,25500,25310,25390,551.3,14010465.41
2019-07-24 06-AM,BTGKRW,25350,25530,25220,25480,2080.41,52915763.45
2019-07-24 05-AM,BTGKRW,25000,25470,25000,25350,574.3,14547211.07
