Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume RUB
2019-02-15,LTCRUB,2750.46,2918.31,2739.63,2800.93,690.93,1933354.31
2019-02-14,LTCRUB,2736.16,2798.43,2694.8,2750.46,568.02,1557673.03
2019-02-13,LTCRUB,2870.43,2892.09,2678.06,2736.16,651.81,1811624.49
2019-02-12,LTCRUB,2824.95,2904.58,2757,2870.43,686.22,1947988.82
2019-02-11,LTCRUB,3045.9,3047.55,2748.05,2824.95,945.61,2711310.72
2019-02-10,LTCRUB,2909.27,3059.98,2777.09,3045.9,823.9,2417783.81
2019-02-09,LTCRUB,2822.52,3000,2753.7,2909.27,1350.39,3872196.73
2019-02-08,LTCRUB,2200.3,2939.91,2174.79,2822.52,1737.27,4424831.98
2019-02-07,LTCRUB,2181.14,2231.29,2161.05,2200.3,787.68,1732454.66
2019-02-06,LTCRUB,2251.02,2267.18,2133.2,2181.14,603.36,1306855.07
2019-02-05,LTCRUB,2242.43,2275.39,2215.8,2251.02,670.93,1506377.58
2019-02-04,LTCRUB,2205.29,2281.76,2200.99,2242.43,659.63,1472948.71
2019-02-03,LTCRUB,2272.22,2282.01,2181,2205.29,807.21,1797818.36
2019-02-02,LTCRUB,2170.9,2281.76,2147.55,2272.22,967.79,2110691.18
2019-02-01,LTCRUB,2081.59,2205.99,2047,2170.9,824.01,1750024.92
2019-01-31,LTCRUB,2097.9,2139.62,2050.01,2081.59,753.2,1567315.46
2019-01-30,LTCRUB,2078.87,2137,2053.35,2097.9,849.1,1775415.56
2019-01-29,LTCRUB,2114.3,2124.8,2048.56,2078.87,707.56,1473945.7
2019-01-28,LTCRUB,2198.08,2198.08,2047.16,2114.3,806.79,1687959.66
2019-01-27,LTCRUB,2255,2260.73,2020.5,2198.08,1128.29,2467436.18
2019-01-26,LTCRUB,2230.4,2320.37,2228.4,2255,774.79,1760616.93
2019-01-25,LTCRUB,2232.4,2256.38,2175,2230.4,986.78,2183230.14
2019-01-24,LTCRUB,2190.72,2250,2122,2232.4,1402.45,3041118.38
2019-01-23,LTCRUB,2192,2220,2161.24,2190.72,1175.87,2580146.68
2019-01-22,LTCRUB,2133.55,2201,2060.39,2192,859.97,1852705.22
2019-01-21,LTCRUB,2120,2215.5,2095.25,2133.55,799.61,1707704.43
2019-01-20,LTCRUB,2221.85,2268.91,2089.47,2120,891.42,1929094.46
2019-01-19,LTCRUB,2153.2,2275.94,2143,2221.85,758.67,1675831.47
2019-01-18,LTCRUB,2185.2,2194.14,2106.79,2153.2,816.88,1750023.88
2019-01-17,LTCRUB,2178.3,2251.4,1987.6,2185.2,1577.5,3366255.05
2019-01-16,LTCRUB,2176.1,2227.99,2137.36,2178.3,1022.63,2218440.13
2019-01-15,LTCRUB,2254.3,2291.66,2140,2176.1,750.72,1670927.47
2019-01-14,LTCRUB,2104.02,2313.8,2104.02,2254.3,590.77,1300752.42
2019-01-13,LTCRUB,2253.45,2325,2104.02,2104.02,883.36,1967803.65
2019-01-12,LTCRUB,2252.07,2291.81,2225,2253.45,750.49,1689772.56
2019-01-11,LTCRUB,2352.87,2380,2222,2252.07,765.5,1769550.98
2019-01-10,LTCRUB,2702.33,2728.94,2250,2352.87,1362.4,3303015.22
2019-01-09,LTCRUB,2743.92,2810.84,2668.49,2702.33,894.62,2445278.38
2019-01-08,LTCRUB,2630,2861.75,2630,2743.92,825.26,2267069.3
2019-01-07,LTCRUB,2794.54,2809.33,2601,2630,754.49,2041206.44
2019-01-06,LTCRUB,2471.04,2890.8,2471.04,2794.54,1397.41,3753179.36
2019-01-05,LTCRUB,2294.29,2598,2294.29,2471.04,939.34,2294674.06
2019-01-04,LTCRUB,2295.63,2366.22,2240.67,2294.29,607.97,1399678.7
2019-01-03,LTCRUB,2397.53,2411.84,2242.05,2295.63,636.37,1482478.07
2019-01-02,LTCRUB,2308.75,2435.52,2283.42,2397.53,729.14,1710165.56
2019-01-01,LTCRUB,2154.77,2320.36,2154.77,2308.75,668.38,1479702.5
2018-12-31,LTCRUB,2288.15,2293.93,2150,2154.77,657.95,1463846.57
2018-12-30,LTCRUB,2200,2294.45,2183,2288.15,628.71,1417950.16
2018-12-29,LTCRUB,2320.37,2380,2200,2200,803.8,1843447.53
2018-12-28,LTCRUB,2028.94,2400,2028.94,2320.37,871.56,1892151.3
2018-12-27,LTCRUB,2197.17,2241.86,2009.19,2028.94,698.79,1490003.04
2018-12-26,LTCRUB,2215.9,2317.97,2107,2197.17,831.39,1843283.62
2018-12-25,LTCRUB,2460.55,2460.55,2107,2215.9,1095.48,2429015.7
2018-12-24,LTCRUB,2400.9,2605.71,2400.9,2460.55,873.65,2200437.71
2018-12-23,LTCRUB,2280.25,2456.76,2280.25,2400.9,943.62,2227582.2
2018-12-22,LTCRUB,2203.22,2280.25,2151.52,2280.25,740.32,1634034.91
2018-12-21,LTCRUB,2325.02,2369.39,2149.48,2203.22,1335.16,3019663.52
2018-12-20,LTCRUB,2068.5,2369.4,2040.21,2325.02,1453.87,3211520.1
2018-12-19,LTCRUB,2125.5,2228.02,2040.2,2068.5,1511.1,3246746.54
2018-12-18,LTCRUB,2063.63,2140,1965.19,2125.5,1352.51,2746336.18
2018-12-17,LTCRUB,1815.3,2160.56,1815.3,2063.63,1541.86,3075392.67
2018-12-16,LTCRUB,1690.44,1907,1684.53,1815.3,1373.56,2524277.7
2018-12-15,LTCRUB,1656.61,1725.04,1610.83,1690.44,1322.55,2212416.61
2018-12-14,LTCRUB,1655.06,1694.24,1610.57,1656.61,1182.06,1946801.87
2018-12-13,LTCRUB,1732.34,1732.34,1624.4,1655.06,975.5,1646187.76
2018-12-12,LTCRUB,1673.01,1789.05,1657.78,1732.34,1108.94,1921170.53
2018-12-11,LTCRUB,1741.82,1756.95,1638.86,1683.33,1200.71,2026536.95
2018-12-10,LTCRUB,1807.75,1834.2,1701,1741.82,879.0,1540746.01
2018-12-09,LTCRUB,1729.58,1898.39,1726.2,1807.75,1080.89,1956813.99
2018-12-08,LTCRUB,1770.23,1870.65,1639.22,1729.58,1110.15,1933506.55
2018-12-07,LTCRUB,1906.94,1912.28,1580.71,1770.23,1376.39,2422046.88
2018-12-06,LTCRUB,2082.52,2154.48,1884.7,1906.94,988.72,2023261.73
2018-12-05,LTCRUB,2203.15,2219.48,2070.92,2082.52,693.94,1486653.4
2018-12-04,LTCRUB,2221.2,2292.26,2159.61,2203.15,821.78,1838203.45
2018-12-03,LTCRUB,2402.4,2404.91,2171.72,2221.2,896.46,2038420.2
2018-12-02,LTCRUB,2452.9,2506,2368.37,2402.4,601.09,1451738.1
2018-12-01,LTCRUB,2302.1,2502,2172.1,2452.9,1082.53,2575638.01
2018-11-30,LTCRUB,2401.1,2425.6,2223.46,2280.2,884.07,2042329.9
2018-11-29,LTCRUB,2487.12,2536.28,2358.95,2401.1,962.72,2345340.39
2018-11-28,LTCRUB,2202.3,2597.99,2183.9,2487.12,1640.65,3939951.5
2018-11-27,LTCRUB,2096.66,2230.18,2035,2202.3,775.7,1634540.7
2018-11-26,LTCRUB,2171.25,2248.48,700,2096.66,1170.5,2405766.06
2018-11-25,LTCRUB,2065.94,2300,1903.87,2171.25,1354.62,2746856.73
2018-11-24,LTCRUB,2272.5,2332.88,2019.01,2065.94,1092.62,2418706.33
2018-11-23,LTCRUB,2250,2400,2142.62,2272.5,1220.59,2748505.39
2018-11-22,LTCRUB,2423.24,2437.2,2250,2250,770.92,1826631.87
2018-11-21,LTCRUB,2325.18,2452.07,2226.56,2423.24,1179.74,2766833.38
2018-11-20,LTCRUB,2553.51,2651.72,2160.01,2325.18,1460.24,3464327.69
2018-11-19,LTCRUB,2953.08,2953.08,2497.02,2553.51,1125.57,2985114.15
2018-11-18,LTCRUB,2928.56,3011.45,2924.33,2953.08,554.96,1646414.88
2018-11-17,LTCRUB,2954.59,2969.3,2900.03,2928.56,539.21,1580851.97
2018-11-16,LTCRUB,3079.49,3120,2943.8,2954.59,798.17,2410752.88
