Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LIZ,Volume ABTC
2019-03-17,LIZABTC,3.75,3.75,2.83,3,0.004001,0.01237
2019-03-16,LIZABTC,3.8,3.97,3.54,3.75,0.005391,0.0195
2019-03-15,LIZABTC,4.56,4.64,3.8,3.8,0.0356,0.1521
2019-03-14,LIZABTC,4.9,5.14,4.56,4.56,0.006282,0.03042
2019-03-13,LIZABTC,5.89,5.89,4.86,4.9,0.004005,0.02123
2019-03-12,LIZABTC,5.83,6.67,5.7,5.89,0.00246,0.01603
2019-03-11,LIZABTC,6.2,6.2,5.58,5.83,0.001518,0.008684
2019-03-10,LIZABTC,7.01,7.01,6.2,6.2,0.006977,0.04536
2019-03-09,LIZABTC,7.79,7.79,7.01,7.01,0.01638,0.1163
2019-03-08,LIZABTC,9,9.27,7.79,7.79,0.003764,0.03391
2019-03-07,LIZABTC,11.25,11.25,9,9,0.002048,0.02223
2019-03-06,LIZABTC,10.12,11.25,10.12,11.25,0.001888,0.02079
2019-03-05,LIZABTC,12.2,12.2,10.12,10.12,0.006773,0.07018
2019-03-04,LIZABTC,13.8,13.8,12.12,12.2,0.005037,0.06587
2019-03-03,LIZABTC,19.13,19.13,13.8,13.8,0.002275,0.03356
2019-03-02,LIZABTC,21.17,21.17,19.13,19.13,0.001056,0.02049
2019-03-01,LIZABTC,17.19,21.17,17.19,21.17,0.002993,0.06196
2019-02-28,LIZABTC,34.52,34.52,15.7,17.19,0.0009032,0.01625
2019-02-27,LIZABTC,32.35,34.87,32,34.52,0.000925,0.03146
2019-02-26,LIZABTC,31.8,33,31.8,32.35,0.002304,0.07433
2019-02-25,LIZABTC,33,35,31.8,31.8,0.0004768,0.01547
2019-02-24,LIZABTC,31.81,36.5,31.81,33,0.000716,0.0238
2019-02-23,LIZABTC,31.41,36,31.41,31.81,0.001114,0.03653
2019-02-22,LIZABTC,32.11,33.89,31.41,31.41,0.0001075,0.0035
2019-02-21,LIZABTC,29.5,39,28.1,32.11,0.0003863,0.01255
2019-02-20,LIZABTC,33,33,28,29.5,0.001629,0.04751
2019-02-19,LIZABTC,30.7,35.2,30.7,33,0.008345,0.2695
2019-02-18,LIZABTC,36.16,99,30.7,30.7,0.1115,4.31
2019-02-17,LIZABTC,44,44,31,36.16,0.1003,3.44
2019-02-16,LIZABTC,49,54.8,40,44,0.05917,2.63
