Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume RUR
2018-08-19 12-AM,BTCRUR,437863.3,442002.51,437863.3,438700,0.1496,65948.04
2018-08-18 11-PM,BTCRUR,440789.1,441000,437789.1,437863.3,0.1216,53468.43
2018-08-18 10-PM,BTCRUR,440497.01,441000,437789,440789.1,0.4212,185062.52
2018-08-18 09-PM,BTCRUR,438827.49,440497.01,436228,440497.01,0.9277,407821.9
2018-08-18 08-PM,BTCRUR,435971.65,440497,435971.65,438827.49,1.04,454885.84
2018-08-18 07-PM,BTCRUR,435291.13,438521.99,435000,435971.65,0.6543,284888.78
2018-08-18 06-PM,BTCRUR,435134.2,438522,435091.2,435291.13,1.41,614385.3
2018-08-18 05-PM,BTCRUR,437001,437001,435134.2,435134.2,1.61,701537.97
2018-08-18 04-PM,BTCRUR,440399,440872.91,437000,437001,1.65,724312.94
2018-08-18 03-PM,BTCRUR,440000.14,440499,438052,440399,0.8639,380009.72
2018-08-18 02-PM,BTCRUR,442562.17,442562.17,438002,440000.14,0.723,317716.17
2018-08-18 01-PM,BTCRUR,442103,442782.3,438000,442562.17,4.48,1971159.55
2018-08-18 12-PM,BTCRUR,440128,442607.76,439666.67,442103,1.6,705845.39
2018-08-18 11-AM,BTCRUR,441022,442000,440020,440128,1.1,485651.59
2018-08-18 10-AM,BTCRUR,439368,442000,439368,441022,1.32,581274.02
2018-08-18 09-AM,BTCRUR,439190.1,441100,439100,439368,1.97,867926.13
2018-08-18 08-AM,BTCRUR,439204,442000,439100,439190.1,0.7125,313752.23
2018-08-18 07-AM,BTCRUR,439539,441998,439001,439204,1.05,463014.55
2018-08-18 06-AM,BTCRUR,441500,442200,439536,439539,0.8631,380653.86
2018-08-18 05-AM,BTCRUR,442000,442000,439195.77,441500,0.314,138485.04
2018-08-18 04-AM,BTCRUR,440205.34,442000,439062.68,442000,0.4467,196665.71
2018-08-18 03-AM,BTCRUR,442512,442512,439002,440205.34,0.333,146891.39
2018-08-18 02-AM,BTCRUR,442400,442517.14,439225,442512,1.14,504391.81
2018-08-18 01-AM,BTCRUR,442300.85,442400,441001,442400,0.656,290121.37
2018-08-18 12-AM,BTCRUR,441879.37,442390.15,439231,442300.85,0.426,188368.92
2018-08-17 11-PM,BTCRUR,442323.98,442328.7,439003,441879.37,0.1364,60116.44
2018-08-17 10-PM,BTCRUR,440000,442328.7,439090,442323.98,0.5172,228539.25
2018-08-17 09-PM,BTCRUR,442096.13,442287.07,439000,440000,0.8837,390294.47
2018-08-17 08-PM,BTCRUR,442046.5,442096.13,439000,442096.13,1.14,501511.91
2018-08-17 07-PM,BTCRUR,440000,442046.5,438300,442046.5,1.66,732779.96
2018-08-17 06-PM,BTCRUR,441698.23,441950.48,439021.37,440000,2.2,971674.96
2018-08-17 05-PM,BTCRUR,441291.48,441698.23,438403.44,441698.23,2.74,1207995.57
2018-08-17 04-PM,BTCRUR,440888.78,441291.48,440888.53,441291.48,2.55,1124188.22
2018-08-17 03-PM,BTCRUR,440099,440888.78,439236.65,440888.78,2.45,1079132.12
2018-08-17 02-PM,BTCRUR,440013.86,440580.46,439136.65,440099,2.27,999948.98
2018-08-17 01-PM,BTCRUR,440013.86,440475.47,440013.86,440013.86,1.91,840308.04
2018-08-17 12-PM,BTCRUR,440205.94,440291.13,440013.86,440013.86,1.53,675082.26
2018-08-17 11-AM,BTCRUR,439700,440205.94,439672,440205.94,2.62,1151573.26
2018-08-17 10-AM,BTCRUR,439810.21,439958.3,439672,439700,2.01,884556.07
2018-08-17 09-AM,BTCRUR,439749.47,439810.21,439672,439810.21,1.6,701763.4
2018-08-17 08-AM,BTCRUR,438538,439750.41,438537.76,439749.47,1.8,791458.21
2018-08-17 07-AM,BTCRUR,437145.92,439354.71,437000,438538,1.53,670232.79
2018-08-17 06-AM,BTCRUR,438799.44,438913.89,437145.92,437145.92,1.63,717133.62
2018-08-17 05-AM,BTCRUR,438725.4,438805.51,435750.81,438799.44,0.4195,183550.72
2018-08-17 04-AM,BTCRUR,437389.52,438805.51,434830,438725.4,1.84,805137.15
2018-08-17 03-AM,BTCRUR,436296.27,437389.52,434341.73,437389.52,0.2184,95252.04
2018-08-17 02-AM,BTCRUR,436081.28,437175,434332.15,436296.27,0.3557,154984.13
2018-08-17 01-AM,BTCRUR,434914.5,437175,434881.28,436081.28,0.1644,71654.72
2018-08-17 12-AM,BTCRUR,435005,437533.32,434914.5,434914.5,0.3429,149380.95
2018-08-16 11-PM,BTCRUR,436660,437000,435005,435005,0.2422,105574.45
2018-08-16 10-PM,BTCRUR,436660,436660,435411.13,436660,0.3443,150201.34
2018-08-16 09-PM,BTCRUR,436035.99,438805.51,435419.31,436660,1.14,497713.68
2018-08-16 08-PM,BTCRUR,437289,438849.4,436035.99,436035.99,1.23,539346.71
2018-08-16 07-PM,BTCRUR,438695.3,439636,436444.23,437289,0.8006,350836.47
2018-08-16 06-PM,BTCRUR,439508.18,439650.79,436840.14,438695.3,1.48,648180.9
2018-08-16 05-PM,BTCRUR,438600,439508.18,436734.69,439508.18,2.49,1093411.84
2018-08-16 04-PM,BTCRUR,439344,439344.93,435752.86,438600,2.21,969141.82
2018-08-16 03-PM,BTCRUR,437800,439344,437700,439344,1.67,735295.41
2018-08-16 02-PM,BTCRUR,438200,439137.86,437700,437800,1.49,652094.97
2018-08-16 01-PM,BTCRUR,436705,439096,436705,438200,1.16,508334.19
2018-08-16 12-PM,BTCRUR,439086,439096,436705,436705,1.43,628691.55
2018-08-16 11-AM,BTCRUR,438472.94,439117.2,438097,439086,3.13,1371819.6
2018-08-16 10-AM,BTCRUR,435639.62,438472.94,435600,438472.94,1.74,762919.73
2018-08-16 09-AM,BTCRUR,438027.54,438268.04,434977.11,435639.62,1.54,671484.74
2018-08-16 08-AM,BTCRUR,436097.34,438031.92,433570,438027.54,2.82,1233771.94
2018-08-16 07-AM,BTCRUR,432733,436097.34,432675,436097.34,1.38,598961.24
2018-08-16 06-AM,BTCRUR,432822.07,434993,432701,432733,0.6031,261286.62
2018-08-16 05-AM,BTCRUR,432675,434790,432675,432822.07,0.3729,161697.71
2018-08-16 04-AM,BTCRUR,432964.96,434798.14,432670.6,432675,1.46,630996.1
2018-08-16 03-AM,BTCRUR,434359.9,434359.95,432964.96,432964.96,1.26,547032.57
2018-08-16 02-AM,BTCRUR,432970,434359.9,432964.96,434359.9,0.3044,131844.95
2018-08-16 01-AM,BTCRUR,433010.39,434359.95,432964.96,432970,0.2952,127974.45
2018-08-16 12-AM,BTCRUR,434040.3,435342.42,433010.39,433010.39,1.1,475185.77
2018-08-15 11-PM,BTCRUR,436539.7,438600,434040.3,434040.3,1.92,836621.96
2018-08-15 10-PM,BTCRUR,438088.26,439038.62,436539.7,436539.7,1.08,475395.06
2018-08-15 09-PM,BTCRUR,434104,438088.26,434104,438088.26,0.7688,336113.03
2018-08-15 08-PM,BTCRUR,435372.1,438299.06,433212.25,434104,2.55,1108574.67
