Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume QTU,Volume METH
2018-11-06,QTUMETH,0.01856,0.01878,0.01815,0.01854,53826.39,996.46
2018-11-05,QTUMETH,0.01895,0.01904,0.01844,0.01856,56142.37,1051.74
2018-11-04,QTUMETH,0.01957,0.01974,0.01871,0.01895,56981.37,1102.35
2018-11-03,QTUMETH,0.01954,0.01966,0.01927,0.01957,56308.51,1093.76
2018-11-02,QTUMETH,0.0196,0.0201,0.01945,0.01954,60782.47,1189.78
2018-11-01,QTUMETH,0.01941,0.0196,0.01924,0.0196,58065.6,1128.46
2018-10-31,QTUMETH,0.01917,0.0196,0.01906,0.01941,60468.64,1169.24
2018-10-30,QTUMETH,0.01927,0.01957,0.01892,0.01917,57393.75,1097.25
2018-10-29,QTUMETH,0.01969,0.01982,0.01896,0.01927,59407.04,1150.98
2018-10-28,QTUMETH,0.01973,0.01995,0.01959,0.01969,57927.98,1145.44
2018-10-27,QTUMETH,0.01971,0.02032,0.01959,0.01973,56084.53,1118.27
2018-10-26,QTUMETH,0.02016,0.02023,0.0195,0.01971,54622.57,1081.42
2018-10-25,QTUMETH,0.02046,0.02046,0.01984,0.02016,52206.55,1047.82
2018-10-24,QTUMETH,0.02049,0.021,0.02034,0.02046,6694.21,138.2
2018-10-23,QTUMETH,0.02137,0.02147,0.02019,0.02049,10336.27,215.27
2018-10-22,QTUMETH,0.0206,0.0228,0.0206,0.02137,20532.5,442.87
2018-10-21,QTUMETH,0.01971,0.02212,0.0194,0.0206,12082.34,253.39
2018-10-20,QTUMETH,0.01924,0.01999,0.01898,0.01971,5784.87,112.83
2018-10-19,QTUMETH,0.01875,0.01951,0.01867,0.01924,4069.08,77.51
2018-10-18,QTUMETH,0.01919,0.01957,0.01861,0.01875,8568.51,163.2
2018-10-17,QTUMETH,0.0173,0.02033,0.01723,0.01919,21494.06,411.73
2018-10-16,QTUMETH,0.01736,0.01757,0.01736,0.01757,96.97,1.69
2018-10-15,QTUMETH,0.01761,0.01767,0.01646,0.01736,11062.74,187.37
2018-10-14,QTUMETH,0.01746,0.01782,0.01736,0.01761,2107.17,37.16
2018-10-13,QTUMETH,0.01763,0.01772,0.01726,0.01746,2529.8,44.16
2018-10-12,QTUMETH,0.01776,0.01776,0.0174,0.01763,8653.21,152.41
2018-10-11,QTUMETH,0.0177,0.0182,0.01739,0.01776,15815.57,280.13
2018-10-10,QTUMETH,0.01686,0.01833,0.01673,0.0177,6794.79,119.69
2018-10-09,QTUMETH,0.01697,0.01703,0.01665,0.01686,3293.16,55.33
2018-10-08,QTUMETH,0.01701,0.01729,0.0168,0.01697,4672.51,79.36
2018-10-07,QTUMETH,0.01674,0.01709,0.01666,0.01701,1686.26,28.46
2018-10-06,QTUMETH,0.01668,0.01692,0.0166,0.01674,2494.64,41.71
2018-10-05,QTUMETH,0.01701,0.0171,0.01656,0.01668,2242.57,37.96
2018-10-04,QTUMETH,0.01689,0.01718,0.01679,0.01701,4633.48,78.7
2018-10-03,QTUMETH,0.01686,0.0172,0.01674,0.01689,2020.93,34.27
2018-10-02,QTUMETH,0.01664,0.01713,0.01662,0.01686,3888.95,65.54
2018-10-01,QTUMETH,0.01656,0.01692,0.01649,0.01664,2476.13,41.27
2018-09-30,QTUMETH,0.01658,0.0168,0.01626,0.01656,6067.46,99.92
2018-09-29,QTUMETH,0.01735,0.01747,0.01623,0.01658,7911.13,134.87
2018-09-28,QTUMETH,0.01747,0.01786,0.0169,0.01735,8368.39,144.4
2018-09-27,QTUMETH,0.01682,0.01851,0.01659,0.01747,11954.52,206.98
2018-09-26,QTUMETH,0.01686,0.01719,0.0166,0.01682,8113.56,137.01
2018-09-25,QTUMETH,0.01662,0.01703,0.01613,0.01686,12754.2,212.97
2018-09-24,QTUMETH,0.01695,0.01699,0.01627,0.01662,6848.18,113.72
2018-09-23,QTUMETH,0.0156,0.0178,0.01555,0.01695,15602.72,264.94
2018-09-22,QTUMETH,0.01638,0.01638,0.0155,0.0156,8946.86,141.15
2018-09-21,QTUMETH,0.01584,0.01791,0.0155,0.01638,35911.24,614.65
2018-09-20,QTUMETH,0.01576,0.01632,0.01563,0.01584,10401.66,165.58
2018-09-19,QTUMETH,0.0156,0.01596,0.01537,0.01576,14135.09,220.84
2018-09-18,QTUMETH,0.01603,0.01637,0.01549,0.0156,12878.8,204.66
2018-09-17,QTUMETH,0.0157,0.01627,0.01521,0.01603,15693.16,245.23
2018-09-16,QTUMETH,0.01572,0.01627,0.01543,0.0157,23706.73,373.83
2018-09-15,QTUMETH,0.01625,0.01671,0.01552,0.01572,40261.35,645.68
2018-09-14,QTUMETH,0.01656,0.01673,0.01581,0.01625,61482.57,1001.17
2018-09-13,QTUMETH,0.01829,0.01834,0.01649,0.01656,58992.45,1033.61
2018-09-12,QTUMETH,0.0183,0.01907,0.01787,0.01829,63461.16,1165.61
2018-09-11,QTUMETH,0.01806,0.01849,0.01797,0.0183,59815.94,1091.57
2018-09-10,QTUMETH,0.01838,0.01869,0.01796,0.01806,64195.44,1170.74
2018-09-09,QTUMETH,0.01843,0.01876,0.0178,0.01838,69642.31,1276.78
2018-09-08,QTUMETH,0.01801,0.01875,0.01775,0.01843,60796.06,1097.0
2018-09-07,QTUMETH,0.01749,0.01841,0.01704,0.01801,61100.31,1079.12
2018-09-06,QTUMETH,0.01694,0.01759,0.01641,0.01749,66290.72,1123.25
2018-09-05,QTUMETH,0.01662,0.01736,0.01623,0.01694,72086.14,1200.86
2018-09-04,QTUMETH,0.01625,0.0169,0.01622,0.01662,61327.76,1019.55
2018-09-03,QTUMETH,0.01614,0.0165,0.01599,0.01625,58841.82,956.27
2018-09-02,QTUMETH,0.01665,0.01675,0.0158,0.01614,62100.3,1010.04
2018-09-01,QTUMETH,0.01677,0.01697,0.01645,0.01665,64581.28,1078.54
2018-08-31,QTUMETH,0.0164,0.01681,0.01611,0.01677,63259.72,1042.67
