Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DCN,Volume LTC
2018-08-06,DCNLTC,4.54e-06,4.8e-06,4.37e-06,4.37e-06,872929.99,4.0
2018-08-05,DCNLTC,4.92e-06,4.92e-06,4.54e-06,4.54e-06,357351.68,1.68
2018-08-04,DCNLTC,3.66e-06,5.0e-06,3.66e-06,4.92e-06,1699905.71,7.78
2018-08-03,DCNLTC,3.86e-06,4.32e-06,3.01e-06,3.66e-06,1295501.82,5.21
2018-08-02,DCNLTC,3.81e-06,4.07e-06,3.63e-06,3.86e-06,518615.42,2.02
2018-08-01,DCNLTC,3.96e-06,4.02e-06,3.59e-06,3.81e-06,364066.44,1.39
2018-07-31,DCNLTC,3.97e-06,4.3e-06,2.27e-06,3.96e-06,4757999.67,16.18
2018-07-30,DCNLTC,3.9e-06,4.15e-06,3.9e-06,3.97e-06,816796.02,3.27
2018-07-29,DCNLTC,3.95e-06,4.07e-06,3.9e-06,3.9e-06,1664210.48,6.58
2018-07-28,DCNLTC,4.07e-06,4.44e-06,3.9e-06,3.95e-06,668380.0,2.65
2018-07-27,DCNLTC,4.55e-06,4.55e-06,4.07e-06,4.07e-06,1078950.07,4.45
2018-07-26,DCNLTC,4.0e-06,4.59e-06,4.0e-06,4.55e-06,1912700.71,8.04
2018-07-25,DCNLTC,3.8e-06,4.19e-06,3.8e-06,4.0e-06,679091.97,2.67
2018-07-24,DCNLTC,4.11e-06,4.16e-06,3.68e-06,3.8e-06,1330299.53,5.26
2018-07-23,DCNLTC,4.14e-06,4.59e-06,4.11e-06,4.11e-06,866076.85,3.74
2018-07-22,DCNLTC,4.11e-06,4.52e-06,4.11e-06,4.14e-06,2425452.7,10.18
2018-07-21,DCNLTC,4.62e-06,4.64e-06,4.04e-06,4.11e-06,749920.97,3.14
2018-07-20,DCNLTC,4.14e-06,4.67e-06,4.13e-06,4.62e-06,306577.48,1.36
2018-07-19,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-07-18,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-07-17,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-07-16,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-07-15,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
2018-07-14,DCNLTC,8.85e-06,8.85e-06,8.85e-06,8.85e-06,0.0,0.0
