Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume AUD
2019-06-24 08-PM,BTCAUD,15728.26,15788.31,15600.77,15620.59,2.72,42679.48
2019-06-24 07-PM,BTCAUD,15842.49,15842.49,15600.36,15728.26,3.617,56808.87
2019-06-24 06-PM,BTCAUD,15891.71,15950,15809.61,15842.49,2.066,32862.67
2019-06-24 05-PM,BTCAUD,15800,15922.08,15800,15891.71,1.227,19487.86
2019-06-24 04-PM,BTCAUD,15705.56,15949.99,15705.56,15800,15.03,237491.65
2019-06-24 03-PM,BTCAUD,15744,15780,15675.47,15705.56,2.843,44756.72
2019-06-24 02-PM,BTCAUD,15608,15744,15599.54,15744,4.603,72215.85
2019-06-24 01-PM,BTCAUD,15696.94,15743.97,15524.23,15608,17.76,277523.46
2019-06-24 12-PM,BTCAUD,15593.11,15796.83,15593.11,15696.94,11.7,184126.33
2019-06-24 11-AM,BTCAUD,15741,15741,15530,15593.11,8.721,136240.28
2019-06-24 10-AM,BTCAUD,15713,15794.65,15708,15741,10.18,160441.43
2019-06-24 09-AM,BTCAUD,15635,15760.15,15611.65,15713,25.47,399252.06
2019-06-24 08-AM,BTCAUD,15559.98,15635,15530.9,15635,29.73,463386.62
2019-06-24 07-AM,BTCAUD,15488.31,15599,15488.29,15559.98,10.49,163061.84
2019-06-24 06-AM,BTCAUD,15573.87,15578.63,15418.46,15488.31,9.611,148824.33
2019-06-24 05-AM,BTCAUD,15500,15599,15481.77,15573.87,15.03,233842.65
2019-06-24 04-AM,BTCAUD,15334.67,15500,15262.84,15500,16.91,260114.54
2019-06-24 03-AM,BTCAUD,15297.35,15334.67,15185.02,15334.67,24.78,378064.93
2019-06-24 02-AM,BTCAUD,15256.32,15375,15221.65,15297.35,24.55,375723.74
2019-06-24 01-AM,BTCAUD,15300,15376.56,15178.38,15256.32,27.69,422962.71
2019-06-24 12-AM,BTCAUD,15619.94,15619.94,15126.79,15300,29.11,445106.39
2019-06-23 11-PM,BTCAUD,15596.38,15626.21,15351.55,15619.94,32.55,504475.16
2019-06-23 10-PM,BTCAUD,15732,15836.17,15517,15596.38,12.56,196515.75
2019-06-23 09-PM,BTCAUD,15850.95,16187.52,15547.44,15732,53.99,858093.52
2019-06-23 08-PM,BTCAUD,15729.97,15900,15729.97,15850.95,13.01,205410.02
2019-06-23 07-PM,BTCAUD,15545.09,15869.58,15545.09,15729.97,16.13,253214.98
2019-06-23 06-PM,BTCAUD,15421.34,15563.5,15420,15545.09,4.192,64978.05
2019-06-23 05-PM,BTCAUD,15427.75,15444.45,15366.26,15421.34,0.8554,13171.32
2019-06-23 04-PM,BTCAUD,15397.05,15480,15371.93,15427.75,0.3802,5868.93
2019-06-23 03-PM,BTCAUD,15422.53,15480,15381.94,15397.05,5.876,90757.66
2019-06-23 02-PM,BTCAUD,15271.88,15479.99,15271.88,15422.53,9.063,139291.72
2019-06-23 01-PM,BTCAUD,15399.42,15399.42,15220,15271.88,9.777,149584.26
2019-06-23 12-PM,BTCAUD,15227,15479.99,15218.24,15399.42,16.17,248836.25
2019-06-23 11-AM,BTCAUD,15180,15308.12,15127.3,15227,5.045,76850.38
2019-06-23 10-AM,BTCAUD,15300,15349.99,15137.86,15180,15.25,231723.32
2019-06-23 09-AM,BTCAUD,15356.76,15373.73,15261.95,15300,28.02,428741.76
2019-06-23 08-AM,BTCAUD,15399.45,15482.13,15350,15356.76,7.365,113294.46
2019-06-23 07-AM,BTCAUD,15450,15536.74,15376.52,15399.45,6.982,107733.71
2019-06-23 06-AM,BTCAUD,15500,15582.18,15450,15450,7.161,111075.81
2019-06-23 05-AM,BTCAUD,15367.68,15500,15300,15500,43.51,672327.98
2019-06-23 04-AM,BTCAUD,15432.18,15432.18,15313.37,15367.68,3.719,57120.31
2019-06-23 03-AM,BTCAUD,15384.51,15450.1,15257.77,15432.18,17.97,275771.36
2019-06-23 02-AM,BTCAUD,15562.1,15627.16,15384.51,15384.51,7.569,117141.5
2019-06-23 01-AM,BTCAUD,15625.64,15708.01,15500,15562.1,17.64,275901.4
2019-06-23 12-AM,BTCAUD,15359.73,15698.43,15330,15625.64,16.84,262291.37
2019-06-22 11-PM,BTCAUD,14958,15492.71,14958,15359.73,31.85,489440.27
2019-06-22 10-PM,BTCAUD,15154.03,15154.03,14900,14958,22.46,335918.93
2019-06-22 09-PM,BTCAUD,15274.76,15274.76,15118.97,15154.03,23.82,361473.34
2019-06-22 08-PM,BTCAUD,15385.42,15402.65,15234.75,15274.76,6.337,97001.2
2019-06-22 07-PM,BTCAUD,15253.43,15399.55,15000.02,15385.42,10.11,153693.67
2019-06-22 06-PM,BTCAUD,15361.54,15540.4,15179.24,15253.43,13.52,207434.84
2019-06-22 05-PM,BTCAUD,15739.66,15781.75,15361.54,15361.54,10.32,160727.39
2019-06-22 04-PM,BTCAUD,15551.46,15800,15551.46,15739.66,10.15,159169.44
2019-06-22 03-PM,BTCAUD,15533.82,15613.94,15378.28,15551.46,62.38,966627.73
2019-06-22 02-PM,BTCAUD,16048.93,16099.98,14923.37,15533.82,125.25,1933003.89
2019-06-22 01-PM,BTCAUD,16080,16174.47,15958.11,16048.93,14.12,226491.49
2019-06-22 12-PM,BTCAUD,15744.55,16171.85,15744.55,16080,78.54,1256610.68
2019-06-22 11-AM,BTCAUD,15763.85,15808.99,15660,15744.55,6.536,102980.7
2019-06-22 10-AM,BTCAUD,15834.99,15839,15727.59,15763.85,20.92,330251.21
2019-06-22 09-AM,BTCAUD,15626.65,15834.99,15557.76,15834.99,31.3,491837.14
2019-06-22 08-AM,BTCAUD,15383.48,15658.69,15340.85,15626.65,18.97,293984.1
2019-06-22 07-AM,BTCAUD,15540,15555,15383.48,15383.48,13.86,214217.04
2019-06-22 06-AM,BTCAUD,15495,15555,15440.01,15540,11.14,172670.06
2019-06-22 05-AM,BTCAUD,15437.79,15550,15362.09,15495,20.99,324707.4
2019-06-22 04-AM,BTCAUD,15344.15,15527.32,15200.9,15437.79,55.16,845384.03
2019-06-22 03-AM,BTCAUD,15574.55,15818.94,15200.01,15344.15,102.7,1600230.44
2019-06-22 02-AM,BTCAUD,15186.98,15669.67,15026.92,15574.55,65.72,1013008.95
2019-06-22 01-AM,BTCAUD,14715.7,15196.99,14714.38,15186.98,53.68,805014.83
2019-06-22 12-AM,BTCAUD,14762.6,14766.13,14605.01,14715.7,30.6,449998.49
2019-06-21 11-PM,BTCAUD,14337,14762.6,14330,14762.6,56.93,828050.88
2019-06-21 10-PM,BTCAUD,14324.9,14381.29,14289.13,14337,5.012,71776.29
2019-06-21 09-PM,BTCAUD,14345.37,14390.59,14294.26,14324.9,1.555,22324.82
2019-06-21 08-PM,BTCAUD,14364.15,14371.75,14282.07,14345.37,2.792,39990.13
2019-06-21 07-PM,BTCAUD,14372.53,14372.53,14251.6,14364.15,0.8118,11611.27
2019-06-21 06-PM,BTCAUD,14345.89,14400,14345.89,14372.53,0.9323,13398.27
2019-06-21 05-PM,BTCAUD,14268.65,14364.6,14247.94,14345.89,6.939,99508.71
2019-06-21 04-PM,BTCAUD,14273.07,14320,14231.4,14268.65,2.744,39214.05
2019-06-21 03-PM,BTCAUD,14244.69,14312.37,14238.22,14273.07,0.9829,14032.74
2019-06-21 02-PM,BTCAUD,14200.02,14267.86,14157.77,14244.69,11.07,157699.42
2019-06-21 01-PM,BTCAUD,14300.19,14422,14000.02,14200.02,38.42,546995.89
2019-06-21 12-PM,BTCAUD,14279.89,14335.29,14257.84,14300.19,13.15,187928.77
2019-06-21 11-AM,BTCAUD,14190.16,14344.73,14190.16,14279.89,26.92,384701.51
2019-06-21 10-AM,BTCAUD,14210.86,14230,14150.39,14190.16,17.79,252967.93
2019-06-21 09-AM,BTCAUD,14099.8,14214.41,14083.91,14210.86,21.68,306630.33
2019-06-21 08-AM,BTCAUD,14159.21,14165.55,14099,14099.8,13.48,190491.92
2019-06-21 07-AM,BTCAUD,14038.62,14159.29,14013.5,14159.21,9.902,139536.88
2019-06-21 06-AM,BTCAUD,14061.41,14134.43,14000,14038.62,26.24,368827.62
2019-06-21 05-AM,BTCAUD,14114.58,14130,14038.08,14061.41,15.91,224290.29
2019-06-21 04-AM,BTCAUD,14110.74,14152.71,14078.48,14114.58,11.98,169130.21
2019-06-21 03-AM,BTCAUD,14077.05,14110.74,13950,14110.74,14.89,208738.57
2019-06-21 02-AM,BTCAUD,14084.95,14181.05,13934.41,14077.05,27.63,389259.75
2019-06-21 01-AM,BTCAUD,13844.35,14094.97,13844.35,14084.95,50.86,711428.62
2019-06-21 12-AM,BTCAUD,13800,13880,13788.89,13844.35,9.58,132568.2
