Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DAS,Volume HETH
2019-01-11,DASHETH,0.5717,0.5896,0.5616,0.5741,337.43,194.96
2019-01-10,DASHETH,0.5675,0.6112,0.5594,0.5717,1721.24,982.13
2019-01-09,DASHETH,0.5394,0.5827,0.5268,0.5675,712.73,395.64
2019-01-08,DASHETH,0.5482,0.5587,0.5326,0.5394,529.03,287.95
2019-01-07,DASHETH,0.5417,0.5554,0.5377,0.5482,948.1,517.48
2019-01-06,DASHETH,0.5153,0.5504,0.5124,0.5417,410.97,216.35
2019-01-05,DASHETH,0.5191,0.521,0.5017,0.5153,356.96,182.39
2019-01-04,DASHETH,0.5386,0.5438,0.5155,0.5191,439.71,231.83
2019-01-03,DASHETH,0.5435,0.5603,0.5328,0.5386,392.58,214.46
2019-01-02,DASHETH,0.5752,0.5767,0.5,0.5435,389.58,214.61
2019-01-01,DASHETH,0.5932,0.5932,0.5605,0.5752,171.65,99.53
2018-12-31,DASHETH,0.5839,0.6112,0.5812,0.5932,229.63,136.33
2018-12-30,DASHETH,0.5792,0.6094,0.5731,0.5839,326.35,193.98
2018-12-29,DASHETH,0.6093,0.6205,0.5634,0.5792,418.34,249.3
2018-12-28,DASHETH,0.6535,0.6668,0.6029,0.6093,566.21,360.57
2018-12-27,DASHETH,0.6363,0.6668,0.6281,0.6535,495.72,320.8
2018-12-26,DASHETH,0.6444,0.6569,0.6243,0.6363,470.88,300.78
2018-12-25,DASHETH,0.6489,0.6588,0.6262,0.6444,781.03,501.22
2018-12-24,DASHETH,0.6869,0.6952,0.6306,0.6489,1073.1,703.17
2018-12-23,DASHETH,0.7479,0.7479,0.67,0.6869,648.94,451.41
2018-12-22,DASHETH,0.7758,0.8498,0.7363,0.7479,656.79,513.67
2018-12-21,DASHETH,0.8377,0.8472,0.7655,0.7758,1071.15,855.28
2018-12-20,DASHETH,0.7294,0.875,0.6973,0.8377,1224.49,924.72
2018-12-19,DASHETH,0.725,0.7676,0.7188,0.7294,648.5,481.52
2018-12-18,DASHETH,0.7517,0.7577,0.72,0.725,421.42,312.11
2018-12-17,DASHETH,0.7411,0.7733,0.7275,0.7517,691.71,519.84
