Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume CCT,Volume BTC
2018-08-15 01-AM,CCTBTC,3.91e-06,3.92e-06,3.55e-06,3.55e-06,4395.81,0.01657
2018-08-15 12-AM,CCTBTC,3.91e-06,3.91e-06,3.91e-06,3.91e-06,0.0,0.0
2018-08-14 11-PM,CCTBTC,3.91e-06,3.91e-06,3.91e-06,3.91e-06,0.0,0.0
2018-08-14 10-PM,CCTBTC,3.91e-06,3.93e-06,3.91e-06,3.91e-06,2972.8,0.01165
2018-08-14 09-PM,CCTBTC,3.91e-06,3.91e-06,3.91e-06,3.91e-06,0.0,0.0
2018-08-14 08-PM,CCTBTC,3.91e-06,3.91e-06,3.91e-06,3.91e-06,0.0,0.0
2018-08-14 07-PM,CCTBTC,3.91e-06,3.91e-06,3.91e-06,3.91e-06,0.0,0.0
2018-08-14 06-PM,CCTBTC,3.91e-06,3.91e-06,3.91e-06,3.91e-06,0.0,0.0
2018-08-14 05-PM,CCTBTC,3.91e-06,3.91e-06,3.91e-06,3.91e-06,0.0,0.0
2018-08-14 04-PM,CCTBTC,3.92e-06,3.92e-06,3.91e-06,3.91e-06,45.75,0.0001789
2018-08-14 03-PM,CCTBTC,3.92e-06,3.92e-06,3.92e-06,3.92e-06,0.0,0.0
2018-08-14 02-PM,CCTBTC,3.92e-06,3.92e-06,3.92e-06,3.92e-06,0.0,0.0
2018-08-14 01-PM,CCTBTC,3.92e-06,3.92e-06,3.92e-06,3.92e-06,0.0,0.0
2018-08-14 12-PM,CCTBTC,3.94e-06,3.94e-06,3.92e-06,3.92e-06,37.93,0.0001487
2018-08-14 11-AM,CCTBTC,3.94e-06,3.94e-06,3.94e-06,3.94e-06,0.0,0.0
2018-08-14 10-AM,CCTBTC,3.94e-06,3.94e-06,3.94e-06,3.94e-06,0.0,0.0
2018-08-14 09-AM,CCTBTC,3.94e-06,3.94e-06,3.94e-06,3.94e-06,0.0,0.0
2018-08-14 08-AM,CCTBTC,4.0e-06,4.0e-06,3.94e-06,3.94e-06,29.92,0.0001179
2018-08-14 07-AM,CCTBTC,4.0e-06,4.0e-06,4.0e-06,4.0e-06,0.0,0.0
2018-08-14 06-AM,CCTBTC,4.0e-06,4.0e-06,4.0e-06,4.0e-06,0.0,0.0
2018-08-14 05-AM,CCTBTC,4.0e-06,4.0e-06,4.0e-06,4.0e-06,0.0,0.0
2018-08-14 04-AM,CCTBTC,3.94e-06,4.0e-06,3.94e-06,4.0e-06,25.0,0.0001
2018-08-14 03-AM,CCTBTC,3.94e-06,3.94e-06,3.94e-06,3.94e-06,0.0,0.0
2018-08-14 02-AM,CCTBTC,3.94e-06,3.94e-06,3.94e-06,3.94e-06,85.84,0.0003382
2018-08-14 01-AM,CCTBTC,3.95e-06,3.95e-06,3.94e-06,3.94e-06,82.35,0.0003244
2018-08-14 12-AM,CCTBTC,3.95e-06,3.95e-06,3.95e-06,3.95e-06,0.0,0.0
2018-08-13 11-PM,CCTBTC,3.92e-06,3.95e-06,3.92e-06,3.95e-06,41.85,0.0001653
2018-08-13 10-PM,CCTBTC,3.92e-06,3.92e-06,3.92e-06,3.92e-06,0.0,0.0
2018-08-13 09-PM,CCTBTC,3.92e-06,3.92e-06,3.92e-06,3.92e-06,0.0,0.0
2018-08-13 08-PM,CCTBTC,3.92e-06,3.92e-06,3.92e-06,3.92e-06,0.0,0.0
2018-08-13 07-PM,CCTBTC,3.92e-06,3.92e-06,3.92e-06,3.92e-06,0.0,0.0
2018-08-13 06-PM,CCTBTC,3.92e-06,3.92e-06,3.92e-06,3.92e-06,0.0,0.0
2018-08-13 05-PM,CCTBTC,3.91e-06,3.93e-06,3.91e-06,3.92e-06,304.74,0.001198
2018-08-13 04-PM,CCTBTC,4.1e-06,4.1e-06,3.91e-06,3.91e-06,2962.75,0.01161
2018-08-13 03-PM,CCTBTC,3.93e-06,4.1e-06,3.93e-06,4.1e-06,14297.77,0.05797
2018-08-13 02-PM,CCTBTC,4.09e-06,4.09e-06,3.93e-06,3.93e-06,913.77,0.003591
2018-08-13 01-PM,CCTBTC,4.09e-06,4.09e-06,4.09e-06,4.09e-06,0.0,0.0
2018-08-13 12-PM,CCTBTC,4.09e-06,4.09e-06,4.09e-06,4.09e-06,0.0,0.0
2018-08-13 11-AM,CCTBTC,4.09e-06,4.09e-06,4.09e-06,4.09e-06,0.0,0.0
2018-08-13 10-AM,CCTBTC,4.09e-06,4.09e-06,4.08e-06,4.09e-06,702.31,0.00287
2018-08-13 09-AM,CCTBTC,4.15e-06,4.15e-06,4.09e-06,4.09e-06,24.45,0.0001
2018-08-13 08-AM,CCTBTC,4.15e-06,4.15e-06,4.15e-06,4.15e-06,0.0,0.0
2018-08-13 07-AM,CCTBTC,4.15e-06,4.15e-06,4.15e-06,4.15e-06,0.0,0.0
2018-08-13 06-AM,CCTBTC,3.91e-06,4.15e-06,3.91e-06,4.15e-06,30120.34,0.125
2018-08-13 05-AM,CCTBTC,3.91e-06,3.91e-06,3.91e-06,3.91e-06,0.0,0.0
2018-08-13 04-AM,CCTBTC,4.19e-06,4.19e-06,3.91e-06,3.91e-06,812.07,0.003196
2018-08-13 03-AM,CCTBTC,4.0e-06,4.19e-06,4.0e-06,4.19e-06,47.78,0.0002002
2018-08-13 02-AM,CCTBTC,4.0e-06,4.0e-06,4.0e-06,4.0e-06,0.0,0.0
2018-08-13 01-AM,CCTBTC,4.0e-06,4.0e-06,4.0e-06,4.0e-06,0.0,0.0
2018-08-13 12-AM,CCTBTC,4.0e-06,4.0e-06,4.0e-06,4.0e-06,0.0,0.0
2018-08-12 11-PM,CCTBTC,4.0e-06,4.0e-06,4.0e-06,4.0e-06,0.0,0.0
2018-08-12 10-PM,CCTBTC,4.0e-06,4.0e-06,4.0e-06,4.0e-06,0.0,0.0
2018-08-12 09-PM,CCTBTC,4.0e-06,4.0e-06,4.0e-06,4.0e-06,0.0,0.0
2018-08-12 08-PM,CCTBTC,4.0e-06,4.0e-06,4.0e-06,4.0e-06,0.0,0.0
2018-08-12 07-PM,CCTBTC,4.03e-06,4.03e-06,4.0e-06,4.0e-06,899.49,0.003606
2018-08-12 06-PM,CCTBTC,4.1e-06,4.1e-06,4.03e-06,4.03e-06,33.99,0.000137
2018-08-12 05-PM,CCTBTC,4.2e-06,4.2e-06,4.1e-06,4.1e-06,50.0,0.000205
2018-08-12 04-PM,CCTBTC,4.2e-06,4.2e-06,4.2e-06,4.2e-06,0.0,0.0
2018-08-12 03-PM,CCTBTC,4.2e-06,4.2e-06,4.2e-06,4.2e-06,0.0,0.0
2018-08-12 02-PM,CCTBTC,4.2e-06,4.2e-06,4.2e-06,4.2e-06,0.0,0.0
