Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ZEC,Volume RUR
2018-08-17 02-PM,ZECRUR,9777.17,9898,9777.17,9800,0.8498,8337.81
2018-08-17 01-PM,ZECRUR,9769.01,9899.89,9769.01,9777.17,3.25,31883.81
2018-08-17 12-PM,ZECRUR,9899.89,9899.89,9767.81,9769.01,0.301,2940.46
2018-08-17 11-AM,ZECRUR,9899.89,9899.89,9768.92,9899.89,1.42,13882.39
2018-08-17 10-AM,ZECRUR,9909.38,9909.38,9765,9899.89,2.55,25049.94
2018-08-17 09-AM,ZECRUR,9799.19,9911.05,9745.2,9909.38,1.82,17944.35
2018-08-17 08-AM,ZECRUR,9836.13,9836.13,9741.05,9799.19,3.3,32229.95
2018-08-17 07-AM,ZECRUR,9858.32,9858.32,9727.14,9836.13,0.541,5277.6
2018-08-17 06-AM,ZECRUR,9659.01,9898.37,9659.01,9858.32,1.17,11515.55
2018-08-17 05-AM,ZECRUR,9650.02,9737.41,9650.02,9659.01,0.8171,7889.72
2018-08-17 04-AM,ZECRUR,9604.03,9780,9604.03,9650.02,1.76,16991.93
2018-08-17 03-AM,ZECRUR,9700,9700,9601,9604.03,0.1704,1639.41
2018-08-17 02-AM,ZECRUR,9601.7,9700,9601.7,9700,0.01534,148.76
2018-08-17 01-AM,ZECRUR,9750.89,9750.89,9601.7,9601.7,0.8246,7933.12
2018-08-17 12-AM,ZECRUR,9600.1,9750.89,9600.1,9750.89,0.14,1353.7
2018-08-16 11-PM,ZECRUR,9600.1,9600.1,9600.1,9600.1,0.07316,702.32
2018-08-16 10-PM,ZECRUR,9603.89,9750.89,9600.1,9600.1,0.3563,3421.57
2018-08-16 09-PM,ZECRUR,9604,9604,9603.89,9603.89,0.02013,193.34
2018-08-16 08-PM,ZECRUR,9605,9605,9604,9604,0.3202,3075.63
2018-08-16 07-PM,ZECRUR,9799,9799,9605,9605,2.26,21685.06
2018-08-16 06-PM,ZECRUR,9699.23,9800,9610,9799,5.34,52274.09
2018-08-16 05-PM,ZECRUR,9605.06,9699.23,9605,9699.23,1.53,14693.54
2018-08-16 04-PM,ZECRUR,9603.11,9799,9603.11,9605.06,0.3959,3832.66
2018-08-16 03-PM,ZECRUR,9800,9800,9600.05,9603.11,2.59,25213.42
2018-08-16 02-PM,ZECRUR,9794.6,9800,9548.71,9800,4.39,42325.12
2018-08-16 01-PM,ZECRUR,9701.18,9794.6,9533.24,9794.6,0.9091,8856.42
2018-08-16 12-PM,ZECRUR,9505.03,9701.18,9505.03,9701.18,0.2643,2540.36
2018-08-16 11-AM,ZECRUR,9500.03,9600,9500.03,9505.03,0.656,6252.69
2018-08-16 10-AM,ZECRUR,9600,9600,9449.11,9500.03,0.9062,8583.11
2018-08-16 09-AM,ZECRUR,9449.11,9600,9449.11,9600,0.2918,2790.17
2018-08-16 08-AM,ZECRUR,9605.59,9674.79,9449.11,9449.11,3.08,29587.74
2018-08-16 07-AM,ZECRUR,9491.28,9605.59,9200,9605.59,8.94,84820.75
2018-08-16 06-AM,ZECRUR,9494.71,9494.71,9322,9491.28,0.08644,816.26
2018-08-16 05-AM,ZECRUR,9322,9494.71,9322,9494.71,0.1619,1511.07
2018-08-16 04-AM,ZECRUR,9322,9498.22,9322,9322,2.35,22119.65
2018-08-16 03-AM,ZECRUR,9322,9323,9322,9322,0.1216,1133.36
