Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DOG,Volume EBTC
2018-06-21 07-PM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,247000.0,0.1086
2018-06-21 06-PM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,392000.0,0.1727
2018-06-21 05-PM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,677000.0,0.2976
2018-06-21 04-PM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,456000.0,0.2007
2018-06-21 03-PM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,304000.0,0.1339
2018-06-21 02-PM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,1873000.0,0.826
2018-06-21 01-PM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,1324000.0,0.5845
2018-06-21 12-PM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,478000.0,0.2111
2018-06-21 11-AM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,812000.0,0.3584
2018-06-21 10-AM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,3049000.0,1.35
2018-06-21 09-AM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,744000.0,0.3299
2018-06-21 08-AM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,801000.0,0.3546
2018-06-21 07-AM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,866000.0,0.382
2018-06-21 06-AM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,823000.0,0.362
2018-06-21 05-AM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,652000.0,0.2863
2018-06-21 04-AM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,661000.0,0.291
2018-06-21 03-AM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,2038000.0,0.899
2018-06-21 02-AM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,3415000.0,1.51
2018-06-21 01-AM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,812000.0,0.3592
2018-06-21 12-AM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,448000.0,0.1982
2018-06-20 11-PM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,506000.0,0.2241
2018-06-20 10-PM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,326000.0,0.1443
2018-06-20 09-PM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,807000.0,0.3565
2018-06-20 08-PM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,939000.0,0.4147
2018-06-20 07-PM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,2338000.0,1.03
2018-06-20 06-PM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,1971000.0,0.8679
2018-06-20 05-PM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,4355000.0,1.92
2018-06-20 04-PM,DOGEBTC,4.5e-07,4.5e-07,4.4e-07,4.4e-07,4165000.0,1.85
2018-06-20 03-PM,DOGEBTC,4.4e-07,4.5e-07,4.4e-07,4.5e-07,4705000.0,2.09
2018-06-20 02-PM,DOGEBTC,4.4e-07,4.5e-07,4.4e-07,4.4e-07,2389000.0,1.06
2018-06-20 01-PM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,2765000.0,1.23
2018-06-20 12-PM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,3560000.0,1.57
2018-06-20 11-AM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,231000.0,0.1024
2018-06-20 10-AM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,764000.0,0.339
2018-06-20 09-AM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,577000.0,0.2558
2018-06-20 08-AM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,920000.0,0.4079
2018-06-20 07-AM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,223000.0,0.09878
2018-06-20 06-AM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,1193000.0,0.5277
2018-06-20 05-AM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,1617000.0,0.7168
2018-06-20 04-AM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,194000.0,0.08611
2018-06-20 03-AM,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,589000.0,0.2619
2018-06-20 02-AM,DOGEBTC,4.4e-07,4.5e-07,4.4e-07,4.4e-07,1177000.0,0.5239
2018-06-20 01-AM,DOGEBTC,4.5e-07,4.5e-07,4.4e-07,4.4e-07,1439000.0,0.6403
2018-06-20 12-AM,DOGEBTC,4.4e-07,4.5e-07,4.4e-07,4.5e-07,151000.0,0.06733
2018-06-19 11-PM,DOGEBTC,4.4e-07,4.5e-07,4.4e-07,4.4e-07,887000.0,0.3956
2018-06-19 10-PM,DOGEBTC,4.4e-07,4.5e-07,4.4e-07,4.4e-07,150000.0,0.06685
2018-06-19 09-PM,DOGEBTC,4.5e-07,4.5e-07,4.4e-07,4.4e-07,742000.0,0.3306
