Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XVG,Volume BTC
2019-02-16,XVGBTC,1.67e-06,1.67e-06,1.63e-06,1.65e-06,228491.64,0.3761
2019-02-15,XVGBTC,1.63e-06,1.67e-06,1.62e-06,1.67e-06,212628.93,0.3489
2019-02-14,XVGBTC,1.65e-06,1.67e-06,1.63e-06,1.63e-06,138023.19,0.2273
2019-02-13,XVGBTC,1.65e-06,1.72e-06,1.63e-06,1.65e-06,327781.36,0.5472
2019-02-12,XVGBTC,1.65e-06,1.67e-06,1.62e-06,1.65e-06,298224.96,0.49
2019-02-11,XVGBTC,1.66e-06,1.66e-06,1.63e-06,1.65e-06,103589.48,0.1697
2019-02-10,XVGBTC,1.67e-06,1.7e-06,1.62e-06,1.66e-06,186991.71,0.3081
2019-02-09,XVGBTC,1.68e-06,1.74e-06,1.6e-06,1.67e-06,471741.51,0.781
2019-02-08,XVGBTC,1.65e-06,1.69e-06,1.63e-06,1.68e-06,393295.4,0.6541
2019-02-07,XVGBTC,1.63e-06,1.69e-06,1.63e-06,1.65e-06,418098.38,0.6962
2019-02-06,XVGBTC,1.68e-06,1.69e-06,1.62e-06,1.63e-06,292472.45,0.4815
2019-02-05,XVGBTC,1.68e-06,1.7e-06,1.67e-06,1.68e-06,260803.86,0.4403
2019-02-04,XVGBTC,1.67e-06,1.71e-06,1.67e-06,1.68e-06,358605.69,0.6051
2019-02-03,XVGBTC,1.71e-06,1.71e-06,1.67e-06,1.67e-06,271856.06,0.46
2019-02-02,XVGBTC,1.71e-06,1.74e-06,1.69e-06,1.71e-06,340304.38,0.5828
2019-02-01,XVGBTC,1.71e-06,1.74e-06,1.69e-06,1.71e-06,480428.19,0.8202
2019-01-31,XVGBTC,1.77e-06,1.8e-06,1.71e-06,1.71e-06,427242.57,0.7422
2019-01-30,XVGBTC,1.8e-06,1.8e-06,1.74e-06,1.77e-06,316583.62,0.5587
2019-01-29,XVGBTC,1.75e-06,1.8e-06,1.73e-06,1.8e-06,371396.23,0.6545
2019-01-28,XVGBTC,1.8e-06,1.81e-06,1.71e-06,1.75e-06,838971.2,1.47
2019-01-27,XVGBTC,1.84e-06,1.85e-06,1.78e-06,1.8e-06,161681.13,0.2942
2019-01-26,XVGBTC,1.85e-06,1.89e-06,1.84e-06,1.84e-06,254011.79,0.473
2019-01-25,XVGBTC,1.87e-06,1.88e-06,1.84e-06,1.85e-06,156317.4,0.291
2019-01-24,XVGBTC,1.87e-06,1.92e-06,1.86e-06,1.87e-06,480372.75,0.9112
2019-01-23,XVGBTC,1.87e-06,1.97e-06,1.84e-06,1.87e-06,742635.09,1.39
2019-01-22,XVGBTC,1.83e-06,1.87e-06,1.83e-06,1.87e-06,492623.83,0.9119
2019-01-21,XVGBTC,1.83e-06,1.85e-06,1.81e-06,1.83e-06,282019.38,0.5151
