Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume NXT,Volume BTC
2019-04-20,NXTBTC,6.41e-06,6.42e-06,6.2e-06,6.2e-06,1008477.25,6.34
2019-04-19,NXTBTC,6.41e-06,6.6e-06,6.31e-06,6.41e-06,541371.32,3.49
2019-04-18,NXTBTC,6.27e-06,6.41e-06,6.21e-06,6.41e-06,645998.54,4.05
2019-04-17,NXTBTC,6.38e-06,6.53e-06,6.22e-06,6.27e-06,436486.44,2.77
2019-04-16,NXTBTC,6.66e-06,6.66e-06,6.28e-06,6.38e-06,901440.2,5.81
2019-04-15,NXTBTC,6.73e-06,6.76e-06,6.56e-06,6.66e-06,782559.68,5.21
2019-04-14,NXTBTC,6.71e-06,6.8e-06,6.6e-06,6.73e-06,359806.05,2.42
2019-04-13,NXTBTC,6.71e-06,7.05e-06,6.58e-06,6.71e-06,1243879.21,8.47
2019-04-12,NXTBTC,6.63e-06,6.92e-06,6.59e-06,6.71e-06,547004.59,3.69
2019-04-11,NXTBTC,6.96e-06,7.02e-06,6.52e-06,6.63e-06,1392591.24,9.31
2019-04-10,NXTBTC,7.25e-06,7.25e-06,6.96e-06,6.96e-06,905330.18,6.4
2019-04-09,NXTBTC,7.27e-06,7.32e-06,7.04e-06,7.25e-06,893744.87,6.36
2019-04-08,NXTBTC,7.36e-06,7.39e-06,7.05e-06,7.27e-06,1052222.38,7.64
2019-04-07,NXTBTC,7.41e-06,7.51e-06,7.27e-06,7.36e-06,660334.85,4.87
2019-04-06,NXTBTC,7.44e-06,7.71e-06,7.25e-06,7.41e-06,1033891.0,7.67
2019-04-05,NXTBTC,7.34e-06,7.55e-06,7.26e-06,7.44e-06,932756.56,6.88
2019-04-04,NXTBTC,7.37e-06,7.59e-06,7.12e-06,7.34e-06,1843556.72,13.58
2019-04-03,NXTBTC,7.82e-06,8.2e-06,7.34e-06,7.37e-06,3574278.73,27.54
2019-04-02,NXTBTC,7.69e-06,8.05e-06,7.02e-06,7.82e-06,7071292.1,54.55
2019-04-01,NXTBTC,7.77e-06,7.87e-06,7.64e-06,7.69e-06,1112464.79,8.62
2019-03-19,NXTBTC,7.14e-06,7.14e-06,6.93e-06,6.93e-06,275.55,0.001967
2019-03-18,NXTBTC,7.19e-06,7.25e-06,7.08e-06,7.14e-06,557165.8,3.99
2019-03-17,NXTBTC,7.17e-06,7.24e-06,7.03e-06,7.19e-06,926078.46,6.61
2019-03-16,NXTBTC,7.17e-06,7.32e-06,6.84e-06,7.17e-06,1497434.58,10.72
2019-03-15,NXTBTC,6.89e-06,7.24e-06,6.68e-06,7.17e-06,1638958.69,11.37
2019-03-14,NXTBTC,7.12e-06,7.14e-06,6.7e-06,6.89e-06,1090287.74,7.49
2019-03-13,NXTBTC,6.9e-06,7.29e-06,6.7e-06,7.12e-06,2865923.51,20.02
2019-03-12,NXTBTC,6.79e-06,7.45e-06,6.51e-06,6.9e-06,4912570.27,34.85
2019-03-11,NXTBTC,6.3e-06,7.29e-06,6.29e-06,6.79e-06,2838677.91,19.0
2019-03-10,NXTBTC,6.16e-06,6.46e-06,6.16e-06,6.3e-06,510666.02,3.22
2019-03-09,NXTBTC,6.24e-06,6.27e-06,6.14e-06,6.16e-06,475637.14,2.94
2019-03-08,NXTBTC,6.2e-06,6.24e-06,6.03e-06,6.24e-06,816581.47,5.0
2019-03-07,NXTBTC,6.3e-06,6.35e-06,6.11e-06,6.2e-06,1010113.79,6.26
2019-03-06,NXTBTC,6.25e-06,6.5e-06,6.14e-06,6.3e-06,781886.04,4.94
2019-03-05,NXTBTC,6.18e-06,6.31e-06,6.14e-06,6.25e-06,284972.92,1.78
2019-03-04,NXTBTC,6.22e-06,6.28e-06,6.0e-06,6.18e-06,292136.67,1.8
2019-03-03,NXTBTC,6.14e-06,6.53e-06,6.08e-06,6.22e-06,556335.81,3.49
2019-03-02,NXTBTC,6.36e-06,6.43e-06,5.98e-06,6.14e-06,1737276.44,10.74
2019-03-01,NXTBTC,6.47e-06,6.79e-06,6.36e-06,6.36e-06,315782.8,2.06
2019-02-28,NXTBTC,6.47e-06,6.47e-06,6.47e-06,6.47e-06,0.0,0.0
2019-02-27,NXTBTC,6.48e-06,6.51e-06,6.41e-06,6.47e-06,354067.7,2.29
2019-02-26,NXTBTC,6.4e-06,6.54e-06,6.31e-06,6.48e-06,328111.29,2.1
2019-02-25,NXTBTC,6.43e-06,6.44e-06,6.18e-06,6.4e-06,841783.72,5.33
2019-02-24,NXTBTC,6.61e-06,6.68e-06,6.0e-06,6.43e-06,1537269.79,9.91
2019-02-23,NXTBTC,6.72e-06,6.72e-06,6.57e-06,6.61e-06,691644.11,4.59
2019-02-22,NXTBTC,6.53e-06,7.01e-06,6.43e-06,6.72e-06,2031937.74,13.65
2019-02-21,NXTBTC,6.5e-06,6.72e-06,6.31e-06,6.53e-06,1856989.18,12.13
2019-02-20,NXTBTC,6.59e-06,6.65e-06,6.34e-06,6.5e-06,627614.31,4.07
2019-02-19,NXTBTC,6.72e-06,6.72e-06,6.45e-06,6.59e-06,914028.59,6.02
2019-02-18,NXTBTC,6.38e-06,6.8e-06,6.24e-06,6.72e-06,3067235.46,19.93
2019-02-17,NXTBTC,6.22e-06,6.44e-06,6.11e-06,6.38e-06,1443105.31,9.04
2019-02-16,NXTBTC,6.07e-06,6.31e-06,6.01e-06,6.22e-06,1135727.81,7.01
2019-02-15,NXTBTC,6.15e-06,6.15e-06,6.02e-06,6.07e-06,1229690.96,7.48
2019-02-14,NXTBTC,6.12e-06,6.21e-06,6.01e-06,6.15e-06,996512.76,6.08
2019-02-13,NXTBTC,6.06e-06,6.23e-06,5.9e-06,6.12e-06,2150798.02,13.04
2019-02-12,NXTBTC,6.3e-06,6.32e-06,6.0e-06,6.06e-06,3964471.62,24.25
2019-02-11,NXTBTC,6.87e-06,6.89e-06,5.19e-06,6.3e-06,23297665.72,142.03
2019-02-10,NXTBTC,6.92e-06,6.97e-06,6.62e-06,6.87e-06,1537250.34,10.35
2019-02-09,NXTBTC,6.98e-06,7.1e-06,6.78e-06,6.92e-06,995952.31,6.92
2019-02-08,NXTBTC,7.16e-06,7.2e-06,6.88e-06,6.98e-06,793558.3,5.63
2019-02-07,NXTBTC,6.95e-06,7.17e-06,6.91e-06,7.16e-06,638132.24,4.52
2019-02-06,NXTBTC,7.1e-06,7.16e-06,6.89e-06,6.95e-06,933872.38,6.56
2019-02-05,NXTBTC,7.13e-06,7.22e-06,6.96e-06,7.1e-06,718978.7,5.08
2019-02-04,NXTBTC,7.2e-06,7.38e-06,7.12e-06,7.13e-06,911546.49,6.62
2019-02-03,NXTBTC,7.33e-06,7.33e-06,7.17e-06,7.2e-06,534259.82,3.86
2019-02-02,NXTBTC,7.25e-06,7.44e-06,7.19e-06,7.33e-06,783980.0,5.73
2019-02-01,NXTBTC,7.29e-06,7.41e-06,7.2e-06,7.25e-06,506408.45,3.69
2019-01-31,NXTBTC,7.5e-06,7.58e-06,7.22e-06,7.29e-06,697023.18,5.15
2019-01-30,NXTBTC,7.32e-06,7.56e-06,7.29e-06,7.5e-06,631385.65,4.7
2019-01-29,NXTBTC,7.3e-06,7.52e-06,7.23e-06,7.32e-06,543409.55,3.99
2019-01-28,NXTBTC,7.32e-06,7.39e-06,7.26e-06,7.3e-06,677673.38,4.96
2019-01-27,NXTBTC,7.42e-06,7.47e-06,7.31e-06,7.32e-06,642472.66,4.75
2019-01-26,NXTBTC,7.5e-06,7.59e-06,7.21e-06,7.42e-06,874171.73,6.47
2019-01-25,NXTBTC,7.5e-06,7.57e-06,7.43e-06,7.5e-06,387492.94,2.9
2019-01-24,NXTBTC,7.56e-06,7.66e-06,7.39e-06,7.5e-06,823609.17,6.17
2019-01-23,NXTBTC,7.44e-06,7.66e-06,7.37e-06,7.56e-06,870042.3,6.55
2019-01-22,NXTBTC,7.52e-06,7.7e-06,7.43e-06,7.44e-06,1004814.65,7.58
2019-01-21,NXTBTC,7.62e-06,7.72e-06,7.48e-06,7.52e-06,961391.08,7.29
2019-01-20,NXTBTC,7.74e-06,7.75e-06,7.57e-06,7.62e-06,808699.41,6.19
2019-01-19,NXTBTC,7.41e-06,7.78e-06,7.41e-06,7.74e-06,1487235.57,11.33
2019-01-18,NXTBTC,7.51e-06,7.62e-06,7.4e-06,7.41e-06,734810.64,5.53
2019-01-17,NXTBTC,7.5e-06,7.59e-06,7.39e-06,7.51e-06,974595.67,7.27
2019-01-16,NXTBTC,7.3e-06,7.7e-06,7.24e-06,7.5e-06,1431756.51,10.71
2019-01-15,NXTBTC,7.28e-06,7.4e-06,7.23e-06,7.3e-06,1161940.52,8.5
2019-01-14,NXTBTC,7.16e-06,7.3e-06,7.15e-06,7.28e-06,863713.62,6.23
2019-01-13,NXTBTC,7.23e-06,7.42e-06,7.15e-06,7.16e-06,672932.89,4.87
2019-01-12,NXTBTC,7.22e-06,7.26e-06,7.1e-06,7.23e-06,438364.88,3.15
2019-01-11,NXTBTC,7.22e-06,7.29e-06,7.08e-06,7.22e-06,807916.8,5.78
2019-01-10,NXTBTC,7.13e-06,7.34e-06,6.96e-06,7.22e-06,2268848.09,16.31
2019-01-09,NXTBTC,7.16e-06,7.3e-06,7.13e-06,7.13e-06,966038.21,6.94
2019-01-08,NXTBTC,7.22e-06,7.33e-06,7.13e-06,7.16e-06,657540.45,4.74
2019-01-07,NXTBTC,7.32e-06,7.37e-06,7.16e-06,7.22e-06,541834.86,3.93
2019-01-06,NXTBTC,7.36e-06,7.4e-06,7.18e-06,7.32e-06,866560.77,6.31
2019-01-05,NXTBTC,7.38e-06,7.56e-06,7.33e-06,7.36e-06,1062966.88,7.9
2019-01-04,NXTBTC,7.34e-06,7.52e-06,7.33e-06,7.38e-06,669547.0,4.97
2019-01-03,NXTBTC,7.48e-06,7.55e-06,7.25e-06,7.34e-06,782512.51,5.79
2019-01-02,NXTBTC,7.34e-06,7.55e-06,7.29e-06,7.48e-06,1022598.6,7.65
2019-01-01,NXTBTC,7.29e-06,7.5e-06,7.22e-06,7.34e-06,915766.38,6.69
2018-12-31,NXTBTC,7.58e-06,7.6e-06,7.27e-06,7.29e-06,1158416.4,8.58
2018-12-30,NXTBTC,7.78e-06,7.78e-06,7.5e-06,7.58e-06,1536190.4,11.72
2018-12-29,NXTBTC,7.57e-06,7.85e-06,7.57e-06,7.78e-06,1456633.15,11.24
2018-12-28,NXTBTC,7.52e-06,7.69e-06,7.44e-06,7.57e-06,2024014.48,15.34
2018-12-27,NXTBTC,7.52e-06,7.86e-06,7.45e-06,7.52e-06,1529171.54,11.64
2018-12-26,NXTBTC,7.43e-06,7.7e-06,7.23e-06,7.52e-06,1725889.02,12.83
2018-12-25,NXTBTC,7.72e-06,7.82e-06,7.2e-06,7.43e-06,3697169.6,27.54
2018-12-24,NXTBTC,8.16e-06,8.18e-06,7.53e-06,7.72e-06,5414915.01,41.8
2018-12-23,NXTBTC,7.57e-06,8.28e-06,7.43e-06,8.16e-06,4651569.5,36.62
2018-12-22,NXTBTC,7.47e-06,7.75e-06,7.33e-06,7.57e-06,2062288.98,15.52
2018-12-21,NXTBTC,7.45e-06,7.65e-06,7.22e-06,7.47e-06,2220366.22,16.37
2018-12-20,NXTBTC,7.75e-06,7.81e-06,7.2e-06,7.45e-06,3540704.18,26.34
2018-12-19,NXTBTC,7.61e-06,7.96e-06,7.41e-06,7.75e-06,5012418.42,38.43
2018-12-18,NXTBTC,7.67e-06,7.72e-06,7.41e-06,7.61e-06,1083199.51,8.18
2018-12-17,NXTBTC,7.64e-06,7.9e-06,7.42e-06,7.67e-06,3001265.94,23.11
2018-12-16,NXTBTC,7.63e-06,7.85e-06,7.62e-06,7.64e-06,1101029.0,8.5
2018-12-15,NXTBTC,7.65e-06,7.88e-06,7.45e-06,7.63e-06,1364354.06,10.37
2018-12-14,NXTBTC,7.97e-06,8.19e-06,7.55e-06,7.65e-06,1804807.59,13.98
2018-12-13,NXTBTC,8.05e-06,8.3e-06,7.93e-06,7.97e-06,978079.92,7.94
2018-12-12,NXTBTC,8.13e-06,8.23e-06,7.89e-06,8.05e-06,972303.54,7.8
2018-12-11,NXTBTC,8.07e-06,8.48e-06,7.9e-06,8.14e-06,962869.02,7.87
2018-12-10,NXTBTC,8.2e-06,8.42e-06,8.05e-06,8.07e-06,533245.72,4.38
2018-12-09,NXTBTC,8.0e-06,8.53e-06,7.93e-06,8.2e-06,1405519.81,11.52
2018-12-08,NXTBTC,7.88e-06,8.25e-06,7.79e-06,8.0e-06,852661.1,6.86
2018-12-07,NXTBTC,8.05e-06,8.16e-06,7.52e-06,7.88e-06,2933003.61,22.94
2018-12-06,NXTBTC,8.37e-06,8.51e-06,8.0e-06,8.05e-06,1193787.91,9.89
2018-12-05,NXTBTC,8.47e-06,8.52e-06,8.05e-06,8.37e-06,1327416.22,10.96
2018-12-04,NXTBTC,8.34e-06,8.85e-06,8.27e-06,8.47e-06,1187181.77,10.14
2018-12-03,NXTBTC,8.66e-06,8.8e-06,8.17e-06,8.34e-06,1396582.69,11.77
2018-12-02,NXTBTC,8.96e-06,9.09e-06,8.27e-06,8.66e-06,1314269.06,11.31
2018-12-01,NXTBTC,8.03e-06,9.25e-06,7.89e-06,8.96e-06,4743877.15,41.43
2018-11-30,NXTBTC,7.7e-06,8.01e-06,7.53e-06,7.98e-06,1139846.27,8.82
2018-11-29,NXTBTC,7.92e-06,8.01e-06,7.67e-06,7.7e-06,1564794.92,12.22
2018-11-28,NXTBTC,7.71e-06,8.26e-06,7.62e-06,7.92e-06,1645545.01,13.1
2018-11-27,NXTBTC,7.76e-06,8.0e-06,7.59e-06,7.71e-06,1340242.34,10.38
2018-11-26,NXTBTC,7.69e-06,7.9e-06,7.61e-06,7.76e-06,1031871.66,8.01
2018-11-25,NXTBTC,7.85e-06,7.95e-06,7.47e-06,7.69e-06,2054000.17,15.84
2018-11-24,NXTBTC,7.93e-06,8.07e-06,7.68e-06,7.85e-06,1165778.38,9.19
2018-11-23,NXTBTC,8.5e-06,8.55e-06,7.9e-06,7.93e-06,1676310.03,13.63
2018-11-22,NXTBTC,8.47e-06,9.0e-06,8.35e-06,8.5e-06,1979803.43,17.12
2018-11-21,NXTBTC,8.15e-06,8.96e-06,8.01e-06,8.47e-06,2936485.43,24.98
2018-11-20,NXTBTC,8.16e-06,8.35e-06,7.65e-06,8.15e-06,3365169.15,26.94
2018-11-19,NXTBTC,8.93e-06,8.99e-06,7.72e-06,8.16e-06,4154108.16,33.66
2018-11-18,NXTBTC,8.62e-06,9.1e-06,8.54e-06,8.93e-06,1099807.83,9.75
2018-11-17,NXTBTC,8.87e-06,9.08e-06,8.3e-06,8.62e-06,2475364.47,21.42
2018-11-16,NXTBTC,9.0e-06,9.09e-06,8.63e-06,8.87e-06,3397957.57,30.09
2018-11-15,NXTBTC,9.19e-06,9.35e-06,8.77e-06,9.0e-06,3017707.85,27.32
2018-11-14,NXTBTC,9.87e-06,9.93e-06,8.74e-06,9.19e-06,5050343.69,47.08
2018-11-13,NXTBTC,1.005e-05,1.013e-05,9.75e-06,9.87e-06,1520399.54,15.13
2018-11-12,NXTBTC,1.019e-05,1.019e-05,9.92e-06,1.005e-05,1331354.23,13.38
2018-11-11,NXTBTC,1.042e-05,1.056e-05,1.013e-05,1.019e-05,2392376.52,24.6
