Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume IDR
2019-06-29 06-AM,BTCIDR,168297000,171999000,167494000,171999000,0.1938,32857020.68
2019-06-29 05-AM,BTCIDR,169851000,169921000,166500000,168297000,0.296,50049066.68
2019-06-29 04-AM,BTCIDR,167005000,170871000,166751000,169851000,0.2809,47265536.59
2019-06-29 03-AM,BTCIDR,170877000,170877000,167005000,167005000,0.5274,88971944.23
2019-06-29 02-AM,BTCIDR,176570000,176570000,169700000,170877000,0.9758,167130195.54
2019-06-29 01-AM,BTCIDR,177499000,178470000,176570000,176570000,0.3612,64216069.38
2019-06-29 12-AM,BTCIDR,178799000,178799000,174500000,177499000,0.1011,17832483.29
2019-06-28 11-PM,BTCIDR,177028000,178800000,177028000,178799000,0.1276,22729574.8
2019-06-28 10-PM,BTCIDR,177499000,177499000,175102000,177028000,0.02959,5226709.25
2019-06-28 09-PM,BTCIDR,173000000,177499000,173000000,177499000,0.05906,10402534.02
2019-06-28 08-PM,BTCIDR,176013000,185000000,173000000,173000000,0.6084,108532957.27
2019-06-28 07-PM,BTCIDR,172500000,176013000,172500000,176013000,0.1792,31210667.59
2019-06-28 06-PM,BTCIDR,172099000,172500000,169000000,172500000,0.05322,9177027.3
2019-06-28 05-PM,BTCIDR,171497000,172099000,168801000,172099000,0.06223,10688959.17
2019-06-28 04-PM,BTCIDR,171900000,172000000,170157000,171497000,0.01432,2455257.28
2019-06-28 03-PM,BTCIDR,170506000,171999000,163560000,171900000,0.6651,113032068.73
2019-06-28 02-PM,BTCIDR,172106000,172995000,170506000,170506000,0.692,118870813.54
2019-06-28 01-PM,BTCIDR,170109000,172998000,170109000,172106000,0.2216,38002277.71
2019-06-28 12-PM,BTCIDR,175799000,175976000,170109000,170109000,0.3267,56418958.15
2019-06-28 11-AM,BTCIDR,171847000,175799000,170055000,175799000,0.4033,69818755.01
2019-06-28 10-AM,BTCIDR,173082000,174051000,170976000,171847000,0.4251,73165985.56
2019-06-28 09-AM,BTCIDR,170280000,173406000,167753000,173082000,1.097,187724388.02
2019-06-28 08-AM,BTCIDR,163400000,170296000,163035000,170280000,0.8145,135216874.62
2019-06-28 07-AM,BTCIDR,163399000,165500000,162000000,163400000,0.3495,57210204.54
2019-06-28 06-AM,BTCIDR,159571000,166500000,159571000,163399000,0.589,96016335.52
2019-06-28 05-AM,BTCIDR,159999000,159999000,158000000,159571000,0.3678,58400821.94
2019-06-28 04-AM,BTCIDR,159095000,160501000,158000000,159999000,0.7641,121942087.86
2019-06-28 03-AM,BTCIDR,162001000,162850000,156003000,159095000,0.4238,67195697.72
2019-06-28 02-AM,BTCIDR,164433000,164690000,162000000,162001000,0.1889,30879481.5
2019-06-28 01-AM,BTCIDR,167345000,167818000,164433000,164433000,0.4493,75188960.77
2019-06-28 12-AM,BTCIDR,162295000,167500000,161871000,167345000,0.5391,89050059.49
2019-06-27 11-PM,BTCIDR,161230000,165481000,160352000,162295000,0.3688,59736112.84
2019-06-27 10-PM,BTCIDR,155812000,161293000,152002000,161230000,0.2739,43492264.34
2019-06-27 09-PM,BTCIDR,154545000,156169000,150000000,155812000,0.07995,12294191.46
2019-06-27 08-PM,BTCIDR,155756000,156753000,148501000,154545000,0.2159,32825041.48
2019-06-27 07-PM,BTCIDR,158472000,158472000,154300000,155756000,0.4103,63929730.88
2019-06-27 06-PM,BTCIDR,155699000,159182000,155401000,158472000,0.7374,115927903.41
2019-06-27 05-PM,BTCIDR,157376000,157377000,140005000,155699000,1.484,227136697.43
2019-06-27 04-PM,BTCIDR,168505000,169989000,154611000,157376000,0.9772,159231362.49
2019-06-27 03-PM,BTCIDR,170757000,170757000,168150000,168505000,0.4145,70011303.05
2019-06-27 02-PM,BTCIDR,169543000,170899000,163000000,170757000,1.287,215942044.17
2019-06-27 01-PM,BTCIDR,171000000,175799000,169000000,169543000,0.5754,98162289.42
2019-06-27 12-PM,BTCIDR,175980000,177500000,171000000,171000000,0.5806,101342616.8
2019-06-27 11-AM,BTCIDR,173611000,175994000,171700000,175980000,0.2964,51750684.68
2019-06-27 10-AM,BTCIDR,170002000,177846000,170002000,173611000,1.226,213389435.29
2019-06-27 09-AM,BTCIDR,172676000,174500000,160000000,170002000,2.98,494743776.38
2019-06-27 08-AM,BTCIDR,179010000,180000000,170010000,172676000,0.5781,101451686.05
2019-06-27 07-AM,BTCIDR,181000000,183592000,179010000,179010000,0.7197,130408558.95
2019-06-27 06-AM,BTCIDR,188500000,188500000,180000000,181000000,0.7224,132359551.07
2019-06-27 05-AM,BTCIDR,190488000,190488000,186306000,188500000,0.2677,50264875.82
2019-06-27 04-AM,BTCIDR,185111000,190777000,185111000,190488000,0.452,85366240.4
2019-06-27 03-AM,BTCIDR,188163000,188163000,184615000,185111000,0.3249,60632075.1
2019-06-27 02-AM,BTCIDR,188800000,188800000,181510000,188163000,0.9556,178090269.96
2019-06-27 01-AM,BTCIDR,195000000,195500000,188500000,188800000,0.2804,53458606.37
2019-06-27 12-AM,BTCIDR,192900000,197799000,190494000,195000000,0.3232,62520762.41
2019-06-26 11-PM,BTCIDR,182758000,192900000,182758000,192900000,0.3094,58616907.78
2019-06-26 10-PM,BTCIDR,183762000,187000000,182758000,182758000,0.2664,49116748.38
2019-06-26 09-PM,BTCIDR,180000000,191900000,180000000,183762000,0.1201,21946016.59
2019-06-26 08-PM,BTCIDR,200000000,200000000,180000000,180000000,0.4199,78620854.61
2019-06-26 07-PM,BTCIDR,199000000,200000000,198273000,200000000,0.3772,75316498.06
2019-06-26 06-PM,BTCIDR,194820000,199000000,194759000,199000000,0.3232,63141116.37
2019-06-26 05-PM,BTCIDR,194500000,194820000,188012000,194820000,0.3317,64176783.33
2019-06-26 04-PM,BTCIDR,186483000,194500000,186235000,194500000,1.047,197541829.26
2019-06-26 03-PM,BTCIDR,186250000,186700000,185110000,186483000,0.2091,38965199.42
2019-06-26 02-PM,BTCIDR,186500000,186929000,185051000,186250000,0.2803,52173453.68
2019-06-26 01-PM,BTCIDR,184999000,186500000,184999000,186500000,0.6602,122456343.61
2019-06-26 12-PM,BTCIDR,185000000,185000000,184000000,184999000,0.2794,51646696.94
2019-06-26 11-AM,BTCIDR,184795000,186000000,183201000,185000000,0.7765,143600136.9
2019-06-26 10-AM,BTCIDR,182000000,184850000,180599000,184795000,0.3395,62061163.56
2019-06-26 09-AM,BTCIDR,184998000,184998000,182000000,182000000,0.3014,55535459.54
2019-06-26 08-AM,BTCIDR,185300000,185300000,184820000,184998000,0.2312,42760789.89
2019-06-26 07-AM,BTCIDR,186000000,187000000,184999000,185300000,0.119,22092173.07
2019-06-26 06-AM,BTCIDR,183000000,186000000,179818000,186000000,0.5689,104887810.18
2019-06-26 05-AM,BTCIDR,181837000,189475000,180000000,183000000,1.115,205803026.02
2019-06-26 04-AM,BTCIDR,178357000,183500000,178357000,181837000,0.5923,107018793.3
2019-06-26 03-AM,BTCIDR,172750000,179500000,172750000,178357000,0.5429,95406373.86
2019-06-26 02-AM,BTCIDR,171905000,172750000,171740000,172750000,0.4244,73036785.3
2019-06-26 01-AM,BTCIDR,171500000,172854000,170800000,171905000,0.3427,58871120.69
2019-06-26 12-AM,BTCIDR,166000000,171500000,166000000,171500000,0.2032,34231376.67
2019-06-25 11-PM,BTCIDR,164653000,166000000,164653000,166000000,0.3221,53223043.74
2019-06-25 10-PM,BTCIDR,163995000,164900000,163994000,164653000,0.0895,14716176.69
2019-06-25 09-PM,BTCIDR,163749000,163995000,162055000,163995000,0.0279,4573719.84
2019-06-25 08-PM,BTCIDR,163878000,163950000,162150000,163749000,0.02257,3688358.97
2019-06-25 07-PM,BTCIDR,163879000,163879000,163878000,163878000,0.019,3113682.0
2019-06-25 06-PM,BTCIDR,163180000,163899000,162056000,163879000,0.3277,53573549.61
2019-06-25 05-PM,BTCIDR,163499000,163987000,162025000,163180000,0.02834,4618679.31
2019-06-25 04-PM,BTCIDR,163498000,163987000,162600000,163499000,0.4546,74320135.51
2019-06-25 03-PM,BTCIDR,163074000,163499000,162874000,163498000,0.4042,65946906.57
2019-06-25 02-PM,BTCIDR,162499000,163123000,162498000,163074000,0.1278,20799384.07
2019-06-25 01-PM,BTCIDR,163035000,163035000,161565000,162499000,0.3758,61059230.06
2019-06-25 12-PM,BTCIDR,163259000,163286000,161000000,163035000,0.2264,36743544.9
