Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume SGD
2019-04-14,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-04-13,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-04-12,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-04-11,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-04-10,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-04-09,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-04-08,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-04-07,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-04-06,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-04-05,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-04-04,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-04-03,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-04-02,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-04-01,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-03-31,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-03-30,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-03-29,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-03-28,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-03-27,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-03-26,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-03-25,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-03-24,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-03-23,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-03-22,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-03-21,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-03-20,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-03-19,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-03-18,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-03-17,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-03-16,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-03-15,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-03-14,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-03-13,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-03-12,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-03-11,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-03-10,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-03-09,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-03-08,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-03-07,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-03-06,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-03-05,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-03-04,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-03-03,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-03-02,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-03-01,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-02-28,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-02-27,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-02-26,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-02-25,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-02-24,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-02-23,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-02-22,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-02-21,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-02-20,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-02-19,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-02-18,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-02-17,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-02-16,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-02-15,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-02-14,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-02-13,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-02-12,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-02-11,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-02-10,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-02-09,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-02-08,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-02-07,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-02-06,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-02-05,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-02-04,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-02-03,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-02-02,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-02-01,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-01-31,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-01-30,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-01-29,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-01-28,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-01-27,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-01-26,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-01-25,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-01-24,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-01-23,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-01-22,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-01-21,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-01-20,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-01-19,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-01-18,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-01-17,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-01-16,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-01-15,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-01-14,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-01-13,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-01-12,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-01-11,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-01-10,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-01-09,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-01-08,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-01-07,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-01-06,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-01-05,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-01-04,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-01-03,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
