Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTG,Volume BTC
2018-11-17,BTGBTC,0.002007,0.002092,0.001952,0.002017,31.97,0.06399
2018-11-16,BTGBTC,0.002089,0.002118,0.001875,0.002007,253.93,0.5201
2018-11-15,BTGBTC,0.002092,0.002092,0.00183,0.002089,307.7,0.6014
2018-11-14,BTGBTC,0.002012,0.002092,0.001989,0.002092,201.03,0.4124
2018-11-13,BTGBTC,0.002002,0.002131,0.001979,0.002012,163.87,0.3399
2018-11-12,BTGBTC,0.002044,0.002078,0.002001,0.002002,75.28,0.153
2018-11-11,BTGBTC,0.002092,0.002092,0.002005,0.002044,46.59,0.09676
2018-11-10,BTGBTC,0.002135,0.002135,0.00192,0.002092,206.42,0.4222
2018-11-09,BTGBTC,0.002085,0.002148,0.002019,0.002135,374.02,0.7674
2018-11-08,BTGBTC,0.00222,0.002295,0.00202,0.002085,398.24,0.8491
2018-11-07,BTGBTC,0.00223,0.002486,0.002063,0.00222,674.66,1.57
2018-11-06,BTGBTC,0.002019,0.0024,0.002019,0.00223,775.86,1.77
2018-11-05,BTGBTC,0.0021,0.00218,0.002018,0.002019,283.24,0.5961
2018-11-04,BTGBTC,0.00203,0.002116,0.001964,0.0021,452.36,0.9392
2018-11-03,BTGBTC,0.00205,0.00205,0.001962,0.00203,14.93,0.02994
2018-11-02,BTGBTC,0.00205,0.002061,0.00195,0.00205,165.94,0.3312
2018-11-01,BTGBTC,0.00208,0.00208,0.001908,0.00205,245.73,0.4987
2018-10-31,BTGBTC,0.00202,0.00208,0.001905,0.00208,291.79,0.5816
2018-10-30,BTGBTC,0.0021,0.0021,0.0019,0.00202,561.1,1.12
2018-10-29,BTGBTC,0.002054,0.0021,0.001971,0.0021,201.46,0.4159
2018-10-28,BTGBTC,0.00201,0.002101,0.001971,0.002054,172.69,0.3499
2018-10-27,BTGBTC,0.001964,0.002081,0.001961,0.00201,197.05,0.3974
2018-10-26,BTGBTC,0.001948,0.00201,0.001946,0.001964,159.2,0.3155
2018-10-25,BTGBTC,0.001987,0.002047,0.0019,0.001948,243.46,0.4794
2018-10-24,BTGBTC,0.002077,0.002088,0.0019,0.001987,538.63,1.06
2018-10-23,BTGBTC,0.002027,0.00209,0.002005,0.002077,117.76,0.2403
2018-10-22,BTGBTC,0.002095,0.002121,0.002016,0.002027,320.78,0.6641
2018-10-21,BTGBTC,0.002098,0.002121,0.002,0.002095,650.44,1.34
2018-10-20,BTGBTC,0.002082,0.002137,0.002023,0.002098,887.57,1.86
2018-10-19,BTGBTC,0.002081,0.002138,0.002072,0.002082,255.36,0.5419
2018-10-18,BTGBTC,0.002115,0.00215,0.002068,0.002081,405.25,0.853
2018-10-17,BTGBTC,0.002101,0.00215,0.002068,0.002115,391.1,0.8201
2018-10-16,BTGBTC,0.002082,0.00215,0.002081,0.002101,171.27,0.362
2018-10-15,BTGBTC,0.002063,0.002138,0.002052,0.002082,263.96,0.5532
2018-10-14,BTGBTC,0.002155,0.002267,0.00205,0.002063,483.67,1.01
2018-10-13,BTGBTC,0.002146,0.00228,0.002146,0.002155,210.4,0.4697
2018-10-12,BTGBTC,0.00227,0.00227,0.002042,0.002146,483.77,1.03
2018-10-11,BTGBTC,0.002167,0.00227,0.002112,0.00227,169.8,0.3646
2018-10-10,BTGBTC,0.0022,0.002278,0.002102,0.002167,286.84,0.627
2018-10-09,BTGBTC,0.00243,0.002459,0.00198,0.0022,1242.29,2.73
2018-10-08,BTGBTC,0.002509,0.002698,0.002262,0.00243,781.56,1.9
2018-10-07,BTGBTC,0.002282,0.00334,0.002231,0.002509,1911.95,5.36
2018-10-06,BTGBTC,0.00218,0.0023,0.00218,0.002282,522.19,1.18
2018-10-05,BTGBTC,0.00213,0.0023,0.0021,0.00218,301.8,0.6647
2018-10-04,BTGBTC,0.002181,0.002189,0.0021,0.00213,120.37,0.2596
2018-10-03,BTGBTC,0.002161,0.00225,0.0021,0.002181,500.14,1.08
2018-10-02,BTGBTC,0.002074,0.002303,0.002068,0.002161,357.28,0.7887
2018-10-01,BTGBTC,0.002177,0.002207,0.002051,0.002074,453.83,0.9641
2018-09-30,BTGBTC,0.002189,0.002189,0.00202,0.002177,788.46,1.66
2018-09-29,BTGBTC,0.00201,0.002207,0.00201,0.002189,240.35,0.518
2018-09-28,BTGBTC,0.002187,0.0023,0.00201,0.00201,506.24,1.09
2018-09-27,BTGBTC,0.001986,0.0024,0.001922,0.002187,981.85,2.17
2018-09-26,BTGBTC,0.002005,0.00212,0.00188,0.001986,215.5,0.4317
2018-09-25,BTGBTC,0.002097,0.002097,0.001901,0.002005,340.28,0.6694
2018-09-24,BTGBTC,0.001945,0.00216,0.001935,0.002097,115.53,0.2378
2018-09-23,BTGBTC,0.001843,0.00221,0.0018,0.001945,423.87,0.8501
2018-09-22,BTGBTC,0.001915,0.001949,0.001841,0.001843,168.89,0.3218
2018-09-21,BTGBTC,0.002008,0.002008,0.001664,0.001915,912.55,1.68
2018-09-20,BTGBTC,0.001934,0.00208,0.001901,0.002008,170.87,0.3365
2018-09-19,BTGBTC,0.00195,0.00205,0.001926,0.001934,102.84,0.2037
2018-09-18,BTGBTC,0.002049,0.00209,0.001883,0.00195,497.84,0.9817
2018-09-17,BTGBTC,0.002071,0.002322,0.002049,0.002049,496.76,1.05
2018-09-16,BTGBTC,0.00212,0.002234,0.002042,0.002071,301.97,0.646
2018-09-15,BTGBTC,0.00224,0.00224,0.002011,0.00212,442.73,0.9546
2018-09-14,BTGBTC,0.002254,0.0023,0.00192,0.00224,478.72,1.02
2018-09-13,BTGBTC,0.002,0.0024,0.001872,0.002254,618.2,1.36
2018-09-12,BTGBTC,0.001877,0.002181,0.001858,0.002,288.72,0.5789
2018-09-11,BTGBTC,0.002138,0.0022,0.00182,0.001877,965.67,1.86
2018-09-10,BTGBTC,0.002016,0.00215,0.001864,0.002138,857.58,1.76
2018-09-09,BTGBTC,0.001952,0.00214,0.00185,0.002016,585.48,1.16
2018-09-08,BTGBTC,0.00207,0.00207,0.001947,0.001952,214.21,0.4281
2018-09-07,BTGBTC,0.00209,0.002253,0.002,0.00207,213.17,0.4401
2018-09-06,BTGBTC,0.00214,0.002253,0.002012,0.00209,301.6,0.6492
2018-09-05,BTGBTC,0.001997,0.00214,0.001943,0.00214,262.4,0.5499
2018-09-04,BTGBTC,0.002101,0.002148,0.00185,0.001997,200.21,0.4141
2018-09-03,BTGBTC,0.0022,0.0022,0.002101,0.002101,274.24,0.5924
2018-09-02,BTGBTC,0.00227,0.00227,0.00171,0.0022,698.55,1.48
2018-09-01,BTGBTC,0.00231,0.00245,0.002115,0.00227,879.88,1.98
2018-08-31,BTGBTC,0.002461,0.002481,0.002275,0.00231,352.91,0.8395
2018-08-30,BTGBTC,0.002335,0.0026,0.002251,0.002461,786.3,1.87
2018-08-29,BTGBTC,0.002211,0.002678,0.002158,0.002335,939.42,2.21
2018-08-28,BTGBTC,0.002178,0.00225,0.00215,0.002211,626.79,1.38
2018-08-27,BTGBTC,0.002165,0.002199,0.002138,0.002178,238.2,0.5182
2018-08-26,BTGBTC,0.00233,0.00233,0.002158,0.002165,405.24,0.8875
2018-08-25,BTGBTC,0.00228,0.00245,0.002131,0.00233,716.14,1.64
2018-08-24,BTGBTC,0.002307,0.002433,0.0022,0.00228,182.6,0.4195
2018-08-23,BTGBTC,0.002192,0.00245,0.0021,0.002307,688.53,1.54
2018-08-22,BTGBTC,0.00218,0.0023,0.0021,0.002192,683.5,1.5
2018-08-21,BTGBTC,0.0023,0.002397,0.0021,0.00218,486.66,1.1
2018-08-20,BTGBTC,0.002407,0.002409,0.0023,0.0023,135.17,0.3171
2018-08-19,BTGBTC,0.002424,0.002444,0.0022,0.002407,208.45,0.4898
2018-08-18,BTGBTC,0.00241,0.002425,0.00228,0.002424,237.69,0.5632
2018-08-17,BTGBTC,0.002275,0.00255,0.002101,0.00241,1160.26,2.7
