Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume ILS
2016-03-22,BTCILS,1628.99,1628.99,1625,1625,0.6639,1079.65
2016-03-21,BTCILS,1600,1695,1568,1593.01,27.37,44300.98
2016-03-20,BTCILS,1599,1649,1590.01,1649,4.41,7144.13
2016-03-19,BTCILS,1590.01,1628.99,1577,1599,6.62,10501.14
2016-03-18,BTCILS,1660,1660,1600,1601,20.24,32951.15
2016-03-17,BTCILS,1615.01,1695,1612,1670,21.29,35357.58
2016-03-16,BTCILS,1641,1669.69,1607,1669.69,14.2,23212.26
2016-03-15,BTCILS,1634,1697,1591,1591,12.52,20561.72
2016-03-14,BTCILS,1699,1699,1584,1634,39.11,63903.48
2016-03-13,BTCILS,1615,1712.03,1615,1712.03,16.82,27758.5
2016-03-12,BTCILS,1619,1647,1575,1615,6.44,10341.38
2016-03-11,BTCILS,1646,1646,1615.01,1634,0.5791,944.26
2016-03-10,BTCILS,1626.99,1639.99,1623.99,1636,12.29,20053.39
2016-03-09,BTCILS,1610.1,1646,1600.01,1635,16.42,26629.2
2016-03-08,BTCILS,1637.99,1646,1610.1,1610.1,7.85,12809.33
2016-03-07,BTCILS,1599,1639.99,1599,1638,3.74,6054.24
2016-03-06,BTCILS,1590,1620,1561,1599,6.37,10130.97
2016-03-05,BTCILS,1602,1617.99,1518,1590,34.31,53246.46
2016-03-04,BTCILS,1668.99,1723,1615,1615,18.65,31013.65
2016-03-03,BTCILS,1655,1672,1625,1660.99,14.54,23967.18
2016-03-02,BTCILS,1699,1713,1670,1670,15.02,25499.88
2016-03-01,BTCILS,1709,1719,1680,1699,14.42,24621.53
2016-02-29,BTCILS,1685.01,1710,1685.01,1688,10.38,17543.89
2016-02-28,BTCILS,1680,1713.99,1668,1713.99,6.96,11689.88
2016-02-27,BTCILS,1674.99,1700,1653.01,1700,7.5,12692.4
2016-02-26,BTCILS,1640,1687,1640,1674.99,5.71,9495.68
2016-02-25,BTCILS,1680,1685,1636,1640,4.42,7383.13
