Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume RUR
2018-08-15 08-AM,ETHRUR,19309,19500,19031,19381.08,15.24,295359.93
2018-08-15 07-AM,ETHRUR,19230.48,19337.9,19012,19309,18.57,357169.27
2018-08-15 06-AM,ETHRUR,19170,19349.99,19170,19230.48,18.42,354457.14
2018-08-15 05-AM,ETHRUR,19499.73,19499.73,19109.99,19170,10.13,195033.65
2018-08-15 04-AM,ETHRUR,19600,19600,19300,19499.73,8.69,169333.21
2018-08-15 03-AM,ETHRUR,19500.04,19779.78,19500,19600,2.75,53958.97
2018-08-15 02-AM,ETHRUR,19394.14,19799.99,19000.16,19500.04,3.86,75511.5
2018-08-15 01-AM,ETHRUR,19500,19575,19366.02,19394.14,2.76,54015.19
2018-08-15 12-AM,ETHRUR,19149.97,19500,18967.1,19500,8.07,155435.87
2018-08-14 11-PM,ETHRUR,18601,19149.97,18562.88,19149.97,11.81,223480.48
2018-08-14 10-PM,ETHRUR,18540,18601,18246,18601,7.6,140431.67
2018-08-14 09-PM,ETHRUR,18247,18550.72,18246,18540,16.19,298623.46
2018-08-14 08-PM,ETHRUR,18346.55,18620,18246,18247,26.74,491648.98
2018-08-14 07-PM,ETHRUR,18250,18346.55,18101.1,18346.55,9.14,166048.06
2018-08-14 06-PM,ETHRUR,18090,18260.49,18013.1,18250,8.88,161192.56
2018-08-14 05-PM,ETHRUR,18299.98,18299.99,18010,18090,33.34,605174.9
2018-08-14 04-PM,ETHRUR,18592.51,18592.51,18010,18299.98,38.56,706207.44
2018-08-14 03-PM,ETHRUR,18021,18894.99,18019.19,18592.51,20.57,375504.63
2018-08-14 02-PM,ETHRUR,18916.01,19000,18021,18021,26.37,486055.3
2018-08-14 01-PM,ETHRUR,18602.01,19150,18602,18916.01,16.01,302881.15
2018-08-14 12-PM,ETHRUR,18599,18799,18300,18602.01,21.19,390707.36
2018-08-14 11-AM,ETHRUR,18580.1,18600,18300,18599,30.15,554850.36
2018-08-14 10-AM,ETHRUR,18800,18997,18501.19,18580.1,16.06,300770.1
2018-08-14 09-AM,ETHRUR,18801,19150,18310,18800,29.16,543160.34
2018-08-14 08-AM,ETHRUR,19216.03,19375,18777,18801,33.38,636418.41
2018-08-14 07-AM,ETHRUR,19400,19599,19008,19216.03,14.56,279217.34
2018-08-14 06-AM,ETHRUR,19299.49,19700,19011,19400,12.23,236313.04
2018-08-14 05-AM,ETHRUR,20020,20020,19000,19299.49,30.45,600882.34
2018-08-14 04-AM,ETHRUR,19860.06,20095,19850,20020,6.39,127375.87
2018-08-14 03-AM,ETHRUR,19768.99,20130.17,19493.02,19860.06,9.98,198945.18
2018-08-14 02-AM,ETHRUR,19200,20158.39,19000,19768.99,26.54,513165.61
2018-08-14 01-AM,ETHRUR,20099.96,20099.96,19200,19200,18.03,353470.95
2018-08-14 12-AM,ETHRUR,20398.1,20498.1,19901.14,20099.96,33.58,676615.96
2018-08-13 11-PM,ETHRUR,20565.99,20565.99,20301,20398.1,1.97,40227.49
2018-08-13 10-PM,ETHRUR,20762.02,20998.97,20450,20565.99,17.43,358481.35
2018-08-13 09-PM,ETHRUR,20853.81,21000,20760,20762.02,7.9,164602.56
2018-08-13 08-PM,ETHRUR,20850,21000.06,20777,20853.81,25.07,523717.32
2018-08-13 07-PM,ETHRUR,21079.15,21079.15,20850,20850,22.84,478282.73
2018-08-13 06-PM,ETHRUR,20908,21100,20810,21079.15,19.59,410487.15
2018-08-13 05-PM,ETHRUR,21488.01,21488.01,20900,20908,36.14,759515.1
2018-08-13 04-PM,ETHRUR,21813.01,21995,21488.01,21488.01,19.79,428909.86
2018-08-13 03-PM,ETHRUR,22551.11,22698,21700,21813.01,26.76,595601.89
2018-08-13 02-PM,ETHRUR,22824.97,22824.97,22505.02,22551.11,4.69,105880.35
2018-08-13 01-PM,ETHRUR,22652.1,22844,22640,22824.97,9.19,208544.18
2018-08-13 12-PM,ETHRUR,22800,22899,22632.52,22652.1,5.49,124856.27
2018-08-13 11-AM,ETHRUR,22700,22888,22700,22800,3.61,82186.45
2018-08-13 10-AM,ETHRUR,22647.59,22881.49,22521.03,22700,7.41,168150.87
2018-08-13 09-AM,ETHRUR,22800,22800,22519,22647.59,9.03,205054.23
2018-08-13 08-AM,ETHRUR,22720.11,22949,22720,22800,15.96,364542.07
2018-08-13 07-AM,ETHRUR,22560,22827.24,22555.02,22720.11,7.52,170174.35
2018-08-13 06-AM,ETHRUR,22601.01,22776.99,22556,22560,13.74,310968.33
2018-08-13 05-AM,ETHRUR,22707,22898.99,22601.01,22601.01,10.68,242591.12
2018-08-13 04-AM,ETHRUR,22709,22948.88,22707,22707,7.06,160281.68
2018-08-13 03-AM,ETHRUR,22708,22954.98,22707.02,22709,1.38,31350.5
2018-08-13 02-AM,ETHRUR,22708.08,22987.99,22707.02,22708,3.86,87566.42
2018-08-13 01-AM,ETHRUR,22708.02,23000.99,22708,22708.08,1.54,35171.39
2018-08-13 12-AM,ETHRUR,22811.35,22811.35,22708,22708.02,0.9931,22594.71
2018-08-12 11-PM,ETHRUR,23057.99,23057.99,22778,22811.35,0.5621,12863.12
2018-08-12 10-PM,ETHRUR,22821.33,23070,22778,23057.99,1.13,25691.32
2018-08-12 09-PM,ETHRUR,23070.07,23070.09,22778,22821.33,4.03,92222.47
2018-08-12 08-PM,ETHRUR,22715,23100,22707,23070.07,7.19,164753.51
2018-08-12 07-PM,ETHRUR,22702.01,22977,22701.01,22715,2.85,64864.35
2018-08-12 06-PM,ETHRUR,22899.98,22978.99,22701.01,22702.01,1.68,38071.96
2018-08-12 05-PM,ETHRUR,22800,22979.99,22700,22899.98,6.19,140861.8
2018-08-12 04-PM,ETHRUR,22702,22900,22700,22800,5.33,121053.95
2018-08-12 03-PM,ETHRUR,22805.02,23100,22636.79,22702,3.77,86398.76
2018-08-12 02-PM,ETHRUR,22799.99,22994.95,22566.02,22805.02,8.57,195068.21
2018-08-12 01-PM,ETHRUR,22805.02,22995.96,22565.53,22799.99,5.18,117399.08
2018-08-12 12-PM,ETHRUR,22994.96,22995.96,22805.02,22805.02,2.61,59590.57
2018-08-12 11-AM,ETHRUR,22905.03,23020.49,22805.02,22994.96,9.25,211753.7
2018-08-12 10-AM,ETHRUR,23181.86,23299.94,22905.03,22905.03,9.72,224865.48
2018-08-12 09-AM,ETHRUR,22907,23299.95,22905.02,23181.86,7.4,170384.13
2018-08-12 08-AM,ETHRUR,23200,23300,22905.02,22907,11.08,256336.36
2018-08-12 07-AM,ETHRUR,23211.6,23250,22905.03,23200,6.52,150628.0
2018-08-12 06-AM,ETHRUR,22829.01,23405.02,22829.01,23211.6,3.68,84767.62
2018-08-12 05-AM,ETHRUR,22950.18,23597,22711.02,22829.01,8.91,205858.82
2018-08-12 04-AM,ETHRUR,23222.58,23599,22950.18,22950.18,9.74,225286.04
2018-08-12 03-AM,ETHRUR,23135,23459.17,23135,23222.58,4.37,101635.88
2018-08-12 02-AM,ETHRUR,22950.18,23200,22950.18,23135,1.35,31046.19
2018-08-12 01-AM,ETHRUR,23112.75,23206.55,22950.18,22950.18,1.39,32005.07
2018-08-12 12-AM,ETHRUR,23150.18,23459.17,23100,23112.75,2.51,58177.93
2018-08-11 11-PM,ETHRUR,23313.97,23599,23100,23150.18,6.38,149524.1
2018-08-11 10-PM,ETHRUR,23180,23360.6,23050.1,23313.97,2.56,59447.28
2018-08-11 09-PM,ETHRUR,22999.97,23384,22748.11,23180,8.2,190263.64
2018-08-11 08-PM,ETHRUR,22674.01,23000.02,22661.15,22999.97,2.19,50152.87
2018-08-11 07-PM,ETHRUR,23000,23000.02,22670,22674.01,3.43,78309.15
2018-08-11 06-PM,ETHRUR,23000.01,23500,23000,23000,9.4,217590.1
2018-08-11 05-PM,ETHRUR,22035,23240,22000.51,23000.01,16.44,372074.63
2018-08-11 04-PM,ETHRUR,22040.01,22427.96,22000.51,22035,16.0,355190.13
2018-08-11 03-PM,ETHRUR,22516.79,22820,22035.1,22040.01,26.79,596962.8
2018-08-11 02-PM,ETHRUR,22216.39,22516.79,22000.51,22516.79,11.37,251825.88
2018-08-11 01-PM,ETHRUR,21986.03,22249.79,21800,22216.39,13.83,305571.06
2018-08-11 12-PM,ETHRUR,22580,22820,21986.03,21986.03,34.29,766498.23
2018-08-11 11-AM,ETHRUR,22840,22840,22520.01,22580,11.52,260786.72
2018-08-11 10-AM,ETHRUR,22746,23240,22504.12,22840,7.74,176005.11
2018-08-11 09-AM,ETHRUR,22748.03,22978,22501,22746,12.01,272698.48
2018-08-11 08-AM,ETHRUR,22451.03,23000,22451.03,22748.03,8.54,194571.93
2018-08-11 07-AM,ETHRUR,22720.81,22740.57,22400,22451.03,11.62,261319.29
2018-08-11 06-AM,ETHRUR,22547.61,22981.98,22501,22720.81,14.6,331558.46
2018-08-11 05-AM,ETHRUR,23146.1,23146.1,22501,22547.61,13.16,298969.0
2018-08-11 04-AM,ETHRUR,23240,23255.82,22800,23146.1,21.11,487216.54
2018-08-11 03-AM,ETHRUR,23429,23500.81,23240,23240,4.1,95281.33
2018-08-11 02-AM,ETHRUR,23873.87,23873.87,23219.33,23429,2.68,62382.49
2018-08-11 01-AM,ETHRUR,23221.07,23873.88,23219.33,23873.87,4.12,96449.0
2018-08-11 12-AM,ETHRUR,23752.29,24669.96,23219.47,23221.07,7.32,174102.3
2018-08-10 11-PM,ETHRUR,23300,23788.66,23300,23752.29,11.06,262150.85
2018-08-10 10-PM,ETHRUR,23800,24136.2,23300,23300,11.57,272722.07
2018-08-10 09-PM,ETHRUR,24470,24470,23800,23800,34.04,817995.09
2018-08-10 08-PM,ETHRUR,24652.78,24850,24301,24470,5.44,133777.56
2018-08-10 07-PM,ETHRUR,24935.56,25000.4,24552.72,24652.78,6.02,149686.2
2018-08-10 06-PM,ETHRUR,24769,24935.68,24524.45,24935.56,2.96,73239.2
2018-08-10 05-PM,ETHRUR,24650.02,24900,24504.45,24769,5.93,146666.06
2018-08-10 04-PM,ETHRUR,24725.64,24935.68,24601.72,24650.02,7.88,194696.85
2018-08-10 03-PM,ETHRUR,24488.15,24725.64,24301,24725.64,9.64,237022.54
2018-08-10 02-PM,ETHRUR,24600.81,24700,24485.07,24488.15,5.25,129189.47
2018-08-10 01-PM,ETHRUR,24472.81,24600.81,24355.47,24600.81,9.48,232893.97
2018-08-10 12-PM,ETHRUR,24440.03,24650,24224.51,24472.81,8.92,218575.35
2018-08-10 11-AM,ETHRUR,24598,24697,24210,24440.03,8.77,213345.16
2018-08-10 10-AM,ETHRUR,24363,24710,24201,24598,10.39,253414.55
2018-08-10 09-AM,ETHRUR,24200.01,24400,24151.91,24363,7.69,186146.46
2018-08-10 08-AM,ETHRUR,24300,24489.99,24139.84,24200.01,6.58,159497.61
2018-08-10 07-AM,ETHRUR,24200.06,24500,24200,24300,8.17,198535.74
2018-08-10 06-AM,ETHRUR,24697,24697,24200.01,24200.06,11.65,284256.47
2018-08-10 05-AM,ETHRUR,24725.64,24725.64,24410,24697,5.69,139406.5
2018-08-10 04-AM,ETHRUR,24725.48,24725.64,24511.23,24725.64,5.33,131203.49
2018-08-10 03-AM,ETHRUR,24812.3,24812.3,24725.48,24725.48,1.93,47767.84
2018-08-10 02-AM,ETHRUR,25000,25112.49,24725.6,24812.3,2.39,59447.58
2018-08-10 01-AM,ETHRUR,25000,25150,25000,25000,0.2818,7069.02
